N	4gram	Vygotskiy_	SlovoVZh
1	дело в том что	1	4
2	бы то ни было	1	3
3	с одной стороны и	1	2
4	одно и то же	1	2
5	ни в какой степени	1	1
6	в зависимости от изменения	1	1
7	одному и тому же	1	1
8	в зависимости от того	1	1
9	одним и тем же	1	1
10	в том что в	1	1
11	так же как и	2	1
12	в то время как	6	1
13	если мы обратимся к	1	1
14	ни в коем случае	1	1
15	в том что все	1	1
16	и не может быть	1	1
17	уже не может быть	1	1
18	ли из этого что	2	1
19	в какой степени не	1	1
20	в то же время	2	1
21	если бы не было	1	1
22	один и тот же	2	1
23	к тому же самому	1	1
