N	3gram	Savitsky_P	Analitik
1	в том что	4	25
2	не может быть	1	19
3	в то же	7	16
4	в отличие от	1	14
5	то же время	7	14
6	на наш взгляд	1	11
7	с другой стороны	1	9
8	с одной стороны	3	9
9	с точки зрения	3	8
10	не только в	4	8
11	во всяком случае	1	7
12	в полной мере	2	6
13	но и в	2	5
14	для того чтобы	1	4
15	не в том	1	4
16	и тем самым	1	4
17	и не может	1	4
18	и в этом	1	4
19	в этом смысле	1	4
20	в известном смысле	1	4
21	и то что	1	3
22	хотя бы и	1	3
23	в том числе	2	3
24	сами по себе	3	3
25	между тем в	1	3
26	тот или иной	1	3
27	а ц и	2	2
28	в применении к	1	2
29	более или менее	1	2
30	в частности в	1	2
31	друг с другом	1	2
32	в борьбе с	1	2
33	л и з	1	2
34	а в качестве	1	2
35	заключается в том	2	2
36	в сравнении с	3	2
37	тем более что	1	2
38	до тех пор	1	2
39	но в то	1	2
40	в отрыве от	1	2
41	а л и	1	2
42	же время в	1	2
43	и к а	1	2
44	тех пор пока	1	1
45	не может помешать	1	1
46	быть может не	1	1
47	как одна из	1	1
48	есть как бы	1	1
49	в русской культуре	1	1
50	общественной и частной	1	1
51	в настоящий момент	3	1
52	не только мы	1	1
53	но в отличие	1	1
54	и если бы	2	1
55	именно потому что	1	1
56	можно судить по	1	1
57	и в качестве	1	1
58	в отношении к	5	1
59	о с с	1	1
60	само по себе	1	1
61	в этом мире	1	1
62	этот спор не	1	1
63	в отдельности и	1	1
64	что в этом	1	1
65	сколько бы ни	1	1
66	к а л	1	1
67	начала и конца	1	1
68	тогда когда ее	1	1
69	есть не более	1	1
70	с тем же	1	1
71	вместе с тем	1	1
72	в большинстве случаев	1	1
73	точки зрения исторической	1	1
74	и теперь в	1	1
75	и быть может	1	1
76	и в частности	1	1
77	далеко не все	1	1
78	в собственном смысле	1	1
79	или хотя бы	1	1
80	ни к чему	1	1
81	в том виде	1	1
82	бы оно ни	1	1
83	том числе и	1	1
84	не только как	1	1
85	р и т	1	1
