N	4gram	Savitsky_E	StatiiOP
1	дело в том что	1	9
2	в то же время	14	9
3	заключается в том что	2	6
4	в то время как	1	5
5	на то что в	1	4
6	в том смысле что	1	3
7	не говоря уже о	1	3
8	в том числе и	1	2
9	и в то же	8	2
10	но в то же	2	2
11	бы то ни было	4	2
12	в той или иной	3	2
13	и в этом смысле	2	2
14	но как бы ни	1	1
15	само по себе не	2	1
16	каких бы то ни	2	1
17	поскольку речь идет о	1	1
18	только в том случае	1	1
19	с этой точки зрения	5	1
20	в связи с этим	1	1
21	нам кажется что в	1	1
22	не только в том	1	1
23	как и всякая иная	1	1
24	как бы ни была	1	1
25	том смысле что оно	1	1
26	с одной стороны в	1	1
27	и та и другая	1	1
28	то же время не	1	1
29	так же как и	3	1
