N	3gram	Tiupa_Vved	FransuaR
1	то же время	4	55
2	в то же	5	55
3	в том что	10	27
4	в том числе	1	27
5	но в то	1	20
6	в этом отношении	7	20
7	для того чтобы	1	17
8	том числе и	1	17
9	о том что	6	17
10	в связи с	1	16
11	большей или меньшей	1	16
12	как мы видели	3	16
13	то есть в	1	15
14	но и в	3	15
15	жизни и смерти	1	15
16	и прежде всего	1	14
17	не может быть	6	13
18	дело в том	1	13
19	с одной стороны	9	13
20	в той же	1	13
21	на самом деле	4	13
22	а также и	2	12
23	в известной мере	1	12
24	и в то	1	12
25	с другой стороны	2	12
26	все то что	1	11
27	в отличие от	11	11
28	как и все	1	11
29	можно сказать что	1	11
30	в той или	1	10
31	той или иной	4	10
32	как и в	2	10
33	в данном случае	15	10
34	в значительной степени	2	10
35	не только в	3	10
36	по отношению к	11	9
37	до известной степени	1	9
38	и т.п в	1	9
39	более или менее	2	8
40	в самом деле	2	7
41	о том как	1	7
42	можно было бы	2	7
43	прежде всего в	1	7
44	в настоящее время	1	7
45	подобно тому как	3	7
46	во всех его	1	6
47	к тому же	6	6
48	и т.п но	1	6
49	в свою очередь	5	6
50	с самого начала	1	6
51	одной стороны и	3	5
52	то же самое	2	5
53	по сравнению с	1	5
54	во всяком случае	3	5
55	и тот же	1	5
56	в том же	1	5
57	на первом плане	1	5
58	в первом случае	1	5
59	вместо того чтобы	1	5
60	между жизнью и	1	5
61	жизнью и смертью	1	5
62	как бы в	2	5
63	как раз в	1	5
64	это и есть	1	5
65	в этой системе	1	5
66	в основе своей	2	5
67	и той же	1	4
68	начало и конец	2	4
69	то есть с	1	4
70	здесь не в	1	4
71	в одном из	1	4
72	прежде всего на	2	4
73	и даже в	1	4
74	так же как	1	4
75	как мы увидим	1	4
76	нового времени и	1	4
77	играют существенную роль	1	4
78	в самом начале	1	4
79	в году в	1	4
80	во втором случае	1	4
81	и шире и	1	4
82	одной и той	1	4
83	в нем не	1	4
84	как раз и	1	4
85	и не может	1	4
86	в тарасе бульбе	1	4
87	и в самом	1	4
88	один и тот	1	4
89	или иной степени	1	3
