N	4gram	Propp_Isto	Vvedenie
1	в то же время	1	6
2	не что иное как	1	5
3	вопрос о том что	1	3
4	с одной стороны и	1	3
5	и тем не менее	2	3
6	есть не что иное	1	3
7	состоит в том что	1	2
8	с этой точки зрения	2	2
9	только после того как	1	2
10	в широком смысле этого	1	2
11	одно и то же	2	2
12	и т д в	1	2
13	и т д все	2	2
14	только в том что	1	1
15	наряду с этим в	1	1
16	не может быть названа	1	1
17	и т д и	1	1
18	т д все эти	1	1
19	и т д такая	1	1
20	не сам по себе	1	1
21	в том смысле что	1	1
22	но дело не в	1	1
23	но это только одна	1	1
24	но вместе с тем	4	1
25	здесь не может быть	1	1
26	ответить на этот вопрос	1	1
27	и т д мы	3	1
28	это только одна сторона	1	1
29	не в том как	1	1
30	вовсе не в том	1	1
31	самом деле представляет собой	1	1
32	это сказывается и в	1	1
33	легко представить себе что	1	1
34	точно так же как	2	1
35	том смысле в каком	1	1
36	на этот вопрос мы	1	1
