N	3gram	Tiupa_Anal	Tvorches
1	в то же	9	25
2	то же время	7	24
3	в том что	13	11
4	в соответствии с	2	8
5	о том что	8	8
6	в конечном счете	5	6
7	не может быть	17	6
8	но в то	2	6
9	и т п	3	5
10	в самом деле	3	5
11	в том же	1	5
12	по отношению к	9	5
13	на наш взгляд	6	4
14	в творческом процессе	1	4
15	до сих пор	1	4
16	ю м лотман	1	4
17	по крайней мере	4	4
18	с точки зрения	6	4
19	в xx веке	1	4
20	дело не в	2	3
21	в таком случае	5	3
22	сами по себе	3	3
23	в отличие от	8	3
24	во всяком случае	1	3
25	как и в	2	3
26	едва ли не	1	3
27	ю м лотмана	1	3
28	с другой стороны	2	3
29	в этой связи	2	3
30	и все же	2	3
31	и не может	4	3
32	в данном случае	3	2
33	как и его	1	2
34	в е годы	1	2
35	для того чтобы	3	2
36	в том числе	3	2
37	тем не менее	3	2
38	в глубине души	1	2
39	первой части романа	1	2
40	не сводится к	2	2
41	том числе и	1	2
42	и в самом	3	2
43	не сами по	1	2
44	к тому же	6	2
45	не могут быть	2	2
46	в известном смысле	2	2
47	в связи с	2	2
48	в свою очередь	1	2
49	но прежде всего	1	2
50	вместе с тем	1	2
51	не только для	1	2
52	же время он	1	2
53	заключается в том	1	2
54	свободе воли и	1	2
55	можно сказать что	1	2
56	том же году	1	2
57	на этот вопрос	1	2
58	и та же	1	2
59	все же не	1	2
60	о свободе воли	2	2
61	именно в этом	2	2
62	содержит в себе	3	2
63	не только в	3	2
64	но отнюдь не	2	2
65	в первую очередь	1	2
66	и сам автор	1	2
67	нет и не	2	2
68	не так как	1	2
69	который в своей	1	1
70	лишь в том	3	1
71	потому что я	1	1
72	на этом фоне	1	1
73	и как бы	1	1
74	на всем протяжении	1	1
75	как будто бы	1	1
76	человека в мире	1	1
77	в сочетании с	7	1
78	же самое время	2	1
79	и даже не	1	1
80	о том как	1	1
81	в применении к	1	1
82	том смысле что	1	1
83	дело не только	1	1
84	сразу же после	1	1
85	не так ли	1	1
86	лишь одна из	1	1
87	в ответ на	2	1
88	ничего не говорит	1	1
89	но когда он	1	1
90	то или иное	1	1
91	в эту жизнь	2	1
92	хотя бы и	1	1
93	в этом месте	1	1
94	в настоящий момент	1	1
95	но в таком	1	1
96	и вследствие этого	1	1
97	в частности в	2	1
98	как бы не	2	1
99	главного героя романа	1	1
100	с одной из	1	1
101	автора и не	1	1
102	и если бы	1	1
103	с самим собой	2	1
104	я в себе	1	1
105	а между тем	1	1
106	не только сцены	1	1
107	в его художественной	1	1
108	не о том	3	1
109	и тем самым	2	1
110	в этой борьбе	1	1
111	а с другой	1	1
112	а затем и	1	1
113	с позиции стороннего	1	1
114	что как бы	1	1
115	то ни было	3	1
116	и того же	2	1
117	автором и читателем	1	1
118	несмотря на его	1	1
119	то же самое	3	1
120	ведет к тому	1	1
121	к тому что	2	1
122	бы и в	1	1
123	же время они	1	1
124	на самом же	1	1
125	не только на	1	1
126	бы то ни	3	1
127	или во всяком	1	1
128	в третий раз	1	1
129	а тем самым	1	1
130	жизни человека к	1	1
131	романа в целом	4	1
132	отвечает на вопрос	1	1
133	всего романа в	1	1
134	на первый взгляд	1	1
135	и в этом	4	1
136	мы видим как	1	1
137	в художественном произведении	1	1
138	собой не что	1	1
139	представляет собой не	1	1
140	в диалоге с	1	1
141	в том и	2	1
142	а как бы	1	1
143	того или иного	3	1
144	на трех уровнях	1	1
145	будто бы не	1	1
146	той или иной	8	1
147	уже говорилось о	1	1
148	равно как и	1	1
149	не в его	1	1
150	и должно быть	1	1
151	и особенно в	1	1
152	самом же деле	1	1
153	а вместе с	1	1
154	но и в	3	1
155	в том смысле	1	1
156	может быть ни	1	1
157	от себя лично	1	1
158	а затем уже	1	1
159	это своего рода	1	1
160	в эту минуту	1	1
161	так и не	5	1
162	имеем в виду	1	1
163	по возвращении в	1	1
164	что же касается	1	1
165	как и сам	1	1
166	действия то есть	1	1
167	и не в	4	1
168	таком случае это	1	1
169	как один из	1	1
170	только в качестве	1	1
171	с одной стороны	6	1
172	но в принципе	1	1
173	и даже в	1	1
174	на точку зрения	1	1
175	да и в	1	1
176	не должен быть	2	1
177	то и другое	1	1
178	со всех сторон	1	1
179	даже если он	1	1
180	один из возможных	1	1
181	как и на	2	1
182	я не могу	1	1
183	не что иное	5	1
184	далеко не все	1	1
185	в отношении к	1	1
186	в отрыве от	2	1
187	нам представляется что	1	1
188	но и на	1	1
189	на том или	1	1
190	совершенно иного рода	1	1
191	ответ на этот	1	1
192	не совместима с	1	1
193	и отношений между	1	1
194	можно было бы	1	1
195	с установкой на	1	1
196	произведение не может	1	1
197	при всей их	1	1
198	мы имеем в	1	1
199	то есть его	1	1
200	в этом случае	4	1
201	в поле зрения	2	1
202	уже было сказано	1	1
203	между автором и	1	1
204	одного и того	2	1
205	позиции стороннего наблюдателя	1	1
206	как уже было	1	1
207	одна и та	1	1
208	при этом она	1	1
209	так ли и	1	1
210	что иное как	6	1
211	сознания не только	1	1
212	самом деле как	1	1
213	все это делает	1	1
214	я никогда не	1	1
215	как уже говорилось	3	1
216	себя на место	1	1
217	если бы он	1	1
218	еще ничего не	1	1
