N	2gram	Bakhtin_Pr	Retstnzi
1	не может	31	4
2	и в	59	3
3	достоевского и	14	2
4	один из	4	2
5	литературы то	1	1
6	может и	1	1
7	этой проблемы	1	1
8	нуждаются в	1	1
9	в особенности	2	1
10	несмотря на	7	1
11	может быть	38	1
12	не только	26	1
13	точки зрения	36	1
14	с точки	21	1
15	для него	23	1
16	подхода к	2	1
17	в ней	8	1
18	как художественная	3	1
19	себе все	2	1
20	в каждом	11	1
21	связи с	1	1
22	не из	3	1
23	конкретного осуществления	1	1
24	от контекста	1	1
25	можно и	1	1
26	из социологического	1	1
27	с другими	11	1
28	лучше всего	1	1
29	лежащие в	2	1
30	если бы	12	1
31	конечно и	5	1
32	смысл и	2	1
33	художественного произведения	1	1
34	в его	44	1
35	зрения их	1	1
36	ничего кроме	1	1
37	не менее	3	1
38	и форму	1	1
39	речь и	1	1
40	но и	22	1
41	о художественной	1	1
42	мы видим	5	1
43	к тому	1	1
44	из контекста	1	1
45	во второй	1	1
46	тому что	3	1
47	и можно	1	1
48	в то	15	1
49	из этих	2	1
50	и больше	1	1
51	он в	3	1
52	ни один	5	1
53	же время	10	1
54	то же	15	1
55	по своим	4	1
56	а не	30	1
57	персонажей и	1	1
58	бы в	7	1
59	нет и	4	1
60	и должно	1	1
61	и не	66	1
62	на нее	1	1
63	и все	4	1
64	и на	15	1
65	вполне понятно	1	1
