N	4gram	Vinokur_Ku	Russkaja
1	в то же время	4	10
2	в том случае если	3	3
3	то это потому что	1	2
4	о котором идет речь	2	2
5	лишь в том случае	1	2
6	и вместе с тем	1	2
7	если бы речь шла	1	2
8	и в другом случае	1	2
9	в том и в	1	2
10	только в том случае	2	2
11	и в том и	1	2
12	том и в другом	1	2
13	бы то ни было	1	1
14	дело в том что	1	1
15	в каждый данный момент	1	1
16	не трудно видеть что	1	1
17	что в большинстве случаев	1	1
18	и с точки зрения	1	1
19	от этого не меняется	1	1
20	о которых идет речь	1	1
21	заключается в том что	2	1
22	только для того чтобы	2	1
23	а в том что	2	1
24	есть ничто иное как	1	1
25	сводится к тому что	1	1
26	свидетельствуют о том что	1	1
27	во всех этих случаях	1	1
28	что с точки зрения	1	1
29	несмотря на то что	1	1
30	одного и того же	2	1
31	на том основании что	1	1
32	точно так же как	3	1
33	также и то что	1	1
