N	4gram	Bakhtin_sl	EvropaiC
1	до сих пор не	2	5
2	о которых мы говорили	2	4
3	в каждый данный момент	4	3
4	бы то ни было	1	3
5	в то же время	15	2
6	именно в том что	1	1
7	что одним из главных	1	1
8	с этой точки зрения	1	1
9	в то время как	2	1
10	только с точки зрения	1	1
11	в данном случае не	1	1
12	и в другом случае	2	1
13	в том и в	2	1
14	и в том и	2	1
15	образом в каждый данный	1	1
16	во всяком случае за	1	1
17	том и в другом	2	1
18	в том что он	1	1
19	одно и то же	2	1
20	но с другой стороны	1	1
21	с самого начала в	1	1
22	дело в том что	1	1
23	и с точки зрения	1	1
24	в целом ряде случаев	1	1
25	а в том что	1	1
26	в том числе и	1	1
27	в том что оно	1	1
28	одной и той же	1	1
29	таким образом в каждый	1	1
30	тем не менее в	1	1
