N	3gram	Trubetskoy	OGranits
1	с точки зрения	9	5
2	не может быть	4	4
3	по отношению к	1	3
4	в том что	7	2
5	того или иного	2	2
6	в данном случае	3	2
7	в самом деле	1	2
8	с самого начала	1	2
9	само собой разумеется	1	1
10	на самом деле	6	1
11	в борьбе с	1	1
12	и в индии	1	1
13	и как бы	1	1
14	том основании что	1	1
15	может и должно	1	1
16	но в то	1	1
17	это конечно не	1	1
18	привести только к	1	1
19	на том основании	1	1
20	не может иметь	1	1
21	в значительной мере	2	1
22	они считают себя	1	1
23	так же как	1	1
24	для него прежде	1	1
25	тех или иных	1	1
26	на то что	4	1
27	этой возможностью и	1	1
28	для того чтобы	6	1
29	но мы должны	1	1
30	что они считают	1	1
31	собой разумеется что	1	1
32	и более или	1	1
33	в другом месте	1	1
34	него прежде всего	1	1
35	и в некоторых	1	1
36	в связи с	1	1
37	то же самое	1	1
38	же время в	1	1
39	к тому что	2	1
40	тем не менее	1	1
41	несмотря на все	1	1
42	только то что	1	1
43	и это особенно	1	1
44	ведь в самом	1	1
45	в этом отношении	1	1
46	то же время	10	1
47	более или менее	4	1
48	в то же	10	1
49	прежде всего в	1	1
50	можно было бы	3	1
51	и вместе с	2	1
52	состоит в том	1	1
53	и не может	3	1
54	потому что они	1	1
55	может привести только	1	1
