N	3gram	Tiupa_Lite	FransuaR
1	то же время	12	55
2	в то же	12	55
3	в том что	15	27
4	в том числе	2	27
5	до сих пор	1	27
6	в большинстве случаев	1	22
7	с точки зрения	4	20
8	но в то	1	20
9	в этом отношении	5	20
10	для того чтобы	1	17
11	о том что	3	17
12	в связи с	4	16
13	как мы видели	1	16
14	то есть в	1	15
15	и прежде всего	4	14
16	не может быть	5	13
17	дело в том	2	13
18	с одной стороны	8	13
19	на самом деле	1	13
20	а также и	1	12
21	в xviii веке	1	12
22	и в то	1	12
23	с другой стороны	5	12
24	в другом месте	1	12
25	все то что	1	11
26	в отличие от	6	11
27	той или иной	1	10
28	в данном случае	6	10
29	в значительной степени	1	10
30	в конце концов	1	10
31	не только в	4	10
32	по отношению к	4	9
33	в свое время	1	9
34	после того как	1	8
35	в самом деле	1	7
36	можно было бы	2	7
37	прежде всего в	4	7
38	подобно тому как	4	7
39	не подлежит сомнению	1	7
40	во всех этих	1	7
41	к тому же	1	6
42	но все же	1	6
43	это прежде всего	1	6
44	в xix веке	1	6
45	за то что	2	6
46	в свою очередь	2	6
47	с самого начала	1	6
48	в сущности только	1	6
49	и в литературе	1	6
50	одной стороны и	1	5
51	человека с миром	1	5
52	в одной из	1	5
53	и в частности	1	5
54	во всяком случае	2	5
55	в том же	3	5
56	все же в	2	5
57	только то что	2	5
58	в это время	1	5
59	в этой системе	1	5
60	и вовсе не	1	5
61	в основе своей	1	5
62	том что в	1	4
63	но даже и	1	4
64	по ту сторону	1	4
65	в одном из	1	4
66	не нуждается в	1	4
67	на одном из	1	4
68	и даже в	1	4
69	и то что	2	4
70	во второй половине	1	4
71	в самом начале	1	4
72	о мире и	1	4
73	как раз и	1	4
74	и не может	1	4
75	это уже не	1	4
76	и во всей	1	4
77	в сущности не	1	3
78	между тем как	1	3
79	и того же	1	3
80	еще и в	1	3
81	вовсе не является	1	3
82	как мы знаем	1	3
83	в целом ряде	2	3
84	как один из	1	3
85	но дело в	1	3
86	является одним из	1	3
87	как и во	1	3
88	имеется в виду	1	3
89	одного и того	1	3
90	тех или иных	2	3
91	в пределах одной	1	3
92	а с другой	2	3
93	здесь как и	1	3
94	бы то ни	1	3
95	и в этом	1	3
96	так и не	1	3
97	на этом свете	1	3
98	нет и не	1	3
99	со второй половины	1	2
100	но и не	1	2
101	же время не	2	2
102	в себя и	2	2
103	в первый раз	2	2
104	во внешнем мире	1	2
105	в его лице	2	2
106	но при этом	2	2
107	он не мог	1	2
108	по этому поводу	1	2
109	имел в виду	2	2
110	то ни было	1	2
111	из того что	2	2
112	и внешнее и	1	2
113	и тем же	1	2
114	в том чтобы	1	2
115	культуры и в	1	2
116	не могут быть	1	2
117	в полной мере	1	2
118	и как раз	1	2
119	том или ином	1	2
120	в конечном счете	8	2
121	что уже в	1	2
122	у него прямо	1	2
123	все более и	1	2
124	и не только	1	2
125	ему в том	1	2
126	для этой цели	1	2
127	он и сам	3	2
128	теми или иными	1	2
129	по тому же	1	2
130	же время он	1	2
131	какой бы то	1	2
132	и не было	1	2
133	ничего общего с	2	2
134	более и более	1	2
135	одним и тем	1	2
136	в этом случае	2	2
137	том что он	1	2
138	и в сущности	1	2
139	мы не можем	1	2
140	не могло не	1	2
141	к себе самому	1	2
142	внешнее и внутреннее	1	2
143	как одной из	1	2
144	на эту тему	1	2
145	никогда и нигде	1	1
146	в дальнейшем эта	1	1
147	однако и в	1	1
148	из прошлого в	1	1
149	так было и	1	1
150	в соответствии с	2	1
151	что в ней	1	1
152	одним из первых	1	1
153	на том что	1	1
154	но исключительно в	1	1
155	казалось бы не	1	1
156	может быть наиболее	1	1
157	самой жизни на	1	1
158	прошлого в будущее	1	1
159	это приводит к	1	1
160	за собой и	1	1
161	здесь далеко не	1	1
162	в области художественной	1	1
163	далеко не всегда	1	1
164	то в чем	1	1
165	он же и	1	1
166	эти и подобные	2	1
167	в действительности же	1	1
168	в разговоре с	2	1
169	далеко не полно	1	1
170	от земли и	1	1
171	между этими тремя	1	1
172	но только в	1	1
173	а потому и	1	1
174	и тем самым	2	1
175	для своего времени	2	1
176	как сказано в	2	1
177	не только на	1	1
178	в последнее время	1	1
179	существует как бы	1	1
180	жизни и искусства	1	1
181	в первой главе	1	1
182	даже и не	1	1
183	речь шла о	1	1
184	глубокое различие между	1	1
185	может и не	1	1
186	одно из величайших	1	1
187	лишь тогда когда	1	1
188	чуть ли не	2	1
189	себе самому и	1	1
190	а в конце	1	1
191	стороны и к	1	1
192	вместе с ним	1	1
193	никогда не бывает	1	1
194	к себе в	1	1
195	целый ряд аналогичных	1	1
196	как и для	1	1
197	в этом же	1	1
198	как это было	1	1
199	в эту минуту	1	1
200	написанная в году	1	1
201	он не может	1	1
202	же время она	1	1
203	к тому чтобы	1	1
204	резко отличается от	1	1
205	дороги по которой	1	1
206	тем более что	1	1
207	никогда не остается	1	1
208	для этого он	1	1
209	и культуры в	3	1
210	как это ни	1	1
211	внутренней свободы от	2	1
212	тех кто не	1	1
213	жизни прежде всего	1	1
214	такова же и	1	1
215	уже не раз	1	1
216	и в полном	1	1
217	уже не просто	1	1
218	с тем чтобы	1	1
219	не только и	1	1
220	одно из них	1	1
221	а так как	1	1
222	в этом последнем	1	1
223	произведение в целом	1	1
224	же время здесь	1	1
225	этой книге с	1	1
226	и наряду с	1	1
227	в этот день	1	1
228	более широкого и	1	1
229	что он не	1	1
230	войне и мире	1	1
231	как было сказано	1	1
232	имеет ничего общего	1	1
233	тем более не	1	1
234	в области художественного	1	1
235	и не менее	1	1
236	обнаруживает в своем	1	1
237	в целом как	1	1
238	в этих текстах	1	1
239	ничего не меняет	1	1
240	и в соответствии	1	1
241	и наконец в	1	1
242	то есть их	1	1
243	идет не только	1	1
244	языка на котором	1	1
245	того что они	1	1
246	однако и здесь	1	1
247	был по преимуществу	1	1
248	в году когда	1	1
249	тем не менее	4	1
250	в силу своей	3	1
251	а как бы	1	1
252	как и всякое	1	1
253	его принадлежности к	1	1
254	а затем в	1	1
255	от них он	1	1
256	прежде всего это	1	1
257	никогда не служит	1	1
258	освобождает от всех	1	1
259	в зависимости от	1	1
260	в этой книге	1	1
261	в один из	1	1
262	к этой книге	2	1
263	не могло быть	2	1
264	не может стать	1	1
265	а за ними	1	1
266	может быть названа	2	1
267	не имеет ничего	1	1
268	состоит в том	8	1
269	в частности в	1	1
270	свою судьбу судьбу	1	1
271	при этом как	3	1
272	в наше время	1	1
273	в своем стремительном	1	1
274	была своего рода	1	1
275	и не столько	1	1
276	о нем же	1	1
277	ему же принадлежит	1	1
278	не в силах	1	1
279	с внешним миром	1	1
280	но не менее	1	1
281	как собственное имя	1	1
282	xx века в	1	1
283	во многих отношениях	1	1
284	другое гораздо более	1	1
285	по аналогии с	3	1
286	знает и не	1	1
287	тем что в	2	1
288	никак не мог	1	1
289	на то что	1	1
290	автора и его	1	1
291	в этом своем	1	1
292	может быть ни	1	1
293	не только от	1	1
294	другой стороны он	1	1
295	один из моментов	1	1
296	же году в	1	1
297	одна из ведущих	1	1
298	бы ни были	1	1
299	не в состоянии	1	1
300	века к концу	1	1
301	жизни но и	1	1
302	том же году	3	1
303	в сем мире	1	1
304	в одну из	1	1
305	а не как	1	1
306	в отношении к	1	1
307	и подобные им	2	1
308	и т.п наконец	1	1
309	то есть от	1	1
310	легенде и в	1	1
311	сознания в своем	1	1
312	всяком случае в	1	1
313	не подозревая что	1	1
314	из которых он	1	1
315	были по преимуществу	1	1
316	для него как	1	1
317	в культуре и	1	1
318	одно и то	1	1
319	в лучшем случае	1	1
320	и своего рода	1	1
321	и то же	1	1
322	исторической значимости в	1	1
323	только потому что	1	1
324	современность с ее	1	1
325	речь идет о	3	1
326	говорит о себе	1	1
327	он уже и	1	1
328	именно в том	1	1
329	не менее важным	2	1
330	случае в его	1	1
331	на первый взгляд	1	1
332	здесь все же	1	1
333	и не о	1	1
334	в этом контексте	1	1
335	тогда как в	1	1
336	что в начале	1	1
337	диалога но и	1	1
338	том что ему	1	1
339	между прочим и	1	1
340	только и не	1	1
