N	4gram	Trubetskoy	FransuaR
1	в то же время	2	55
2	в том числе и	1	17
3	до сих пор еще	1	15
4	мы уже говорили что	1	13
5	дело в том что	1	13
6	и до сих пор	1	6
7	одной и той же	1	4
8	и не может быть	1	4
9	нет и не может	1	3
10	одного и того же	3	3
11	в значительной своей части	1	3
12	может быть и не	1	2
13	мы уже знаем что	1	2
14	заключается в том что	3	2
15	бы то ни было	3	2
16	и в целом ряде	1	2
17	совершенно так же как	3	2
18	до сих пор не	5	2
19	в целом ряде других	1	2
20	не подлежит сомнению что	3	2
21	и с точки зрения	1	2
22	в том или ином	1	2
23	в том и в	1	1
24	во всех отношениях лучше	1	1
25	стало возможным только благодаря	1	1
26	и того же явления	1	1
27	в тех случаях когда	1	1
28	о том что он	1	1
29	в то время как	1	1
30	мы уже сказали что	1	1
31	то же самое что	1	1
32	но и с точки	1	1
33	в данном случае не	1	1
34	и в другом случае	1	1
35	друг от друга в	1	1
36	одно и то же	1	1
37	так же трудно как	1	1
38	в конце концов в	1	1
39	стороны одного и того	1	1
40	роль в развитии культуры	1	1
41	но все же они	1	1
42	аспекта одного и того	1	1
43	две стороны одного и	1	1
44	том и в другом	1	1
45	в том что все	1	1
46	состоит в том что	1	1
47	и в том и	1	1
48	в том случае если	4	1
49	как нечто само собою	1	1
50	в наиболее ясной и	1	1
51	вместе с тем и	1	1
52	это может быть и	1	1
53	с точки зрения всякой	1	1
54	нечто само собою разумеющееся	1	1
55	принуждены будем признать что	1	1
56	в том же духе	1	1
57	в том что он	1	1
58	в том что они	1	1
59	но вместе с тем	2	1
60	в основе их лежит	1	1
61	по сравнению с общим	2	1
62	не в том что	1	1
63	в начале этой главы	1	1
64	в том что оно	1	1
