N	4gram	Bakhtin_Fr	DiskursI
1	в то же время	14	8
2	с одной стороны и	1	5
3	дело в том что	4	5
4	одного и того же	1	4
5	в том что в	1	3
6	в том числе и	3	3
7	одно и то же	1	3
8	ни о чем не	1	2
9	между жизнью и смертью	1	2
10	и не может быть	1	2
11	одной и той же	1	2
12	и в то же	3	2
13	то же время и	1	2
14	не что иное как	1	1
15	большей или меньшей степени	1	1
16	а также и в	1	1
17	в той или иной	1	1
18	в большей или меньшей	1	1
19	ни в чем не	1	1
20	с другой стороны в	1	1
21	не может быть ни	1	1
22	нет и не может	1	1
23	между вещами и ценностями	1	1
24	одном и том же	1	1
25	в данном случае не	1	1
26	начала и до конца	1	1
27	имеет дело только с	1	1
28	в этом отношении на	1	1
29	есть не что иное	1	1
