N	3gram	Losev_Dial	Vvedenie
1	и т д	28	39
2	для того чтобы	1	22
3	в том что	12	15
4	о том что	6	13
5	не может быть	4	10
6	в этом смысле	4	10
7	но также и	1	10
8	тем не менее	3	9
9	в широком смысле	2	7
10	до сих пор	4	7
11	том что такое	1	6
12	в самом деле	3	6
13	к выводу что	2	6
14	в то же	7	6
15	то же время	8	6
16	и т п	3	5
17	в том чтобы	1	5
18	не что иное	4	5
19	что иное как	4	5
20	с другой стороны	7	5
21	т д но	2	5
22	во всяком случае	3	5
23	вопрос о том	1	5
24	и в том	1	4
25	по крайней мере	11	4
26	с точки зрения	18	4
27	по сравнению с	2	4
28	и в особенности	1	4
29	так или иначе	3	4
30	само по себе	7	4
31	можно было бы	4	4
32	не только в	2	4
33	в данном случае	1	4
34	т е в	3	4
35	но все же	2	4
36	с одной стороны	3	4
37	в этом отношении	2	4
38	и в этом	4	4
39	т д однако	1	3
40	одной стороны и	3	3
41	и тем не	1	3
42	той или иной	4	3
43	большей или меньшей	1	3
44	вместе с тем	1	3
45	в чем же	1	3
46	можно сказать что	6	3
47	дело в том	1	3
48	но в то	1	3
49	в зависимости от	2	3
50	тех или иных	1	3
51	можно говорить о	1	3
52	и то что	1	3
53	есть не что	3	3
54	то же самое	3	3
55	сама по себе	12	3
56	как она есть	3	2
57	в этих случаях	1	2
58	можно представить себе	2	2
59	т е не	1	2
60	как будто бы	3	2
61	не в том	2	2
62	мы уже знаем	4	2
63	на задний план	1	2
64	может ли быть	1	2
65	обратим внимание на	1	2
66	что в общем	1	2
67	том или ином	1	2
68	что же касается	1	2
69	может быть в	2	2
70	это не только	1	2
71	только в том	1	2
72	и той же	1	2
73	и то же	8	2
74	каждой из них	1	2
75	не говоря уже	1	2
76	сам по себе	8	2
77	т д в	1	2
78	т д все	2	2
79	а между тем	1	2
80	это еще не	1	2
81	в конце концов	4	2
82	потому что он	5	2
83	одно и то	8	2
84	одной и той	1	2
85	точно так же	3	2
86	что в нем	4	2
87	принять во внимание	2	2
88	подобно тому как	1	2
89	не могут быть	1	2
90	представить себе что	1	2
91	в связи с	3	2
92	чтобы можно было	1	2
93	всего то что	1	2
94	что несмотря на	1	2
95	вовсе не в	3	2
96	может быть и	6	2
97	не просто выражение	1	1
98	т е по	3	1
99	не просто как	2	1
100	но ведь это	2	1
101	всяком случае гораздо	1	1
102	что оно имеет	1	1
103	в той или	3	1
104	т е о	2	1
105	бы и не	2	1
106	в своей природе	1	1
107	а не иначе	1	1
108	англичане и немцы	1	1
109	это может быть	1	1
110	в одном месте	1	1
111	что это есть	1	1
112	уже знаем это	1	1
113	если и нужно	1	1
114	по себе так	2	1
115	и это есть	1	1
116	здесь в малом	1	1
117	тот смысл что	1	1
118	в том как	1	1
119	но и в	1	1
120	нисколько не мешает	1	1
121	во главе с	1	1
122	как он есть	1	1
123	от того что	1	1
124	е по существу	1	1
125	было бы в	1	1
126	наука не получила	1	1
127	в том смысле	4	1
128	что в одном	1	1
129	что это только	2	1
130	точки зрения можно	1	1
131	как это было	1	1
132	а потому принципиально	1	1
133	все равно не	1	1
134	имеется в виду	3	1
135	на самом деле	3	1
136	и понимать ее	1	1
137	то или иное	4	1
138	из них и	1	1
139	которые были бы	1	1
140	не наука а	1	1
141	случае не есть	2	1
142	много общего с	1	1
143	мы говорим о	1	1
144	но уже и	3	1
145	отсюда следует что	1	1
146	дело не в	1	1
147	все же это	1	1
148	что не только	1	1
149	отчет в том	1	1
150	а именно в	1	1
151	исторического бытия и	1	1
152	а в другом	1	1
153	и не в	1	1
154	как один из	2	1
155	в каждом из	2	1
156	т д мы	1	1
157	он мог бы	1	1
158	т д и	3	1
159	не значит что	6	1
160	но если мы	1	1
161	когда мы говорим	2	1
162	как бы ее	1	1
163	говорить о том	1	1
164	связи с этим	2	1
165	в подлинном смысле	1	1
166	более или менее	5	1
167	в качестве примера	2	1
168	и есть то	1	1
169	для того кто	1	1
170	в тех или	2	1
171	но это только	1	1
172	в таком случае	2	1
173	каждом из них	1	1
174	при известных условиях	1	1
175	если принять во	1	1
176	говоря уже о	1	1
177	так как она	4	1
178	может быть только	2	1
179	в них не	1	1
180	потому что и	2	1
181	или нет и	1	1
182	самого по себе	3	1
183	не было бы	2	1
184	и от того	1	1
185	потому что она	3	1
186	деле то что	1	1
187	то что можно	1	1
188	не потому что	5	1
189	но что такое	3	1
190	не только о	1	1
191	сказать что в	1	1
192	того что в	1	1
193	бы оно было	1	1
194	в обоих случаях	1	1
195	с этой стороны	2	1
196	образом связана с	1	1
197	об отношении его	1	1
198	в этом пункте	1	1
199	как раз в	1	1
200	сомневаться в том	2	1
201	могут не быть	1	1
202	чтобы убедиться в	1	1
203	это не просто	1	1
204	нечего и говорить	2	1
205	так же как	1	1
206	природы таким образом	1	1
207	бы ее ни	1	1
208	только потому что	4	1
209	д все это	2	1
210	том что в	1	1
211	в сравнении с	1	1
212	сказать что он	1	1
213	а потому что	2	1
214	по себе не	7	1
215	но в силу	1	1
216	и что такое	1	1
217	тогда когда оно	2	1
218	а в том	1	1
219	и даже прямо	1	1
220	уже и сейчас	1	1
221	с самого начала	2	1
222	том что он	1	1
223	может быть названа	1	1
224	и об отношении	1	1
225	вообще т е	1	1
226	не может не	1	1
227	есть т е	1	1
228	по глубине и	1	1
229	так как и	2	1
230	так а не	1	1
231	она может быть	1	1
232	вопрос об ее	2	1
233	и говорить о	2	1
234	и даже просто	2	1
235	к тому что	3	1
236	та или иная	4	1
237	только то что	6	1
238	все это не	1	1
239	с одинаковым успехом	1	1
240	в разной мере	1	1
241	есть не просто	2	1
242	месте в системе	1	1
243	в виду их	1	1
244	ту или иную	1	1
245	из того что	1	1
246	отношении его к	1	1
247	а не только	1	1
248	том смысле что	3	1
249	только тогда когда	4	1
250	не то что	1	1
251	имея в виду	1	1
252	не существует и	1	1
253	но от этого	1	1
254	уже само по	1	1
255	в чистом виде	1	1
256	теснейшим образом связана	1	1
257	не есть наука	1	1
258	всего того что	1	1
259	в нем есть	6	1
260	могут быть в	1	1
261	в разной степени	2	1
262	потому что они	2	1
263	мы имеем дело	1	1
264	же самое и	1	1
265	себе не есть	1	1
