N	3gram	Bakhtin_Pr	Vladivir
1	в том что	6	29
2	о том что	2	22
3	тем не менее	2	18
4	что же касается	1	14
5	в письме к	2	13
6	в то время	2	13
7	дело в том	1	13
8	во всяком случае	4	12
9	в связи с	1	12
10	более или менее	4	11
11	в конце концов	7	11
12	к тому же	2	11
13	не может быть	8	10
14	в то же	13	10
15	с точки зрения	21	10
16	то что он	1	9
17	в этом смысле	12	9
18	у него в	2	9
19	как раз и	5	9
20	то же время	13	9
21	на то что	2	8
22	точно так же	1	7
23	так или иначе	1	6
24	само по себе	4	6
25	в данном случае	2	6
26	в отличие от	4	6
27	с другой стороны	6	6
28	и в этом	5	6
29	как мы знаем	1	6
30	в настоящее время	3	6
31	как мы видели	1	6
32	том что он	5	6
33	он никогда не	1	5
34	и в то	2	5
35	бы то ни	3	5
36	и в том	1	5
37	он не только	2	5
38	то что в	1	5
39	не только в	2	5
40	то время как	2	5
41	что и в	1	5
42	можно сказать что	2	4
43	как мы уже	2	4
44	в том же	1	4
45	для того чтобы	1	4
46	в этом отношении	3	4
47	сам по себе	2	4
48	у него не	1	4
49	и т д	4	4
50	по крайней мере	2	4
51	заключается в том	1	4
52	в себе и	2	4
53	мы будем говорить	1	4
54	можно было бы	3	4
55	с одной стороны	1	4
56	также и в	1	4
57	что он не	1	3
58	кроме того и	1	3
59	хотя бы и	3	3
60	в самом деле	6	3
61	в том числе	1	3
62	не в том	1	3
63	во что бы	1	3
64	иметь в виду	1	3
65	а в том	1	3
66	не только не	2	3
67	это вовсе не	2	3
68	к тому что	1	3
69	только то что	2	3
70	но это не	2	3
71	раз и навсегда	1	3
72	в свою очередь	1	3
73	мы знаем в	1	3
74	и до конца	2	3
75	в конце своей	1	3
76	хотя и не	3	3
77	что бы то	1	3
78	и в частности	1	3
79	так что в	1	3
80	с самого начала	1	3
81	с начала и	2	3
82	уже не только	1	3
83	то ни стало	1	3
84	нам кажется что	3	3
85	начала и до	2	3
86	так же как	1	2
87	но только в	1	2
88	одной стороны и	1	2
89	а не на	1	2
90	и не в	1	2
91	на том же	1	2
92	этом смысле его	1	2
93	здесь перед нами	1	2
94	оно должно быть	2	2
95	далеко за пределы	1	2
96	ли бы он	1	2
97	до некоторой степени	1	2
98	необходимо заметить что	1	2
99	в этой статье	1	2
100	в таком случае	1	2
101	так и в	2	2
102	до сих пор	9	2
103	для своего времени	1	2
104	точки зрения того	1	2
105	нельзя сказать о	1	2
106	то ни было	2	2
107	не может не	1	2
108	ни в какие	1	2
109	но что же	1	2
110	а не только	1	2
111	из этих трех	3	2
112	так как в	1	2
113	сих пор не	1	2
114	в том и	2	2
115	к нему и	2	2
116	а так как	1	2
117	а следовательно и	2	2
118	независимо от того	1	2
119	но у него	1	2
120	несмотря на свою	1	2
121	но в то	7	2
122	в этом случае	1	2
123	есть прежде всего	1	2
124	что в нем	1	2
125	и что в	1	2
126	как мы увидим	3	2
127	для него только	1	2
128	как мы сказали	3	2
129	и на его	1	2
130	притом не только	1	2
131	это и есть	1	2
132	в этом не	1	2
133	после того как	1	2
134	может быть и	2	2
135	для него самого	2	1
136	после которого я	1	1
137	мы и в	1	1
138	он тоже не	1	1
139	но все эти	1	1
140	у него есть	1	1
141	и в жизни	1	1
142	но и не	2	1
143	от того кто	1	1
144	все то что	3	1
145	может быть назван	1	1
146	как будто бы	1	1
147	у него действительно	1	1
148	бы он ни	2	1
149	ни на минуту	1	1
150	точка зрения с	1	1
151	ведь и сам	3	1
152	о нем в	2	1
153	что же это	1	1
154	в себе в	1	1
155	и даже не	1	1
156	со всякого рода	1	1
157	но вовсе не	1	1
158	то к чему	1	1
159	в той же	3	1
160	до известной степени	1	1
161	и наконец в	2	1
162	почти никогда не	1	1
163	в известной степени	1	1
164	в одном глазу	1	1
165	же это за	1	1
166	всего свобода и	1	1
167	в нем мы	1	1
168	впервые появилась в	1	1
169	письме к страхову	1	1
170	но с таким	1	1
171	как и его	1	1
172	о которых мы	1	1
173	но находится в	1	1
174	мы его не	1	1
175	в сущности ничего	1	1
176	он не может	1	1
177	а может быть	1	1
178	и только на	1	1
179	мы ее понимаем	1	1
180	прежде всего свобода	1	1
181	то что есть	1	1
182	они не могут	1	1
183	потому что она	3	1
184	тот же самый	1	1
185	из самого понятия	1	1
186	и так сказать	1	1
187	что весь этот	1	1
188	сообщение о том	1	1
189	его жизнь в	1	1
190	конечно не в	2	1
191	в одной плоскости	7	1
192	не потому что	1	1
193	что он сам	1	1
194	то они тоже	1	1
195	мысли и слова	1	1
196	потому что он	1	1
197	но именно в	1	1
198	и не принимает	1	1
199	той или иной	1	1
200	резко отличается от	2	1
201	в его сознании	1	1
202	как будто и	2	1
203	а потому и	1	1
204	и никогда не	1	1
205	по себе не	1	1
206	он в сущности	1	1
207	до настоящего времени	2	1
208	ни в одном	3	1
209	здесь мы должны	1	1
210	нужно сказать что	1	1
211	не для самого	1	1
212	и не хочет	1	1
213	то что для	1	1
214	то же самое	1	1
215	сама по себе	5	1
216	другом месте и	1	1
217	так что этот	1	1
218	о нем никакого	1	1
219	не довлеет себе	1	1
220	в высшей степени	1	1
221	приходится признать что	1	1
222	но все же	3	1
223	в какой бы	1	1
224	на минуту не	1	1
225	однако нам кажется	1	1
226	в известном смысле	1	1
227	перед нами не	1	1
228	его личности и	1	1
229	он видел и	1	1
230	он все же	1	1
231	не мог бы	1	1
232	от нее в	1	1
233	в этом последнем	1	1
234	и потому не	1	1
235	я знаю что	1	1
236	того что он	1	1
237	с ним не	1	1
238	говорит в письме	1	1
239	собственном смысле слова	1	1
240	тому что в	1	1
241	но он не	1	1
242	и для него	1	1
243	бы это было	1	1
244	человека и его	2	1
245	почему же и	1	1
246	только в своем	1	1
247	по существу своему	1	1
248	и во всяком	1	1
249	тем что в	1	1
250	в сознании и	1	1
251	прежде всего на	1	1
252	может быть самым	1	1
253	и только в	1	1
254	смысле как мы	1	1
255	но и в	1	1
256	не удалось но	1	1
257	он говорит в	1	1
258	и от других	1	1
259	есть а как	1	1
260	не с точки	1	1
261	почти такой же	1	1
262	выйти за пределы	1	1
263	об этом уже	1	1
264	вид что я	1	1
265	том что это	1	1
266	что как раз	1	1
267	не дал ему	1	1
268	в своей работе	1	1
269	как и сам	1	1
270	какой бы то	1	1
271	зрения с которой	1	1
272	сознании и в	2	1
273	другой стороны мы	1	1
274	точки зрения это	1	1
275	и если мы	1	1
276	это не только	1	1
277	как впрочем и	1	1
278	во всей истории	1	1
279	на этот вопрос	2	1
280	то и другое	1	1
281	все же не	3	1
282	которую он и	1	1
283	уже не может	1	1
284	как мы ее	1	1
285	однако в этой	1	1
286	не было бы	1	1
287	в противном случае	1	1
288	вовсе еще не	1	1
289	если бы эти	1	1
290	того что и	1	1
291	бы в себе	1	1
292	т п с	1	1
293	смысле этого слова	1	1
294	же время и	1	1
295	так что и	1	1
296	не была бы	2	1
297	идея как предмет	2	1
298	со всеми его	1	1
299	он знает что	1	1
300	ведь только это	1	1
301	по себе как	1	1
302	тут уже не	1	1
303	у него уже	1	1
304	он в конце	1	1
305	уже не было	1	1
306	ту же тему	2	1
307	но тем не	1	1
308	к той же	1	1
309	не теряя своей	1	1
310	в результате такого	2	1
311	же как и	2	1
312	в обычном смысле	1	1
313	у него нет	1	1
314	в собственном смысле	1	1
315	с ним и	2	1
316	такой же как	1	1
317	жизни а не	1	1
318	не в одном	2	1
319	важное место и	1	1
320	выходит за пределы	1	1
321	не менее и	1	1
322	а вовсе не	2	1
323	которая как раз	1	1
324	и в нем	2	1
325	то что я	1	1
326	и не может	6	1
327	одной плоскости с	4	1
328	этой точки зрения	2	1
329	к учению о	1	1
330	оно может быть	2	1
331	находим у достоевского	1	1
332	не только как	1	1
333	в виду что	1	1
334	вместе с достоевским	1	1
335	если бы не	1	1
336	еще не успел	1	1
