N	2gram	Bakhtin_sl	Sovremen
1	не может	27	17
2	может быть	40	12
3	точки зрения	24	12
4	таким образом	16	11
5	мы не	4	9
6	в каждом	5	8
7	в этом	21	7
8	и в	69	7
9	не можем	1	7
10	мы можем	1	6
11	в результате	4	6
12	только одна	1	6
13	как и	8	6
14	ничего не	5	6
15	и не	32	6
16	с точки	11	5
17	прежде всего	14	5
18	все эти	15	5
19	в условиях	3	5
20	и наконец	9	5
21	а в	10	4
22	так как	7	4
23	это не	8	4
24	не только	37	4
25	с помощью	5	4
26	как бы	16	4
27	нет и	1	4
28	если мы	2	4
29	системы в	1	4
30	в зависимости	4	4
31	жизни и	5	4
32	вместе с	3	4
33	в целом	3	4
34	в том	7	4
35	зависимости от	4	4
36	из них	3	4
37	точку зрения	6	4
38	мы видели	3	4
39	и к	9	3
40	и потому	9	3
41	видели что	1	3
42	на этой	1	3
43	с самого	1	3
44	уже в	2	3
45	то же	17	3
46	у каждого	2	3
47	при этом	12	3
48	поэтому мы	1	3
49	не в	14	3
50	а не	29	3
51	в системе	2	3
52	для нас	7	3
53	все это	14	3
54	как он	2	3
55	в одном	4	3
56	у нас	2	3
57	самого начала	1	3
58	в конце	1	3
59	было бы	3	3
60	в первом	3	3
61	в этой	1	3
62	он в	6	3
63	и все	9	3
64	мы называем	1	3
65	в себе	3	3
66	естественных наук	1	3
67	что она	1	3
68	он может	3	3
69	одна из	6	3
70	состоит из	1	3
71	все же	10	3
72	в области	1	3
73	может не	9	3
74	отличается от	3	3
75	между собой	3	3
76	отнюдь не	1	3
77	в нем	44	3
78	но мы	2	3
79	но в	13	3
80	еще не	9	3
81	с этим	5	2
82	что в	3	2
83	тем не	2	2
84	в самом	6	2
85	совершенно не	2	2
86	мы видим	2	2
87	значение в	2	2
88	и что	2	2
89	для развития	1	2
90	отличие от	13	2
91	друг с	2	2
92	то и	1	2
93	о значении	1	2
94	с одной	7	2
95	в отличие	12	2
96	такого рода	2	2
97	в свою	4	2
98	из этих	3	2
99	в его	19	2
100	во всяком	9	2
101	не дает	1	2
102	еще более	7	2
103	помощью которых	1	2
104	то ни	1	2
105	только так	1	2
106	новых условиях	1	2
107	или же	1	2
108	что при	1	2
109	быть и	6	2
110	в некоторых	3	2
111	только один	1	2
112	что такое	1	2
113	может иметь	3	2
114	если же	1	2
115	говорить о	2	2
116	на его	9	2
117	конечно в	2	2
118	с общим	1	2
119	на их	1	2
120	у него	5	2
121	для его	1	2
122	не могут	7	2
123	в новых	2	2
124	в виде	4	2
125	со всеми	3	2
126	а на	3	2
127	свою очередь	3	2
128	и даже	11	2
129	как известно	1	2
130	говорим о	1	2
131	в которой	4	2
132	но все	2	2
133	своим особым	1	2
134	необходимо отметить	3	2
135	как мы	15	2
136	и во	3	2
137	той же	3	2
138	могут быть	25	2
139	в таком	5	2
140	в нашем	1	2
141	уже не	5	2
142	не знаем	3	2
143	и есть	2	2
144	и они	1	2
145	что все	2	2
146	или иной	13	2
147	на этот	1	2
148	говорить об	1	2
149	на этом	4	2
150	роль в	4	2
151	не менее	4	2
152	так сказать	11	2
153	же мы	1	2
154	приводит к	2	2
155	и по	3	2
156	своего предмета	5	2
157	на котором	3	2
158	между всеми	1	2
159	с другом	2	2
160	из одного	2	2
161	в один	2	2
162	каждого из	1	2
163	на другом	1	2
164	тот же	1	2
165	всяком случае	7	2
166	он должен	1	2
167	же просто	1	1
168	прошлого века	1	1
169	жизни но	2	1
170	во всех	25	1
171	все они	9	1
172	только одно	1	1
173	остановимся здесь	1	1
174	на предметы	1	1
175	лишь там	1	1
176	бы то	1	1
177	отдельных конкретных	1	1
178	которые в	4	1
179	совершенно иными	1	1
180	поскольку она	1	1
181	этого и	1	1
182	в социальном	2	1
183	именно к	3	1
184	при определенных	1	1
185	это и	1	1
186	его и	5	1
187	этом случае	4	1
188	реагирует на	1	1
189	в свое	3	1
190	только не	2	1
191	влечет за	1	1
192	продолжается но	1	1
193	а потому	1	1
194	во втором	1	1
195	то он	1	1
196	человека в	5	1
197	к различным	2	1
198	но как	2	1
199	и снова	1	1
200	чем же	1	1
201	не является	3	1
202	не допускает	1	1
203	из многих	3	1
204	в данном	5	1
205	до сих	4	1
206	все его	4	1
207	ему принадлежит	1	1
208	при условии	1	1
209	явлений не	1	1
210	еще раз	3	1
211	и более	3	1
212	невозможным и	1	1
213	та же	1	1
214	по преимуществу	5	1
215	в действительности	1	1
216	системы не	1	1
217	от его	4	1
218	сохраняя при	1	1
219	оно конечно	1	1
220	видим что	1	1
221	в вопросах	1	1
222	в процессе	14	1
223	с жизнью	1	1
224	данном случае	3	1
225	ведь в	1	1
226	в очень	1	1
227	не имеют	1	1
228	связи с	4	1
229	например у	3	1
230	здесь нет	1	1
231	быть при	1	1
