N	2gram	Berdyaev_M	Problema
1	и в	61	182
2	то есть	3	165
3	и не	26	152
4	вовсе не	1	145
5	то что	10	144
6	не есть	21	113
7	не только	42	104
8	потому что	25	89
9	в этом	34	88
10	может быть	42	82
11	в том	9	81
12	том что	7	81
13	только в	7	73
14	сказать что	5	72
15	но и	34	70
16	у нас	13	68
17	также и	6	68
18	и даже	1	66
19	по себе	2	64
20	даже и	2	63
21	не менее	1	58
22	о том	5	57
23	а не	36	56
24	так и	5	56
25	но в	12	55
26	так что	3	52
27	ни в	3	51
28	для нас	3	50
29	в себе	12	48
30	смысле слова	7	47
31	было бы	11	46
32	прежде всего	18	45
33	в своей	18	45
34	что в	12	44
35	в его	10	44
36	не в	16	43
37	все эти	3	43
38	то же	4	42
39	а именно	1	42
40	и что	4	40
41	и то	2	40
42	что он	16	40
43	так как	10	40
44	что мы	1	40
45	во всяком	1	39
46	не может	39	39
47	такого рода	1	39
48	и тем	1	39
49	в этой	12	39
50	как бы	10	39
51	хотя бы	8	37
52	в нем	26	37
53	того что	13	37
54	точки зрения	6	36
55	еще не	1	36
56	и все	13	36
57	когда мы	2	35
58	и т	1	35
59	в виду	2	34
60	уже не	8	34
61	и с	6	34
62	как и	14	34
63	в то	2	32
64	но не	8	32
65	так же	5	31
66	в своем	17	31
67	что такое	2	31
68	в конце	11	31
69	но это	8	31
70	все это	6	31
71	и для	7	30
72	с другой	1	30
73	все же	2	29
74	об этом	2	29
75	что же	2	28
76	мы не	2	28
77	а в	4	28
78	есть только	2	28
79	и о	1	28
80	и это	16	27
81	и как	3	27
82	хотя и	2	27
83	ничего не	4	27
84	да и	1	26
85	как будто	4	26
86	вместе с	7	26
87	это не	10	26
88	и его	13	26
89	и на	9	25
90	с точки	1	25
91	всяком случае	1	25
92	с тем	10	24
93	на самом	2	24
94	тем более	1	24
95	в нашем	2	24
96	не имеет	7	24
97	по своему	3	23
98	только и	7	23
99	на то	1	23
100	конце концов	3	23
101	то и	1	23
102	есть не	9	23
103	и к	9	22
104	вещи и	1	22
105	можно ли	2	22
