N	4gram	Potebnia_M	Mirosoze
1	в то время как	1	4
2	не что иное как	2	4
3	одной и той же	3	3
4	в том что он	1	3
5	все более и более	2	2
6	той мере в какой	1	1
7	в том смысле что	2	1
8	в том случае если	1	1
9	потому что она ведет	1	1
10	для него как для	1	1
11	это нисколько не противоречит	1	1
12	во всяком случае для	1	1
13	и во многих других	1	1
14	в том смысле в	4	1
15	указывает на то что	1	1
16	а от того что	1	1
17	в то же время	3	1
18	во втором случае человек	1	1
19	с психологической точки зрения	1	1
20	как и во многих	1	1
21	не могла бы вместить	1	1
22	а между тем в	2	1
23	в той мере в	1	1
24	никогда не достигает того	1	1
25	не от того что	1	1
26	для того чтобы сделать	1	1
27	том смысле в каком	4	1
28	не может быть названо	2	1
29	в том что все	1	1
30	а не в том	1	1
31	подобно тому как в	1	1
32	тем что в нем	1	1
33	в том что оно	1	1
