N	3gram	Bakhtin_sl	VeschiIm
1	и т д	7	38
2	не может быть	11	24
3	бы то ни	1	12
4	то ни было	1	12
5	тем не менее	2	11
6	по крайней мере	1	10
7	в том что	4	9
8	на то что	1	7
9	сама по себе	2	7
10	с точки зрения	11	6
11	может быть только	3	6
12	так или иначе	1	6
13	в свою очередь	3	5
14	в чем же	1	5
15	в то же	15	5
16	и то же	2	5
17	одно и то	2	5
18	не только в	3	5
19	равно как и	1	4
20	то время как	2	4
21	этой точки зрения	1	4
22	с этой точки	1	4
23	в то время	2	4
24	более или менее	5	4
25	не только не	2	4
26	дело в том	1	4
27	о том что	2	4
28	то же время	15	4
29	мы видели что	1	3
30	и даже не	1	3
31	и ничем не	1	3
32	и не в	1	3
33	можно сказать что	1	3
34	вообще не есть	1	3
35	сами по себе	1	3
36	она не может	1	3
37	мы не можем	1	3
38	можно было бы	2	3
39	и в то	6	3
40	в собственном смысле	2	3
41	не может не	5	3
42	с одной стороны	7	3
43	с другой стороны	5	3
44	в той или	12	2
45	все то что	1	2
46	а не к	1	2
47	в применении к	1	2
48	мы видим что	1	2
49	дело не с	2	2
50	в данном случае	3	2
51	у нас в	1	2
52	и в в	1	2
53	есть не только	1	2
54	общения с ним	1	2
55	в свое время	1	2
56	хотя бы и	5	2
57	а следовательно и	2	2
58	для того чтобы	1	2
59	мы еще не	1	2
60	друг с другом	2	2
61	если она не	2	2
62	том что он	1	2
63	и в частности	1	2
64	не есть еще	1	2
65	в первом случае	2	2
66	в отношении к	9	2
67	и кроме того	2	2
68	тех или иных	1	2
69	даже и не	1	2
70	как бы ни	2	2
71	а затем и	1	2
72	нужно сказать что	1	2
73	а не в	1	2
74	в связи с	2	2
75	к тому что	2	2
76	и с другой	2	2
77	но все же	1	2
78	во всяком случае	7	2
79	в этом отношении	2	2
80	и в этом	2	2
81	а не только	1	2
82	и в смысле	1	2
83	мы все же	1	1
84	что он не	1	1
85	у нее нет	1	1
86	во-первых все эти	1	1
87	одной стороны и	2	1
88	то и в	1	1
89	самых основных и	1	1
90	данный момент его	2	1
91	и не все	1	1
92	это не значит	2	1
93	так что мы	1	1
94	точка зрения на	3	1
95	одно и единое	1	1
96	и прежде всего	1	1
97	по себе а	1	1
98	и во всяком	1	1
99	но и здесь	3	1
100	только одна из	1	1
101	и может быть	1	1
102	но и в	2	1
103	человек имеет дело	1	1
104	как и вся	1	1
105	т д если	1	1
106	а не те	1	1
107	как это было	1	1
108	отличие его от	1	1
109	лишь одна из	1	1
110	и в особенности	5	1
111	к действительности и	1	1
112	здесь не только	1	1
113	один и единственный	1	1
114	то или иное	1	1
115	ни в какой	1	1
116	при каких условиях	1	1
117	однако и здесь	1	1
118	эта точка зрения	1	1
119	в себя момент	1	1
120	в пределах самого	1	1
121	г г шпет	1	1
122	меньше чем в	2	1
123	на то или	1	1
124	и во всех	2	1
125	и в нем	1	1
126	и не было	1	1
127	это не только	1	1
128	только так что	1	1
129	из этого диалога	1	1
130	они вообще не	1	1
131	есть только в	1	1
132	с полной очевидностью	1	1
133	говорит о том	1	1
134	становления и в	1	1
135	да и в	1	1
136	в сущности один	1	1
137	один единый и	1	1
138	до сих пор	4	1
139	одной из самых	1	1
140	именно потому что	1	1
141	ведь не из	1	1
142	понимание того что	1	1
143	неразрывно связан с	2	1
144	далеко не все	1	1
145	бы и не	1	1
146	но как ни	1	1
147	речь идет о	1	1
148	из своего внутреннего	1	1
149	слов а не	1	1
150	мы не знаем	2	1
151	и ничего не	1	1
152	как мы видим	1	1
153	его речь и	1	1
154	в своей основной	1	1
155	в этом случае	4	1
156	себя в этом	1	1
157	но в то	6	1
158	а в том	1	1
159	и слов и	1	1
160	себя в своем	1	1
161	не зная ее	1	1
162	по самому своему	1	1
163	и в той	1	1
164	что они не	1	1
165	у него нет	2	1
166	в зависимости от	4	1
167	с ним и	1	1
168	имеет дело с	1	1
169	в новое время	2	1
170	не меньше чем	2	1
171	ни при каких	1	1
172	и этого мало	1	1
173	и может не	1	1
174	самом же деле	1	1
175	хотя бы только	1	1
176	в сущности и	1	1
177	но этот путь	1	1
178	на самом же	1	1
179	но в этом	2	1
180	свой смысл и	1	1
181	на первый план	1	1
182	и следовательно имеет	1	1
183	точки зрения и	1	1
184	как только он	1	1
185	наконец в плане	1	1
186	это было бы	1	1
187	те или иные	4	1
188	в сущности всегда	1	1
189	только в смысле	1	1
190	и не может	2	1
191	мы уже сказали	3	1
192	вовсе не в	1	1
193	а также и	3	1
194	может быть и	2	1
