N	2gram	Propp_Russ	OGranits
1	и в	59	13
2	и его	2	12
3	прежде всего	2	9
4	может быть	14	8
5	и не	6	8
6	не может	6	8
7	и пр	4	7
8	в его	3	7
9	и их	4	7
10	точки зрения	3	7
11	таким образом	10	6
12	не только	28	6
13	мы должны	3	6
14	только в	4	6
15	то что	10	6
16	как бы	18	6
17	с точки	3	5
18	все же	7	5
19	и наконец	2	5
20	в каждом	2	4
21	мы можем	2	4
22	не является	2	4
23	мы не	11	4
24	то же	6	4
25	еще и	1	4
26	было бы	3	4
27	все это	12	4
28	в своей	1	4
29	в двух	2	4
30	но мы	1	4
31	но в	5	4
32	г в	5	3
33	с этим	4	3
34	что в	35	3
35	и то	2	3
36	так и	8	3
37	не как	1	3
38	говорить о	2	3
39	в одном	4	3
40	не столько	3	3
41	отношению к	1	3
42	по отношению	1	3
43	превращается в	1	3
44	слово в	1	3
45	в пределах	2	3
46	в их	5	3
47	здесь мы	3	3
48	самом деле	1	3
49	не в	2	3
50	в которой	3	3
51	и все	4	3
52	общего с	1	3
53	но для	1	3
54	в себе	1	3
55	так как	25	3
56	вряд ли	2	3
57	но и	20	3
58	и для	3	3
59	как и	19	3
60	ничего общего	3	3
61	точку зрения	1	3
62	никогда не	1	3
63	в области	3	2
64	к сожалению	1	2
65	своего рода	3	2
66	во всем	2	2
67	и к	3	2
68	что они	8	2
69	того или	1	2
70	форм и	1	2
71	мы видим	2	2
72	иное как	3	2
73	в данном	7	2
74	мы уже	2	2
75	а как	1	2
76	в своих	3	2
77	в этом	18	2
78	что иное	3	2
79	в общем	1	2
80	в целях	4	2
81	данном случае	8	2
82	с одной	1	2
83	в течение	7	2
84	входит в	4	2
85	для себя	1	2
86	наконец в	1	2
87	и при	2	2
88	одной стороны	1	2
89	который мы	1	2
90	в другом	1	2
91	при этом	11	2
92	несмотря на	4	2
93	между тем	9	2
94	для него	1	2
95	в этот	19	2
96	и тем	1	2
97	в руках	3	2
98	те же	1	2
99	связанные с	5	2
100	ее в	7	2
101	в том	33	2
102	выбор и	1	2
103	с этой	2	2
104	что эта	1	2
105	в тех	5	2
106	но такое	1	2
107	против такого	1	2
108	ни одно	2	2
109	не что	3	2
110	но так	1	2
111	не на	2	2
112	от этого	2	2
113	так же	7	2
114	думать что	3	2
115	в них	10	2
116	а в	16	2
117	в г	6	2
118	связанных с	2	2
119	если бы	1	2
120	в ряд	2	2
121	а также	6	2
122	мы со	1	2
123	с г	2	2
124	на две	3	2
125	еще в	6	2
126	в ней	3	2
127	тем что	7	2
128	и др	4	2
129	могут быть	3	2
130	его на	1	2
131	в связи	4	2
132	имеет место	3	2
133	во всей	2	2
134	с ними	6	2
135	говорить об	1	2
136	все эти	5	2
137	с другой	1	2
138	как в	10	2
139	не менее	3	2
140	г по	1	2
141	нуждается в	1	2
142	не имеет	9	2
143	там где	3	2
144	том что	33	2
145	в нем	3	2
146	уже в	2	2
147	и следовательно	2	2
148	зависимости от	1	2
149	а не	3	2
150	всей своей	1	2
151	в чем	1	2
152	в целом	2	2
153	и ее	3	2
154	тот же	2	2
155	подойти к	2	2
156	к тому	4	2
157	в дальнейшем	2	1
158	в особенности	3	1
159	но у	1	1
160	его к	3	1
161	в некоторых	11	1
162	только одно	2	1
163	себе в	1	1
164	в каждой	1	1
165	к которому	1	1
166	и наоборот	1	1
167	в пении	1	1
168	обычно в	2	1
169	ее и	2	1
170	относятся и	1	1
171	этом говорит	1	1
172	и других	9	1
173	и он	1	1
174	один из	10	1
175	можно установить	2	1
176	можно говорить	2	1
177	и здесь	3	1
178	рождения и	1	1
179	значение так	1	1
180	то это	1	1
181	отличие от	4	1
182	вопрос о	4	1
183	что мы	1	1
184	на этом	6	1
185	к слову	3	1
186	они не	1	1
187	которую мы	1	1
188	которым можно	1	1
189	на нем	1	1
190	не имеют	1	1
191	только что	1	1
192	его чрезвычайно	1	1
193	ее на	3	1
194	как средство	1	1
195	которые не	3	1
196	должно быть	2	1
197	того как	6	1
198	если он	1	1
199	и морфологические	1	1
200	в самых	1	1
201	которой он	1	1
202	и который	1	1
203	необходимо чтобы	1	1
204	не могу	1	1
205	на очень	1	1
206	на том	1	1
207	есть одно	1	1
208	это все	1	1
209	были для	1	1
210	эти слова	1	1
211	более или	1	1
212	г о	1	1
213	внимание на	1	1
214	потому что	15	1
215	должны быть	1	1
216	и остаются	1	1
217	от первого	1	1
218	но даже	2	1
219	того чтобы	6	1
220	же как	5	1
221	и более	3	1
222	мы имеем	7	1
223	и у	5	1
224	также и	1	1
225	ту же	2	1
226	для которой	1	1
227	не говорить	1	1
228	это и	1	1
229	для того	6	1
230	совсем не	1	1
231	тому как	3	1
232	тому что	4	1
233	все то	1	1
234	с одним	1	1
235	которые и	1	1
236	быть не	1	1
237	сопоставляется с	1	1
238	под ним	2	1
239	и должна	2	1
240	он и	1	1
241	уже к	1	1
242	главное и	1	1
243	работы но	1	1
244	его и	2	1
245	не всегда	4	1
246	песенного типа	1	1
247	он называет	1	1
248	в своем	3	1
249	в разных	3	1
250	или же	2	1
251	своей общей	1	1
252	этот момент	1	1
253	этом отношении	1	1
254	слово для	1	1
255	эту связь	1	1
256	две формы	2	1
257	что при	2	1
258	из наиболее	2	1
259	примыкает к	1	1
260	тем не	3	1
261	но тем	2	1
262	здесь он	1	1
263	некоторые исследователи	3	1
264	в другой	1	1
265	как это	11	1
266	нее как	1	1
267	но может	1	1
268	те или	1	1
269	научно объяснить	1	1
270	и лучше	2	1
271	не думает	1	1
272	к тем	4	1
273	этот не	2	1
274	только на	4	1
275	и через	2	1
276	из того	1	1
277	об этом	11	1
278	борьбе с	1	1
279	только потому	1	1
280	себе на	1	1
281	разница в	1	1
282	не приходится	1	1
283	того общего	1	1
284	и что	8	1
285	встал на	1	1
286	этим словом	1	1
287	на самом	3	1
288	в различных	3	1
289	для них	5	1
290	можно было	3	1
291	в этой	4	1
292	людей и	1	1
293	это слово	1	1
294	у других	1	1
295	иметь в	2	1
296	в начале	1	1
297	ни одна	2	1
298	во все	1	1
299	в виду	3	1
300	в нашей	1	1
301	что к	1	1
302	и один	1	1
303	одном ряду	1	1
304	к другому	2	1
305	быть может	1	1
306	и до	3	1
307	и есть	1	1
308	подобно тому	3	1
309	но это	5	1
310	не вполне	1	1
311	в совершенно	1	1
312	этот вопрос	4	1
313	в истории	1	1
314	его в	9	1
315	на основе	1	1
316	человека и	1	1
317	с понятием	1	1
318	на всю	1	1
319	основании что	1	1
320	или как	1	1
321	вошла в	1	1
322	каждый из	3	1
323	а на	8	1
324	до того	3	1
325	связь с	1	1
326	мы здесь	2	1
327	не было	3	1
328	когда мы	2	1
329	и некоторых	1	1
330	связи с	6	1
331	ходить и	1	1
332	если не	1	1
333	полностью в	1	1
334	же не	2	1
335	как известно	2	1
336	что касается	1	1
337	состоит в	18	1
338	но основные	1	1
339	не знает	1	1
340	или в	7	1
341	от одного	2	1
342	в основе	1	1
343	и хозяйства	1	1
344	всего не	1	1
345	же только	1	1
346	собственном смысле	1	1
347	на то	2	1
348	ни о	1	1
349	и там	2	1
350	их по	3	1
351	из нее	2	1
352	вся эта	2	1
353	в отличие	4	1
354	их в	7	1
355	нет и	1	1
356	хотя они	1	1
357	и назначение	1	1
358	что могут	1	1
359	одним из	2	1
360	не совсем	6	1
361	отношение к	1	1
362	у некоторых	1	1
363	природы и	3	1
364	весь этот	1	1
365	сказать что	1	1
366	на себя	4	1
367	значения как	1	1
368	ему в	1	1
369	виду что	2	1
370	него не	1	1
371	или менее	1	1
372	по которым	1	1
373	найти в	1	1
374	и находит	1	1
375	превращаются в	1	1
376	или на	11	1
377	уже на	1	1
378	сил которые	1	1
379	значение имеет	1	1
380	представление о	5	1
381	что изучение	1	1
382	такой же	3	1
383	школы все	1	1
384	в конце	1	1
385	течение всего	1	1
386	например в	3	1
387	детей и	3	1
388	совершенно иных	1	1
389	в образе	3	1
390	по мере	1	1
391	всем разнообразии	1	1
392	к этому	7	1
393	этом мы	1	1
394	в одной	1	1
395	долгое время	1	1
396	и как	2	1
397	как о	1	1
398	некоторых других	2	1
399	вплоть до	4	1
400	до конца	5	1
401	все время	1	1
402	что он	2	1
403	том основании	1	1
404	в собственном	1	1
405	случаях когда	2	1
406	нашел и	1	1
407	что она	4	1
408	или даже	3	1
409	эту точку	1	1
410	далеко не	5	1
411	привела к	1	1
412	и о	4	1
413	но что	2	1
414	что без	1	1
415	вместе с	16	1
416	ясно в	1	1
417	который в	2	1
418	одна из	12	1
419	века к	1	1
420	на эту	1	1
421	необходимо изучить	2	1
422	этого слова	3	1
423	другом месте	1	1
424	в которых	8	1
425	но не	7	1
426	ставится в	1	1
427	так в	5	1
428	и характер	1	1
429	именно с	3	1
430	но если	2	1
431	имеет и	1	1
432	здесь и	1	1
433	одно из	6	1
434	с его	1	1
435	при изучении	6	1
436	что до	1	1
437	ли не	1	1
438	то почему	1	1
439	при таком	1	1
440	себя и	2	1
441	по поводу	1	1
442	на место	2	1
443	в природе	2	1
444	в такой	1	1
445	работах так	1	1
446	быть и	3	1
447	и связанных	1	1
448	в то	3	1
449	тут же	2	1
450	должно было	5	1
451	отнюдь не	3	1
452	даже у	1	1
453	и самый	1	1
454	только с	2	1
455	не будут	2	1
456	работ в	1	1
457	важное значение	1	1
458	полагая что	4	1
459	или их	2	1
460	для этого	6	1
461	и это	2	1
462	того же	1	1
463	из одного	1	1
464	эта связь	2	1
465	в виде	10	1
466	которые с	2	1
467	общего не	2	1
468	только о	1	1
469	от него	1	1
470	здесь нет	1	1
471	и становится	1	1
472	иной характер	1	1
473	к нему	3	1
474	не можем	5	1
475	сливаются в	1	1
476	встречаются в	2	1
477	это обычно	1	1
478	тем более	1	1
479	революции в	1	1
480	в несколько	1	1
481	как из	1	1
482	обратиться к	1	1
483	и сами	2	1
484	быть случайным	1	1
485	на все	3	1
486	и особенно	1	1
487	еще не	7	1
488	тех случаях	2	1
