N	2gram	Bakhtin_Fr	IolandNe
1	и с	15	3
2	что в	14	2
3	он не	11	2
4	ничего не	4	2
5	и не	25	2
6	в этом	28	2
7	какую роль	1	1
8	все эти	16	1
9	для того	5	1
10	и очень	2	1
11	а в	3	1
12	и о	5	1
13	жил в	1	1
14	это было	2	1
15	и со	2	1
16	и та	1	1
17	что для	2	1
18	для него	7	1
19	вплоть до	5	1
20	под редакцией	1	1
21	тем что	6	1
22	не случайно	1	1
23	только что	1	1
24	когда его	1	1
25	того же	4	1
26	художественного творчества	1	1
27	не так	3	1
28	и др	9	1
29	его произведения	2	1
30	жизни и	6	1
31	комплекс в	1	1
32	с другой	8	1
33	но когда	1	1
34	в целом	3	1
35	не смерть	1	1
36	было не	1	1
37	он с	2	1
38	значительной мере	1	1
39	в эту	7	1
40	стороны он	1	1
41	другой стороны	5	1
42	себя в	2	1
43	к отцу	1	1
44	нечто и	1	1
45	слишком много	1	1
46	после смерти	1	1
47	и еще	3	1
48	в первую	1	1
49	если бы	3	1
50	отношению к	2	1
51	бы все	1	1
52	доказать что	1	1
53	в художественном	3	1
54	и сам	5	1
55	того что	3	1
56	работы не	1	1
57	них не	2	1
58	ученики и	1	1
59	только для	6	1
60	и тот	4	1
61	а также	6	1
62	так и	8	1
63	художественном творчестве	1	1
64	автора и	1	1
65	в основе	7	1
66	в значительной	3	1
67	следовательно в	1	1
68	от этого	2	1
69	страхом перед	1	1
70	того чтобы	6	1
71	а для	1	1
72	с жизнью	1	1
73	не дает	4	1
74	и в	68	1
75	видит в	3	1
76	др он	1	1
77	это был	1	1
78	никогда не	2	1
79	все это	6	1
80	по отношению	3	1
81	со всеми	5	1
82	на котором	2	1
83	нисколько не	1	1
84	эпизод с	3	1
85	как о	2	1
86	в них	19	1
87	во многом	1	1
