N	2gram	Medvedev_V	Poddanst
1	не только	26	17
2	и в	26	14
3	и не	20	12
4	в области	2	11
5	в этом	29	10
6	в том	15	9
7	то же	10	9
8	в качестве	12	9
9	но в	2	9
10	хотя бы	20	8
11	в пределах	5	8
12	только в	8	7
13	же время	5	7
14	с к	1	7
15	в то	6	7
16	в ней	2	6
17	было бы	8	6
18	но и	10	6
19	может быть	23	5
20	с другой	11	5
21	не в	6	5
22	в которых	3	5
23	а н	3	5
24	и к	3	4
25	что в	11	4
26	в котором	3	4
27	по себе	2	4
28	и если	1	4
29	и потому	2	4
30	не может	17	4
31	а в	3	4
32	то что	7	4
33	как бы	5	4
34	если бы	3	4
35	а также	1	4
36	в своем	8	4
37	о г	1	4
38	же в	7	4
39	том что	8	4
40	в себе	6	3
41	что мы	2	3
42	с одной	2	3
43	мы не	1	3
44	это не	7	3
45	одной стороны	2	3
46	для того	3	3
47	между тем	6	3
48	хотя и	2	3
49	т е	18	3
50	с тем	4	3
51	потому что	1	3
52	прежде всего	13	3
53	вслед за	3	3
54	сводится к	3	3
55	сами по	1	3
56	заключается в	2	3
57	но не	2	3
58	могут быть	8	3
59	н н	2	3
60	и т	25	3
61	и как	3	3
62	с ними	4	3
63	в порядке	6	3
64	в нем	7	3
65	и без	1	3
66	точки зрения	3	3
67	с этим	3	2
68	во всех	7	2
69	является в	1	2
70	и это	1	2
71	и других	1	2
72	и мы	1	2
73	было в	2	2
74	ней не	1	2
75	при посредстве	1	2
76	если в	2	2
77	более чем	1	2
78	в значительной	3	2
79	том числе	2	2
80	не будем	1	2
81	и дети	1	2
82	еще более	1	2
83	по сравнению	1	2
84	так называемые	3	2
85	в ее	4	2
86	и тем	1	2
87	того что	3	2
88	никак не	3	2
89	как раз	4	2
90	в частности	12	2
91	в его	15	2
92	не о	2	2
93	а не	7	2
94	для нас	1	2
95	все это	13	2
96	говорить о	2	2
97	для них	2	2
98	заключает в	1	2
99	и есть	5	2
100	стороны и	2	2
101	в русском	1	2
102	в виде	1	2
103	в них	5	2
104	творчества и	3	2
105	не было	7	2
106	в начале	1	2
107	как на	3	2
108	в общем	2	2
109	мысль о	2	2
110	в сфере	2	2
111	главным образом	7	2
112	именно в	3	2
113	значительной мере	3	2
114	должно быть	2	2
115	в жизни	2	2
116	друг другу	1	2
117	д н	1	2
118	во всей	2	2
119	в силу	14	2
120	одна из	4	2
121	между прочим	2	2
122	например в	3	2
123	не менее	2	2
124	не столько	2	2
125	отнюдь не	4	2
126	со стороны	1	2
127	да и	2	2
128	исключительно в	1	2
129	из них	11	2
130	но к	2	2
131	тем более	1	2
132	есть в	1	2
133	образом на	1	2
134	что из	1	2
135	не к	1	2
136	в статье	4	2
137	к сожалению	2	1
138	и мир	3	1
139	были бы	1	1
140	творчества они	1	1
141	представить себе	2	1
142	нет ничего	1	1
143	поскольку она	1	1
144	во всяком	2	1
145	и тех	1	1
146	к истине	1	1
147	ни к	1	1
148	не деятельностью	1	1
149	у каждого	2	1
150	и то	1	1
151	но как	3	1
152	и целиком	1	1
153	бы и	6	1
154	и эти	1	1
155	на этой	1	1
156	мы видим	1	1
157	материалы и	1	1
158	эта не	2	1
159	а с	1	1
160	в данном	1	1
161	с его	4	1
162	что оно	3	1
163	и многие	1	1
164	но несколько	1	1
165	можно говорить	1	1
166	вместе с	8	1
167	в процесс	1	1
168	в самом	4	1
169	вопрос о	1	1
170	не означает	1	1
171	они не	2	1
172	наше сознание	1	1
173	может не	2	1
174	этой области	3	1
175	воздух и	1	1
176	это в	1	1
177	только что	4	1
178	в философии	4	1
179	также что	2	1
180	в действии	1	1
181	к этой	1	1
182	переходит в	1	1
183	в основном	7	1
184	соотношение между	1	1
185	она не	3	1
186	уже в	1	1
