N	4gram	Voloshinov	formyVre
1	в то же время	7	18
2	одного и того же	1	9
3	и в то же	2	8
4	одно и то же	5	5
5	в связи с этим	2	4
6	одних и тех же	1	4
7	с нашей точки зрения	1	3
8	но в то же	2	3
9	и в этом случае	1	2
10	но для того чтобы	2	2
11	но все же и	1	2
12	в одних и тех	1	2
13	одна и та же	1	2
14	в самом широком смысле	1	2
15	всего того что было	1	1
16	для того чтобы не	1	1
17	все же и здесь	1	1
18	вместе с тем и	2	1
19	в жизни и в	1	1
20	в зависимости от того	2	1
21	всего бросается в глаза	1	1
22	явлений природы и событий	1	1
23	одну и ту же	2	1
24	одной и той же	4	1
25	как мы увидим дальше	1	1
26	к тому что мы	1	1
27	в тех случаях когда	2	1
28	он в то же	1	1
29	причин и следствий и	1	1
30	и ни от чего	1	1
31	и для того чтобы	2	1
32	коллективной борьбы с природой	1	1
33	все больше и больше	2	1
34	одном и том же	2	1
35	как мы уже знаем	1	1
36	вне всякой связи с	1	1
37	и во всех своих	1	1
38	в одном и том	1	1
39	не связанных между собой	1	1
40	но вместе с тем	1	1
