N	2gram	Nazirov_Vr	Sotsiolo
1	все это	4	7
2	в том	3	5
3	в этом	8	5
4	не только	9	3
5	как же	2	3
6	и в	8	3
7	но ведь	1	3
8	в его	3	3
9	для нас	4	3
10	что в	7	2
11	то что	7	2
12	таким образом	2	2
13	том что	3	2
14	как бы	4	2
15	было бы	1	2
16	в частности	1	2
17	нужно было	1	2
18	но и	7	2
19	конце концов	1	2
20	может быть	4	2
21	и что	8	2
22	это и	1	2
23	в конце	3	2
24	далеко не	3	2
25	тем более	2	2
26	к которому	1	2
27	только как	1	2
28	то же	5	2
29	еще не	2	2
30	а в	2	1
31	что он	4	1
32	столь же	2	1
33	в целом	1	1
34	в силу	1	1
35	вряд ли	1	1
36	и самые	1	1
37	на этот	1	1
38	не было	5	1
39	а вот	1	1
40	связи с	3	1
41	в своей	2	1
42	во всяком	1	1
43	в мире	2	1
44	дает нам	1	1
45	все же	6	1
46	его слишком	1	1
47	что это	1	1
48	по крайней	1	1
49	с другой	1	1
50	а тем	1	1
51	это как	1	1
52	это же	1	1
53	единства и	1	1
54	с ним	4	1
55	между тем	5	1
56	но как	2	1
57	в этой	2	1
58	и его	3	1
59	не должна	1	1
60	ли не	1	1
61	первый план	1	1
62	с помощью	1	1
63	один из	1	1
64	так и	1	1
65	в то	5	1
66	полагает что	1	1
67	развиваться в	1	1
68	в котором	6	1
69	же это	1	1
70	отнюдь не	2	1
71	и не	5	1
72	всяком случае	1	1
73	том как	1	1
74	и о	3	1
75	но не	1	1
76	они не	1	1
77	в те	3	1
78	в него	2	1
79	прежде всего	1	1
80	тем что	3	1
81	в чем	3	1
82	а с	2	1
83	а между	1	1
84	же не	2	1
85	его в	3	1
86	спросить о	1	1
87	писателя не	1	1
88	крайней мере	1	1
89	тотчас же	1	1
90	в процессе	1	1
91	этого и	1	1
92	и наконец	1	1
93	о том	4	1
94	в этих	1	1
95	у него	5	1
96	на первый	2	1
97	это дает	1	1
98	вот в	1	1
99	литературе и	1	1
100	же время	5	1
101	это не	4	1
102	в связи	3	1
103	бы в	1	1
104	полемизируя с	1	1
105	именно в	1	1
106	никогда не	2	1
107	и есть	1	1
108	не может	2	1
109	и как	3	1
110	место в	2	1
111	как и	6	1
112	ничего не	1	1
113	в них	2	1
