N	3gram	Bakhtin_Pr	Narrotol
1	в том что	6	18
2	в данном случае	2	17
3	не только в	2	13
4	в отличие от	4	11
5	по отношению к	12	11
6	к тому же	2	9
7	о том что	2	9
8	не может быть	8	8
9	тем не менее	2	8
10	той или иной	1	8
11	то же время	13	8
12	в то же	13	8
13	в этом отношении	3	8
14	в известном смысле	1	6
15	можно сказать что	2	6
16	с одной стороны	1	6
17	для того чтобы	1	5
18	но при этом	2	5
19	в свою очередь	1	5
20	но и в	1	5
21	на самом деле	4	5
22	подобно тому как	3	5
23	к тому что	1	4
24	в равной степени	1	4
25	во всяком случае	4	4
26	в самом деле	6	3
27	и не может	6	3
28	друг на друга	2	3
29	а в том	1	3
30	до сих пор	9	3
31	в первом случае	1	3
32	иметь в виду	1	3
33	в зависимости от	5	3
34	точно так же	1	3
35	в связи с	1	3
36	то же самое	1	3
37	того или иного	1	3
38	на то что	2	3
39	к себе самому	4	3
40	с точки зрения	21	3
41	дело в том	1	3
42	в той или	1	2
43	и в жизни	1	2
44	и не в	1	2
45	все то что	3	2
46	и в то	2	2
47	и т п	10	2
48	они и не	1	2
49	здесь не только	1	2
50	но и на	2	2
51	не в том	1	2
52	более или менее	4	2
53	в таком случае	1	2
54	сами по себе	4	2
55	а между тем	1	2
56	здесь не в	1	2
57	в сознании героя	1	2
58	в нем не	1	2
59	не только не	2	2
60	как если бы	3	2
61	не входит в	4	2
62	оно и не	1	2
63	перед нами не	1	2
64	хотя и не	3	2
65	не в его	1	2
66	своего и чужого	1	2
67	прежде всего на	1	2
68	но все же	3	2
69	но и не	2	2
70	времени и пространства	1	2
71	все же не	3	2
72	все те же	1	2
73	чужого слова в	3	2
74	можно было бы	3	2
75	с установкой на	1	2
76	так же как	1	2
77	он и не	1	2
78	тому что он	1	2
79	тем или иным	1	2
80	на первый взгляд	1	2
81	как бы в	6	2
82	в этом последнем	1	2
83	у него есть	1	1
84	одной стороны и	1	1
85	в письме к	2	1
86	далеко не исчерпывается	1	1
87	по себе а	1	1
88	не могло бы	1	1
89	в той же	3	1
90	до известной степени	1	1
91	то что он	1	1
92	в большинстве случаев	10	1
93	в этом смысле	12	1
94	по сравнению с	1	1
95	то что не	1	1
96	и в другом	1	1
97	во всех его	1	1
98	самом деле в	1	1
99	героя но и	1	1
100	соприкосновения разных сознаний	1	1
101	мы его не	1	1
102	перед нами был	1	1
103	он не может	1	1
104	что они не	1	1
105	в процессе перехода	1	1
106	то что обычно	1	1
107	и так или	1	1
108	в том числе	1	1
109	не отличается от	1	1
110	при всей ее	1	1
111	бы не было	1	1
112	друг от друга	1	1
113	и рождается в	1	1
114	своем собственном мире	1	1
115	как бы не	1	1
116	перед нами простой	1	1
117	так или иначе	1	1
118	отношению к слову	1	1
119	сам по себе	2	1
120	и все что	1	1
121	так и в	2	1
122	и возникает проблема	1	1
123	но не только	1	1
124	друг с другом	3	1
125	себе самому и	1	1
126	он живет в	1	1
127	и оно не	1	1
128	на себя самого	1	1
129	что все эти	1	1
130	он несет в	1	1
131	в точке соприкосновения	1	1
132	лишь в одном	1	1
133	по мере усиления	2	1
134	большей или меньшей	2	1
135	за пределы своего	1	1
136	само по себе	4	1
137	один из этих	1	1
138	в полной мере	1	1
139	воспринимает ее как	1	1
140	не о том	1	1
141	в том или	1	1
142	и мира и	1	1
143	и в других	2	1
144	точке соприкосновения разных	1	1
145	того о чем	1	1
146	жизни а не	1	1
147	то ни было	2	1
148	не может не	1	1
149	на фоне его	1	1
150	и даже не	1	1
151	но в этом	1	1
152	как раз и	5	1
153	по себе но	1	1
154	какой бы то	1	1
155	что с точки	1	1
156	звучит как бы	1	1
157	но уже не	1	1
158	мере того как	1	1
159	только то что	2	1
160	том числе и	1	1
161	с другой стороны	6	1
162	бы то ни	3	1
163	взаимодействия сознаний и	1	1
164	как мы увидим	3	1
165	а не только	1	1
166	в значительной степени	1	1
167	не мог бы	1	1
168	и потому не	1	1
169	в произведении и	1	1
170	может быть только	1	1
171	между ними не	1	1
172	и т д	4	1
173	только в форме	1	1
174	то что было	4	1
175	в этих случаях	2	1
176	к чужому слову	6	1
177	его произведениях но	1	1
178	связи с этой	1	1
179	диалог в сущности	1	1
180	никогда не бывает	1	1
181	слова а не	1	1
182	приходится признать что	1	1
183	т п все	2	1
184	такие определения как	1	1
185	в противном случае	1	1
186	смысле как мы	1	1
187	по крайней мере	2	1
188	в мире а	1	1
189	точка зрения как	2	1
190	себе не только	1	1
191	этой точки зрения	2	1
192	в пределы одного	2	1
193	что же касается	1	1
194	пределы одного сознания	2	1
195	как и сам	1	1
196	как и в	3	1
197	не только к	1	1
198	как один из	2	1
199	того и другого	2	1
200	а в то	2	1
201	в то время	2	1
202	на этот вопрос	2	1
203	в большей или	2	1
204	лишь то что	1	1
205	несмотря на свою	1	1
206	вовсе еще не	1	1
207	если бы эти	1	1
208	я не могу	1	1
209	ни одна из	1	1
210	но и внутренняя	1	1
211	его жизни и	1	1
212	как и все	4	1
213	как мы видели	1	1
214	и для автора	1	1
215	мы не знаем	1	1
216	в качестве личности	1	1
217	с таким же	1	1
218	отношению к себе	2	1
219	в основе этого	1	1
220	у него уже	1	1
221	то время как	2	1
222	во всей его	2	1
223	при условии что	1	1
224	с самого начала	1	1
225	том что он	5	1
226	в своем собственном	1	1
227	как и у	1	1
228	и что в	1	1
229	же как и	2	1
230	у него нет	1	1
231	рождается в точке	1	1
232	в своем кругозоре	1	1
233	она может быть	1	1
234	вследствие этого оно	1	1
235	в другое противоположное	1	1
236	вместо того чтобы	1	1
237	то что я	1	1
238	чем он был	1	1
239	хоть и не	1	1
240	по мере того	1	1
241	уже не только	1	1
242	что и в	1	1
243	это прежде всего	1	1
244	в виду что	1	1
245	но с другой	2	1
246	если бы не	1	1
247	может быть и	2	1
