N	2gram	Tiupa_Lite	Narrotol
1	не только	29	62
2	и не	19	50
3	при этом	23	47
4	но и	25	45
5	а не	28	38
6	в качестве	21	35
7	в частности	18	31
8	может быть	24	30
9	и в	26	30
10	в том	22	29
11	в этом	19	28
12	тогда как	20	28
13	своего рода	22	28
14	том что	19	28
15	а в	5	27
16	такого рода	18	26
17	с собачкой	2	25
18	представляет собой	5	25
19	только в	8	25
20	состоит в	18	25
21	в данном	7	24
22	как и	13	24
23	не в	11	23
24	то что	14	23
25	то есть	11	22
26	в тексте	9	22
27	не может	10	20
28	в рассказе	1	18
29	в себе	8	17
30	данном случае	6	17
31	так и	7	17
32	а также	5	17
33	у чехова	1	16
34	со стороны	6	16
35	в его	9	16
36	к тому	3	15
37	можно сказать	1	15
38	и т.п	14	15
39	но в	5	15
40	иначе говоря	2	15
41	в жизни	7	14
42	картина мира	2	14
43	и его	7	14
44	то же	13	13
45	в своей	5	13
46	уже не	9	13
47	о том	3	13
48	в своем	12	13
49	у него	5	13
50	все же	6	12
51	сводится к	4	12
52	как в	5	12
53	перед нами	1	12
54	как бы	8	12
55	прежде всего	14	12
56	по отношению	6	11
57	к себе	3	11
58	картиной мира	1	11
59	в мире	9	11
60	если бы	1	11
61	и тем	4	11
62	в этой	7	11
63	дамы с	2	11
64	в нем	4	11
65	героя в	2	11
66	жизни в	5	11
67	в отличие	6	11
68	отличие от	6	11
69	тем самым	8	11
70	отношению к	4	11
71	один из	7	10
72	как правило	5	10
73	никогда не	5	10
74	тому же	2	10
75	точки зрения	8	10
76	всего лишь	7	10
77	между тем	2	10
78	как это	9	10
79	в то	12	10
80	и все	1	10
81	не является	3	10
82	жизни и	6	10
83	с его	5	10
84	ничего не	3	10
85	того что	7	10
86	коммуникативного события	8	10
87	но не	8	10
88	и т.д	8	10
89	в соответствии	2	9
90	как раз	6	9
91	тем не	4	9
92	коммуникативное событие	6	9
93	той или	1	9
94	не сводится	3	9
95	я в	12	9
96	столь же	5	9
97	отнюдь не	4	9
98	что в	7	9
99	с ним	2	9
100	что он	8	9
101	еще не	4	9
102	потому что	5	9
103	для него	6	9
104	далеко не	4	9
105	в рамках	9	9
106	в той	1	8
107	и к	1	8
108	в самом	4	8
109	в таком	1	8
110	по мысли	2	8
111	не менее	11	8
112	большей части	1	8
113	не мог	3	8
114	одна из	8	8
115	он не	4	8
116	и он	3	8
117	самом деле	2	8
118	того чтобы	1	8
119	мы имеем	2	8
120	же время	12	8
121	соответствии с	3	8
122	и для	1	8
123	этом отношении	5	8
124	в литературе	2	8
125	у нас	5	8
126	по большей	1	8
127	но при	2	8
128	или иной	3	8
129	мира в	4	8
130	в финале	2	7
131	в принципе	7	7
132	имеет место	1	7
133	при всей	5	7
134	а во	2	7
135	в котором	1	7
136	с другой	11	7
137	пока еще	1	7
138	едва ли	5	7
139	в ее	1	7
140	на себя	4	7
141	в конце	6	7
142	в чем	2	7
143	в силу	4	7
144	и на	5	7
145	же в	6	7
146	и состоит	2	7
147	в свою	2	7
148	это не	4	7
149	вслед за	1	7
150	из наиболее	2	7
151	в глазах	4	7
152	человеческого я	3	7
153	или в	1	7
154	также и	3	7
155	в ней	4	7
156	одного из	4	7
157	в целом	10	7
158	все что	3	6
159	в результате	2	6
160	например в	3	6
161	между двумя	1	6
162	сказать что	1	6
163	в нашем	2	6
164	на него	1	6
165	имеем дело	2	6
166	то в	3	6
167	с одной	9	6
168	человеческого опыта	1	6
169	что и	3	6
170	в конечном	9	6
171	могло бы	1	6
172	героя и	2	6
173	в случае	5	6
174	в детстве	1	6
175	однако в	7	6
176	однако и	2	6
177	во втором	3	6
178	в состав	1	6
179	в коммуникативном	2	6
180	таким образом	4	6
181	представляют собой	1	6
182	никак не	2	6
183	к его	1	6
184	в слове	3	6
185	в известном	1	6
186	то и	5	6
187	из этих	2	6
188	присутствия в	1	6
189	в сознании	3	6
190	здесь не	1	6
191	ответ на	1	6
192	они не	1	6
193	уже говорилось	1	6
194	о нем	1	6
195	слова в	2	6
196	не по	2	6
197	одной стороны	8	6
198	на то	2	6
199	вплоть до	4	6
200	в центре	1	5
201	только что	1	5
202	исходя из	3	5
203	дело с	1	5
204	не столько	8	5
205	в своих	5	5
206	и даже	9	5
207	и сам	6	5
208	именно в	1	5
209	а именно	1	5
210	мира и	1	5
211	и того	2	5
212	свою очередь	2	5
213	в другом	3	5
214	для того	2	5
215	не всегда	1	5
216	о них	1	5
217	может служить	1	5
218	в одном	2	5
219	он сам	2	5
220	себя в	7	5
221	из них	5	5
222	к нему	1	5
223	художественного письма	11	5
224	от его	1	5
225	не было	5	5
226	или не	1	5
227	но для	1	5
228	я не	8	5
229	такова что	1	5
230	человек в	2	5
231	так сказать	1	5
232	его жизни	1	5
233	а для	3	5
234	в русской	13	5
235	по поводу	2	5
236	следует признать	2	5
237	и от	1	5
238	с ее	3	5
239	и здесь	1	5
240	что это	1	5
241	подобно тому	4	5
242	если не	1	5
243	и у	1	5
244	о любви	1	5
245	да и	3	5
246	вследствие этого	1	5
247	было бы	4	5
248	и уже	1	5
249	для нее	2	5
250	за пределами	1	5
251	и то	3	5
252	свидетельствует о	3	5
253	мы не	5	5
254	на самом	1	5
255	читателя в	2	5
256	являет собой	2	5
257	о жизни	1	5
258	в равной	4	5
259	в какой	2	5
260	тем более	2	5
261	тому как	4	5
262	в концовке	2	5
263	в начале	4	5
264	еще в	7	5
265	в пределах	4	5
266	не случайно	5	5
267	и о	1	5
268	этом и	1	5
269	как будто	2	5
270	себе самому	1	5
271	в душе	3	4
272	даже в	6	4
273	строго говоря	1	4
274	в виду	4	4
275	в них	1	4
276	жизненной позиции	1	4
277	в первом	1	4
278	и с	4	4
279	ведет к	5	4
280	конечном счете	8	4
281	не вполне	1	4
282	роль в	2	4
283	хотя бы	3	4
284	только на	3	4
285	но они	1	4
286	и когда	1	4
287	первого лица	2	4
288	который в	2	4
289	к этому	2	4
290	классического реализма	3	4
291	картину мира	1	4
292	представить себе	1	4
293	что они	1	4
294	на том	3	4
295	несмотря на	3	4
296	к жизни	2	4
297	в третьем	3	4
298	не о	1	4
299	тому что	1	4
300	в себя	5	4
301	пребывания в	1	4
302	в ответ	1	4
303	но зато	2	4
