N	2gram	Medvedev_U	Narrotol
1	не только	10	62
2	и не	8	50
3	но и	4	45
4	а не	10	38
5	в качестве	1	35
6	в частности	3	31
7	может быть	6	30
8	и в	14	30
9	в том	2	29
10	в этом	7	28
11	том что	2	28
12	только в	2	25
13	в данном	1	24
14	как и	3	24
15	не в	2	23
16	то что	7	23
17	то есть	1	22
18	не может	7	20
19	в себе	2	17
20	данном случае	1	17
21	так и	1	17
22	в его	2	16
23	можно сказать	1	15
24	но в	3	15
25	иначе говоря	1	15
26	то же	5	13
27	в своей	3	13
28	уже не	1	13
29	о том	1	13
30	в своем	1	13
31	у него	1	13
32	все же	3	12
33	сводится к	2	12
34	прежде всего	8	12
35	об этом	1	11
36	если бы	2	11
37	в этой	4	11
38	в нем	1	11
39	никогда не	1	10
40	всего лишь	1	10
41	между тем	2	10
42	в то	3	10
43	и все	1	10
44	с его	2	10
45	ничего не	2	10
46	того что	1	10
47	но не	2	10
48	и т.д	3	10
49	как раз	2	9
50	отнюдь не	1	9
51	что в	1	9
52	что он	2	9
53	для него	3	9
54	далеко не	1	9
55	в той	1	8
56	в самом	2	8
57	в таком	1	8
58	о чем	2	8
59	он не	1	8
60	самом деле	2	8
61	мы имеем	1	8
62	же время	3	8
63	и для	2	8
64	этом отношении	2	8
65	у нас	3	8
66	в котором	1	7
67	с другой	4	7
68	в конце	2	7
69	же в	1	7
70	это не	3	7
71	в ней	1	7
72	все что	1	6
73	сказать что	1	6
74	с одной	1	6
75	что и	2	6
76	в конечном	4	6
77	таким образом	2	6
78	в известном	1	6
79	то и	1	6
80	о нем	1	6
81	одной стороны	1	6
82	на то	1	6
83	не столько	2	5
84	и даже	1	5
85	может служить	1	5
86	начала и	1	5
87	бы и	2	5
88	не было	1	5
89	но для	1	5
90	а для	1	5
91	если не	2	5
92	их в	1	5
93	и у	2	5
94	о котором	1	5
95	было бы	3	5
96	и то	3	5
97	мы не	2	5
98	тем более	1	5
99	в пределах	1	5
100	не случайно	2	5
101	еще раз	1	4
102	строго говоря	1	4
103	в виду	1	4
104	по себе	2	4
105	и с	2	4
106	все его	1	4
107	конечном счете	4	4
108	не вполне	1	4
109	не существует	1	4
110	сводятся к	1	4
