N	2gram	Bakhtin_Pr	Morfolog
1	и т	14	62
2	может быть	43	61
3	т д	4	60
4	и пр	5	45
5	таким образом	15	26
6	т е	44	25
7	могут быть	9	21
8	так как	9	20
9	мы имеем	1	19
10	не может	26	19
11	в этом	33	18
12	в этих	5	17
13	и в	64	17
14	и не	55	16
15	мы видим	3	15
16	этих случаях	2	15
17	перед нами	12	14
18	с этим	3	14
19	прежде всего	16	14
20	эта форма	3	14
21	по существу	6	13
22	связи с	3	12
23	и др	7	12
24	а не	29	11
25	заметить что	2	11
26	что в	11	10
27	то же	18	10
28	а затем	1	10
29	вопрос о	3	10
30	мы увидим	6	10
31	не всегда	2	10
32	но если	1	10
33	этом случае	1	10
34	в том	12	10
35	так и	8	10
36	что и	7	10
37	в связи	1	10
38	то что	21	10
39	все же	11	9
40	с другой	7	9
41	но и	26	9
42	не только	26	8
43	в результате	7	8
44	имеем в	1	8
45	мы не	4	8
46	в качестве	1	8
47	но не	12	8
48	в тех	1	8
49	а в	10	8
50	как мы	13	8
51	во втором	1	7
52	один из	3	7
53	и здесь	6	7
54	если в	1	7
55	не могут	10	7
56	не менее	3	7
57	том что	8	7
58	потому что	8	7
59	по отношению	12	7
60	точки зрения	31	7
61	как это	1	7
62	тем не	2	7
63	и этим	5	7
64	или же	2	7
65	отношению к	12	7
66	и другие	1	6
67	подобно тому	3	6
68	о том	5	6
69	как бы	33	6
70	не все	1	6
71	но это	6	6
72	это не	12	6
73	с точки	21	6
74	в образе	2	6
75	в нашем	2	6
76	или в	7	6
77	и как	9	6
78	вовсе не	12	6
79	во всех	4	6
80	если мы	3	6
81	очень часто	1	6
82	также и	3	6
83	в форме	8	6
84	во время	1	6
85	они и	1	5
86	героя в	7	5
87	из которых	3	5
88	другой стороны	6	5
89	в первом	2	5
90	что он	15	5
91	как в	7	5
92	со стороны	1	5
93	то это	3	5
94	хотя бы	4	5
95	было бы	8	5
96	к тому	4	5
97	ничего не	8	5
98	что они	1	5
99	хотя и	5	5
100	то мы	1	5
101	прежде чем	1	5
102	тому что	3	5
103	учение о	1	5
104	все эти	13	5
105	одна из	5	5
106	между собой	2	5
107	на его	2	5
108	об этом	3	5
109	в других	2	5
110	там где	12	5
111	мы можем	1	5
112	сюда же	1	5
113	тому как	3	5
114	между тем	7	5
115	он не	14	5
116	то перед	8	5
117	если же	7	5
118	далеко не	7	5
119	в целом	8	5
120	и ее	5	5
121	и к	5	4
122	смысле слова	2	4
123	есть и	5	4
124	на этом	2	4
125	нами в	3	4
126	как и	25	4
127	самом деле	10	4
128	но все	6	4
129	ни одна	1	4
130	тем что	6	4
131	уже не	15	4
132	еще не	10	4
133	входит в	9	4
134	того чтобы	2	4
135	героя а	6	4
136	на пути	2	4
137	так же	8	4
138	сказать что	4	4
139	на него	6	4
140	на котором	3	4
141	и для	7	4
142	из них	3	4
143	но в	14	4
144	герой и	3	4
145	получает в	1	4
146	несмотря на	7	4
147	на самом	5	4
148	его в	8	4
149	с теми	1	4
150	случае не	1	4
151	к этому	1	4
152	в то	15	4
153	мы уже	4	4
154	д как	1	4
155	как таковые	1	4
156	можно было	3	4
157	этот вопрос	4	4
158	от того	4	4
159	могла бы	1	4
160	оно может	2	4
161	независимо от	1	4
162	их по	1	4
163	пр он	1	3
164	всего это	1	3
165	собственном смысле	1	3
166	то время	2	3
167	та же	1	3
168	в последнем	1	3
169	только что	1	3
170	с этой	2	3
171	и при	2	3
172	по всему	1	3
173	что это	2	3
174	в сущности	10	3
175	одному из	1	3
176	ни в	5	3
177	от другого	1	3
178	с собой	3	3
179	только в	13	3
180	и вызывает	2	3
181	в плоскости	6	3
182	здесь мы	4	3
183	время как	2	3
184	из двух	1	3
185	также может	1	3
186	если это	1	3
187	можно назвать	1	3
188	есть нечто	2	3
189	в собственном	1	3
190	быть разрешен	1	3
191	на первый	1	3
192	то здесь	1	3
193	первом случае	1	3
194	не существует	1	3
195	и что	5	3
196	для того	1	3
197	но эти	4	3
198	и тогда	1	3
199	целый ряд	2	3
200	а во	1	3
201	настоящее время	3	3
202	и вне	1	3
203	же она	2	3
204	здесь не	7	3
205	с его	11	3
206	кроме того	5	3
207	в настоящее	3	3
208	он должен	2	3
209	к нему	11	3
210	бы то	3	3
211	то в	2	3
212	первый взгляд	1	3
213	они не	5	3
214	благодаря этому	3	3
215	и функции	2	3
216	а и	1	3
217	того что	3	3
218	что такое	2	3
219	ее в	3	3
220	но как	4	3
221	у нас	3	3
222	это и	5	3
223	о герое	5	3
224	и есть	3	3
225	а на	1	3
226	этой формы	1	3
227	как же	6	3
228	к чему	1	3
229	но для	3	3
230	а то	3	3
231	здесь же	1	3
232	в какой	2	3
233	большинстве случаев	10	3
234	даже не	1	3
235	это было	1	3
236	для героя	1	3
237	форма в	1	3
238	и у	3	3
239	вопроса о	1	3
240	и отсюда	1	3
241	реагирует на	2	3
242	героя и	14	3
243	как уже	1	3
244	для наших	2	3
245	то ни	3	3
246	если бы	12	3
247	иное чем	1	3
248	друг друга	4	3
249	мы должны	3	3
250	и тем	1	3
251	не в	15	3
252	в которой	2	3
253	и их	3	3
254	в начале	1	3
255	в пределах	24	3
256	в большинстве	11	3
257	в этой	5	3
258	вступают в	1	3
259	приводит к	8	3
260	но есть	2	3
261	не значит	4	3
262	мы будем	2	3
263	же в	2	3
264	все еще	2	3
265	на то	5	3
266	и его	21	3
267	и по	1	3
268	и только	3	3
269	в один	2	3
270	следует за	1	3
271	не так	1	2
272	от него	1	2
273	является в	2	2
274	а потому	2	2
275	к другу	1	2
276	друг к	1	2
277	как таковой	2	2
278	ее возможность	1	2
279	с героем	3	2
280	должна быть	8	2
281	и становятся	1	2
282	из таких	1	2
283	материала но	1	2
284	не с	1	2
285	различным образом	1	2
286	он действует	1	2
287	потому не	1	2
288	случае он	1	2
289	не меняет	1	2
290	лишь на	5	2
291	не на	7	2
292	оно не	3	2
293	в своих	4	2
294	более или	4	2
295	это положение	1	2
296	в россии	2	2
297	выпадает из	1	2
298	например в	5	2
299	их в	8	2
300	в которых	4	2
301	себя и	5	2
302	не имеет	2	2
303	по этим	1	2
304	за ней	1	2
305	роль в	1	2
306	в каком	1	2
307	а эта	1	2
308	к другому	6	2
309	не входит	5	2
310	показать как	1	2
311	сразу и	1	2
312	но оно	1	2
313	во всяком	7	2
314	его и	3	2
315	можно сказать	2	2
316	того как	3	2
317	в данном	2	2
318	к другой	1	2
319	в основе	4	2
320	что этот	2	2
321	что мы	1	2
322	как например	2	2
323	но здесь	4	2
324	одной стороны	1	2
325	можно лишь	1	2
326	на друга	2	2
327	сюжетов и	1	2
328	и иных	1	2
329	в другом	3	2
330	в каких	1	2
331	оно как	1	2
332	к себе	6	2
333	другой вопрос	1	2
334	он старается	1	2
335	и больше	1	2
336	он получает	1	2
337	увидим что	1	2
338	не исключает	1	2
339	точно так	1	2
340	в одном	20	2
341	в различных	3	2
342	и когда	1	2
343	от других	1	2
344	превращается в	5	2
345	ощущается как	1	2
346	при определении	1	2
347	в совершенно	1	2
348	тогда как	1	2
349	может играть	1	2
350	вот как	3	2
351	друг на	2	2
352	что же	9	2
353	без всякого	1	2
354	за другом	2	2
355	в данной	1	2
356	тем же	3	2
357	же они	1	2
358	одной из	1	2
359	на этот	4	2
360	что она	7	2
361	он может	4	2
362	который в	1	2
363	что именно	1	2
364	а вовсе	2	2
365	появляется в	1	2
366	всяком случае	4	2
367	но так	2	2
368	себя в	3	2
369	другого и	1	2
370	заставляет его	3	2
371	для него	23	2
372	ответ на	1	2
373	к различным	2	2
374	как определенный	1	2
375	то они	2	2
376	или наоборот	2	2
377	в научной	1	2
378	ничем не	1	2
379	может не	1	2
380	данном случае	2	2
381	на вопрос	2	2
382	в основу	1	2
383	и заставляет	1	2
384	с одной	1	2
385	наших целей	1	2
386	она в	1	2
387	и за	1	2
388	нашей работы	2	2
389	ни было	4	2
390	этом отношении	3	2
391	лишь после	1	2
392	их как	1	2
393	для нас	2	2
394	все это	9	2
395	а или	1	2
396	с другими	8	2
397	чем в	3	2
398	но с	4	2
399	не знает	6	2
400	у ивана	1	2
401	входить в	1	2
402	одним из	7	2
403	этого нельзя	1	2
404	на героя	1	2
405	вообще не	2	2
406	между собою	5	2
407	лишь с	1	2
408	у него	11	2
409	не от	1	2
410	перейти к	1	2
411	по своему	1	2
412	он приводит	1	2
413	героя из	1	2
414	или менее	4	2
415	в одной	8	2
416	чтобы его	1	2
417	бы в	7	2
418	могли бы	2	2
419	таких героев	1	2
420	друг за	2	2
421	а с	2	2
422	вступает с	1	2
423	героя герой	1	2
424	героя к	2	2
425	иногда же	2	2
426	случае если	1	2
427	и даже	5	2
428	как особая	1	2
429	она не	10	2
430	что ни	1	2
431	нет но	2	2
432	ту же	2	2
433	быть и	2	2
434	в частности	1	2
435	из этих	3	2
436	они даны	2	2
437	можно сделать	1	2
438	должны быть	3	2
439	сюда относятся	1	2
440	себя за	1	2
441	ни одной	2	2
442	как их	4	2
443	из его	3	2
444	вопрос в	1	2
445	однако в	3	2
446	как за	1	2
447	что о	1	2
448	если они	1	2
449	как будто	4	2
450	же может	1	2
451	сказать о	2	2
452	но они	2	2
453	герой не	2	2
454	что до	1	2
455	во второй	2	2
456	в той	5	1
457	в особенности	1	1
458	были бы	5	1
459	во всем	1	1
460	нет а	1	1
461	вопрос кто	3	1
462	пользуется для	1	1
463	однако и	1	1
464	этот материал	1	1
465	одном месте	1	1
466	относится ко	1	1
467	все что	4	1
468	образом и	4	1
469	до сих	9	1
470	всего в	2	1
471	даны в	3	1
472	к иному	1	1
473	за ним	4	1
474	в постановке	1	1
475	для передачи	1	1
476	и на	16	1
477	на эти	1	1
478	же и	5	1
479	как с	1	1
480	в рассказе	2	1
481	в момент	1	1
482	было так	1	1
483	и материал	1	1
484	с двух	1	1
485	между героем	1	1
486	которые не	1	1
487	с толку	1	1
488	на западе	2	1
489	что герой	2	1
490	которые здесь	1	1
491	убедиться что	1	1
492	которые он	1	1
493	он только	2	1
494	его с	1	1
495	до него	1	1
496	на ее	1	1
497	совершенно очевидно	1	1
498	на первом	1	1
499	сверх того	1	1
500	своих героев	2	1
501	или иных	1	1
502	и менее	1	1
503	при этом	8	1
504	как отдельные	1	1
505	даже в	6	1
506	переносится в	1	1
