N	2gram	Voloshinov	Otkroven
1	у него	1	22
2	и в	12	19
3	и не	10	13
4	но и	3	13
5	в этом	4	12
6	а не	5	11
7	из подполья	1	11
8	не только	4	11
9	не в	4	11
10	может быть	14	11
11	и все	2	10
12	в нем	6	10
13	прежде всего	8	9
14	не было	1	9
15	никогда не	5	9
16	и он	1	8
17	нет ничего	2	7
18	от него	1	7
19	в его	2	7
20	он не	2	7
21	до конца	2	7
22	все это	3	6
23	как и	5	6
24	в самом	4	5
25	в творчестве	3	5
26	в том	6	5
27	для него	3	5
28	отношение к	4	5
29	то что	5	5
30	записок из	1	5
31	все в	1	4
32	что в	2	4
33	только и	1	4
34	того чтобы	1	4
35	не может	16	4
36	в идиоте	1	4
37	что не	4	4
38	человек и	1	4
39	все эти	3	4
40	и его	13	4
41	с его	2	4
42	в русской	1	3
43	и вот	1	3
44	хотя бы	5	3
45	это не	2	3
46	с ним	3	3
47	когда он	3	3
48	в этих	2	3
49	не могут	1	3
50	как бы	13	3
51	было бы	1	3
52	могут быть	2	3
53	в себе	3	3
54	и ее	3	3
55	о том	3	3
56	того что	3	3
57	к нему	4	3
58	еще не	3	3
59	умирает в	1	2
60	и к	4	2
61	как к	3	2
62	и потому	2	2
63	так и	4	2
64	что они	1	2
65	и то	2	2
66	в душе	2	2
67	все же	4	2
68	так как	9	2
69	при чтении	1	2
70	должно быть	1	2
71	даже и	1	2
72	уже в	2	2
73	в другом	1	2
74	в своем	2	2
75	и из	1	2
76	с которой	1	2
77	одно из	1	2
78	что и	2	2
79	в истории	1	2
80	его в	4	2
81	ведь это	1	2
82	ко всем	2	2
83	и с	3	2
84	одного только	1	2
85	и о	1	2
86	сказать что	7	2
87	что для	1	2
88	него не	1	2
89	и на	4	2
90	что все	1	2
91	ничего не	2	2
92	хотя и	1	2
93	не есть	2	2
94	в своей	3	2
95	момент в	1	2
96	жизни в	1	2
97	по себе	3	2
98	к этому	2	2
99	том что	5	2
100	и для	3	2
101	в ее	1	2
102	но в	5	2
103	собственно в	1	1
104	и мир	1	1
105	к одному	1	1
106	во всяком	1	1
107	не так	2	1
108	видели в	1	1
109	его и	1	1
110	но можно	1	1
111	то он	1	1
112	ее и	3	1
113	а с	1	1
114	и самое	2	1
115	не существует	1	1
116	к другу	1	1
117	в котором	3	1
118	и здесь	2	1
119	та же	1	1
120	по природе	2	1
121	виду не	1	1
122	друг к	1	1
123	природы это	1	1
124	она должна	1	1
125	не имеют	1	1
126	к одной	1	1
127	так для	1	1
128	и пр	3	1
129	она не	2	1
130	должна быть	5	1
131	мы не	3	1
132	бы даже	2	1
133	еще более	1	1
134	ту же	1	1
135	но не	2	1
136	и менее	1	1
137	вопросу о	1	1
138	в ней	6	1
139	это часто	1	1
140	художественного творчества	3	1
141	что это	1	1
142	и тогда	1	1
143	этом отношении	1	1
144	всяком случае	1	1
145	на этих	1	1
146	о чем	1	1
147	она стала	1	1
148	кажется что	1	1
149	сам по	1	1
150	но тем	2	1
151	все основные	1	1
152	в частности	1	1
153	говорит о	1	1
154	как это	2	1
155	и больше	1	1
156	со всей	1	1
157	он должен	3	1
158	в науке	1	1
159	отношении к	3	1
160	не хочет	1	1
161	пределы искусства	1	1
162	и что	2	1
163	в одном	1	1
164	на самом	4	1
165	у нас	1	1
166	в отношении	2	1
167	можно было	1	1
168	же не	1	1
169	и это	1	1
170	сторон и	1	1
171	природу и	1	1
172	не вполне	1	1
173	есть уже	2	1
174	по своей	1	1
175	от того	4	1
176	явление а	1	1
177	чего же	1	1
178	думать что	1	1
179	в них	3	1
180	у нее	1	1
181	в форме	2	1
182	связь с	2	1
183	как например	1	1
184	не совпадает	1	1
185	отрешиться от	1	1
186	он еще	1	1
187	особого рода	1	1
188	если бы	9	1
189	самом деле	3	1
190	от всех	2	1
191	и более	3	1
192	на примере	2	1
193	была бы	2	1
194	стала возможной	1	1
195	и можно	1	1
196	и ценности	1	1
197	человеческого общества	2	1
198	в виду	5	1
199	дело в	4	1
200	места в	1	1
201	человека для	1	1
202	и эта	1	1
203	его как	2	1
204	тем же	1	1
205	когда человек	1	1
206	не те	1	1
207	но есть	1	1
208	противоречит самым	1	1
209	может с	1	1
210	в процессе	6	1
211	было дано	1	1
212	например в	1	1
213	в жизни	5	1
214	в корне	2	1
215	характер и	1	1
216	во внутренней	1	1
217	и без	1	1
218	дано еще	1	1
219	было такой	1	1
220	то в	1	1
221	все время	6	1
222	к его	2	1
223	что она	1	1
224	жизни и	4	1
225	и прежде	1	1
226	как в	5	1
227	как будто	1	1
228	и светом	1	1
229	нему как	1	1
230	нуждается в	3	1
231	да и	3	1
232	ли он	1	1
233	и идеологических	1	1
234	но это	2	1
235	в эти	1	1
236	природой и	1	1
237	из него	2	1
238	себе и	1	1
239	чтобы не	1	1
240	его творчество	1	1
241	бы эта	1	1
242	к которой	1	1
243	вовсе не	1	1
244	уже не	4	1
245	в одной	1	1
246	нее не	1	1
247	и самый	1	1
248	отметить что	1	1
