N	3gram	Tiupa_Anal	Istorich
1	в этих случаях	1	47
2	с другой стороны	7	46
3	мы видим что	1	30
4	до сих пор	1	30
5	в этом случае	1	29
6	с одной стороны	3	28
7	в том что	12	25
8	не может быть	2	24
9	тем не менее	3	23
10	точно так же	1	22
11	о том что	7	22
12	не только в	5	19
13	здесь мы имеем	1	17
14	в связи с	1	17
15	в данном случае	11	15
16	после того как	1	15
17	по отношению к	9	14
18	в то время	1	13
19	но и в	2	12
20	в тех случаях	1	11
21	не что иное	1	11
22	что иное как	1	11
23	как и в	6	10
24	можно было бы	1	10
25	тех случаях когда	1	10
26	что и в	1	10
27	же как и	1	9
28	в таких случаях	1	9
29	на этот вопрос	1	8
30	и то что	2	8
31	что у него	1	8
32	подобно тому как	3	8
33	в зависимости от	1	8
34	в большинстве случаев	1	7
35	дело не в	1	7
36	с этой стороны	1	7
37	смысле этого слова	1	7
38	во всяком случае	6	7
39	что он не	2	7
40	и здесь мы	1	6
41	к тому же	7	6
42	для того чтобы	1	5
43	должны были бы	1	5
44	в отличие от	5	5
45	со всех сторон	1	5
46	в том чтобы	2	5
47	другой стороны и	1	5
48	есть не что	1	5
49	о чем речь	2	5
50	так и в	1	5
51	на самом деле	1	5
52	это далеко не	1	4
53	перед нами как	1	4
54	так или иначе	5	4
55	в этой связи	1	4
56	в чистом виде	2	4
57	и может быть	1	4
58	только то что	1	4
59	с точки зрения	2	4
60	состоит в том	2	4
61	в одной из	2	4
62	но уже в	1	4
63	вопрос о том	1	4
64	что мы знаем	1	4
65	можно сказать что	2	4
66	и в особенности	1	4
67	но они не	1	4
68	к этому же	1	4
69	вступает в брак	1	3
70	не только не	3	3
71	что в этом	1	3
72	и тем самым	2	3
73	до того что	1	3
74	в одном из	1	3
75	но в отличие	1	3
76	один и тот	1	3
77	не только по	1	3
78	дело в том	3	3
79	на передний план	1	3
80	мы уже говорили	1	3
81	и тот же	1	3
82	и он же	2	3
83	видим что в	1	3
84	в ответ на	2	3
85	в обратном порядке	1	3
86	не в том	1	3
87	само по себе	1	3
88	в соответствии с	2	3
89	но он не	1	3
90	таким образом в	1	3
91	т е к	2	3
92	в противоречие с	2	3
