N	2gram	Losev_Vlad	Russkaja
1	не может	12	22
2	и не	33	19
3	в этом	30	17
4	в том	26	17
5	и в	56	14
6	то что	30	13
7	соединение церквей	1	12
8	таким образом	6	11
9	то же	10	11
10	точки зрения	4	11
11	но и	26	10
12	же время	7	10
13	в то	15	10
14	не только	35	9
15	том что	22	9
16	во всяком	8	9
17	может быть	12	9
18	соединения церквей	1	9
19	церкви и	2	9
20	в себе	5	9
21	прежде всего	5	8
22	того чтобы	4	8
23	как на	2	8
24	не будет	1	7
25	ни к	2	7
26	самом деле	1	7
27	к тому	5	7
28	о том	13	7
29	самого себя	1	7
30	в данном	1	7
31	и если	8	7
32	мы должны	3	7
33	и с	27	7
34	к богу	2	7
35	отнюдь не	3	7
36	и к	10	6
37	для всех	2	6
38	если в	1	6
39	и при	2	6
40	для него	16	6
41	все это	7	6
42	на самом	1	6
43	в своих	7	6
44	если бы	2	6
45	и для	4	6
46	в россии	7	6
47	с тем	4	6
48	что он	22	6
49	для того	4	6
50	к которой	2	6
51	в своем	10	6
52	всяком случае	8	6
53	и на	7	5
54	из которых	1	5
55	только в	11	5
56	национальная культура	1	5
57	по существу	4	5
58	в своей	7	5
59	в последние	3	5
60	во имя	1	5
61	жизни в	3	5
62	себя и	1	5
63	последние дни	2	5
64	во всех	4	5
65	и только	1	5
66	вопрос о	1	5
67	хотя бы	5	5
68	потому что	16	5
69	в нем	7	5
70	он не	13	5
71	конечно не	5	5
72	а в	20	5
73	при этом	5	5
74	было бы	7	5
75	на то	7	5
76	никогда не	15	5
77	что в	24	4
78	во всем	4	4
79	бы то	2	4
80	и то	13	4
81	все что	2	4
82	когда они	1	4
83	так как	11	4
84	к этой	4	4
85	тогда когда	1	4
86	в его	18	4
87	не могут	2	4
88	его в	3	4
89	более или	5	4
90	отказаться от	1	4
91	не в	12	4
92	он будет	2	4
93	вместе с	9	4
94	как и	7	4
95	на земле	2	4
96	все же	11	4
97	в их	2	4
98	со стороны	5	4
99	себе и	2	4
100	или менее	5	4
101	переворот в	1	4
102	которой он	7	4
103	то ни	2	4
104	что же	11	4
105	от того	2	4
106	как бы	5	4
107	в этой	4	4
108	себя в	6	4
109	жизни и	8	4
110	но не	5	4
111	в другое	1	4
112	в самом	3	3
113	то в	6	3
114	что они	4	3
115	этом случае	1	3
116	был и	3	3
117	собой и	1	3
118	может не	1	3
119	и сейчас	2	3
120	должно быть	1	3
121	несмотря на	7	3
122	вопросу о	1	3
123	что это	2	3
124	ни стало	1	3
125	в качестве	7	3
126	для них	2	3
127	что и	6	3
128	сводится к	1	3
129	что может	1	3
130	в виде	4	3
131	в будущем	2	3
132	не было	12	3
133	связи с	7	3
134	или в	1	3
135	вселенской церкви	3	3
136	во что	1	3
137	тем что	2	3
138	именно в	4	3
139	в конце	22	3
140	и как	7	3
141	может только	2	3
142	и т	3	3
143	да и	6	3
144	о которых	1	3
145	о котором	2	3
146	не есть	4	3
147	но если	1	3
148	в вопросах	3	3
149	но мы	3	3
150	еще не	2	3
151	и потому	8	3
152	только к	3	3
153	то это	4	3
154	одна из	1	3
155	в значительной	1	3
156	на том	1	3
157	и ни	2	3
158	говорить о	1	3
159	приходит к	1	3
160	знаем что	2	3
161	что бы	2	3
162	россии и	4	3
163	лишь в	3	3
164	что для	5	3
165	главным образом	5	3
166	и во	3	3
167	том чтобы	4	3
168	одной из	2	3
169	с нею	1	3
170	что все	2	3
171	из этого	6	3
172	он сам	3	3
173	и по	10	3
174	а следовательно	1	3
175	конце концов	6	3
176	друг друга	3	3
177	из этих	5	3
178	всех этих	3	3
179	таким же	1	3
180	из них	3	3
181	того что	6	3
182	для россии	1	2
183	на почве	1	2
184	к такому	1	2
185	не так	1	2
186	от него	3	2
187	что с	3	2
188	что такое	3	2
189	и вот	5	2
190	к себе	2	2
191	время в	4	2
192	для себя	6	2
193	и должно	1	2
194	с самим	2	2
195	от нас	2	2
196	с ним	10	2
197	эти самые	1	2
198	будет ли	1	2
199	воле божией	1	2
200	от этой	1	2
201	для нас	9	2
202	видеть в	1	2
203	одному из	1	2
204	на которой	1	2
205	касается до	1	2
206	ни в	4	2
207	в результате	6	2
208	ясностью и	1	2
209	том и	1	2
210	в этих	5	2
211	у него	28	2
212	по себе	3	2
213	чтобы в	1	2
214	и даже	23	2
215	если не	4	2
216	ее в	1	2
217	не о	1	2
218	к чему	1	2
219	что ничего	1	2
220	на такой	2	2
221	все эти	6	2
222	раз навсегда	1	2
223	на себя	3	2
224	в мировоззрении	1	2
225	церковь которая	1	2
226	том же	4	2
227	указывает на	2	2
228	в таком	2	2
229	отношения к	4	2
230	тому что	1	2
231	речь шла	1	2
232	ясно что	2	2
233	их в	3	2
234	в порядке	2	2
235	и вместе	1	2
236	на эту	3	2
237	следовательно и	1	2
238	последнее время	2	2
239	нисколько не	4	2
240	ведь в	1	2
241	так же	4	2
242	любовь к	1	2
243	тогда как	1	2
244	в других	1	2
245	уже не	6	2
246	в меру	2	2
247	к той	2	2
248	деятельности и	1	2
249	с этим	3	2
250	остается в	1	2
251	его и	2	2
252	совершенно не	2	2
253	мы можем	1	2
254	а с	5	2
255	за то	2	2
256	россии к	1	2
257	больше чем	2	2
258	и более	1	2
259	в таких	1	2
260	в котором	10	2
261	мы уже	8	2
262	даже и	12	2
263	она не	3	2
264	вне всякой	1	2
265	в течение	13	2
266	но даже	3	2
267	в ней	5	2
268	во многих	2	2
269	весьма часто	1	2
270	и тогда	1	2
271	значительной мере	1	2
272	и тем	2	2
273	быть и	1	2
274	в частности	4	2
275	для нее	3	2
276	народа и	2	2
277	а не	5	2
278	но она	4	2
279	только на	3	2
280	отношении к	2	2
281	есть и	1	2
282	в силу	1	2
283	точно так	2	2
284	и что	11	2
285	время когда	1	2
286	и тот	2	2
287	на основании	3	2
288	этого не	2	2
289	у других	1	2
290	в начале	7	2
291	говоря о	2	2
292	факт что	1	2
293	по отношению	1	2
294	целый ряд	1	2
295	даже не	3	2
296	тем самым	2	2
297	и те	1	2
298	любви к	2	2
299	в россию	5	2
300	россию и	1	2
301	разделения церквей	1	2
302	на это	2	2
303	настоящее время	2	2
304	только с	1	2
305	бы его	2	2
306	приводят к	1	2
307	этом и	2	2
308	в глазах	1	2
309	что только	1	2
310	и от	6	2
311	но в	19	2
312	и есть	2	2
313	по этому	3	2
314	место в	2	2
315	так что	13	2
316	и о	6	2
317	вообще к	1	2
318	согласиться с	1	2
319	как будто	2	2
320	всех народов	1	2
321	в области	3	2
322	это в	2	2
323	но это	6	2
324	во время	4	2
325	будет в	1	2
326	не просто	1	2
327	в настоящее	2	2
328	если только	1	2
329	и наконец	2	2
330	и деятельности	2	2
331	эта работа	1	2
332	свое собственное	1	2
333	разумеется что	1	2
334	вся эта	3	2
335	не к	2	2
336	к нему	6	2
337	и ту	2	1
338	славянофильство и	1	1
339	подход к	1	1
340	когда он	6	1
341	тем не	8	1
342	никто из	2	1
343	при жизни	4	1
344	будет рассуждать	1	1
345	уверенность в	1	1
346	этого и	1	1
347	и весь	2	1
348	однако и	1	1
349	только не	2	1
350	никак нельзя	3	1
351	жизни но	1	1
352	как это	11	1
353	что его	8	1
354	а другие	2	1
355	и многие	1	1
356	один из	4	1
357	человеческой жизни	1	1
358	для большинства	1	1
359	что у	4	1
360	и мы	6	1
361	за ним	1	1
362	ему что	1	1
363	а наоборот	1	1
364	нет ни	1	1
365	же и	1	1
366	они не	1	1
367	друга в	1	1
368	не во	1	1
369	то есть	5	1
370	католической и	1	1
371	но из	1	1
372	время она	1	1
373	себе представить	2	1
374	он непременно	1	1
375	а по	3	1
376	это будет	1	1
377	которые не	1	1
378	которая в	1	1
379	время и	3	1
380	христианства а	1	1
381	том числе	1	1
382	которых мы	1	1
383	мы не	2	1
384	в состоянии	1	1
385	с этой	4	1
386	это не	3	1
387	человек может	1	1
388	он как	4	1
