N	3gram	Vinokur_Vv	Formalny
1	с точки зрения	4	40
2	не может быть	10	29
3	на самом деле	1	21
4	то же время	6	20
5	в то же	6	20
6	и т д	39	19
7	и т п	5	18
8	в связи с	2	16
9	во всяком случае	5	16
10	в настоящее время	1	13
11	по отношению к	4	12
12	в самом деле	6	11
13	в этом отношении	4	11
14	бы то ни	1	10
15	в зависимости от	3	10
16	с другой стороны	5	9
17	для того чтобы	22	8
18	до сих пор	7	8
19	вместе с тем	3	8
20	как мы видели	3	8
21	с одной стороны	4	8
22	в применении к	6	7
23	более или менее	1	7
24	того или иного	1	7
25	то ни было	1	7
26	в свою очередь	2	7
27	как мы знаем	1	7
28	и в этом	4	7
29	в том что	15	6
30	с тем что	3	6
31	сам по себе	2	6
32	в данном случае	4	6
33	смысле этого слова	2	6
34	языка и его	2	6
35	может быть и	2	6
36	одной стороны и	3	5
37	в этом смысле	10	5
38	языка как такового	1	5
39	в отличие от	4	5
40	к тому что	1	5
41	в значительной степени	1	5
42	связи с этим	1	5
43	прежде всего в	1	5
44	и не в	1	4
45	тем не менее	9	4
46	можно и должно	1	4
47	не в том	2	4
48	в конце концов	2	4
49	в этом пункте	1	4
50	не могут быть	2	4
51	но все же	4	4
52	но и в	1	4
53	в лучшем случае	1	4
54	подобно тому как	2	4
55	с самого начала	1	4
56	и не могут	2	4
57	сама по себе	3	4
58	мы уже знаем	2	3
59	то или иное	1	3
60	в том числе	1	3
61	так или иначе	4	3
62	чтобы убедиться в	1	3
63	быть и речи	1	3
64	можно говорить о	3	3
65	то же самое	3	3
66	только то что	1	3
67	в том смысле	1	3
68	в том чтобы	5	3
69	потому что он	2	3
70	и в дальнейшем	1	3
71	в своей работе	1	3
72	но в то	3	3
73	т е в	4	3
74	не могло не	1	3
75	в предисловии к	1	3
76	что же касается	2	3
77	мере в какой	6	2
78	все то что	1	2
79	том смысле что	1	2
80	в той мере	6	2
81	т е на	1	2
82	в собственном смысле	3	2
83	и со стороны	2	2
84	мы говорим о	1	2
85	отсюда следует что	1	2
86	хотя бы и	2	2
87	говоря уже о	1	2
88	с этой точки	2	2
89	вовсе не в	2	2
90	в строгом смысле	3	2
91	не потому что	1	2
92	именно потому что	1	2
93	бы оно было	1	2
94	тех или иных	3	2
95	и прежде всего	1	2
96	в том или	2	2
97	той мере в	6	2
98	как если бы	1	2
99	нужно сказать что	1	2
100	но в этом	1	2
101	в таком случае	1	2
102	что же собственно	1	2
103	из того что	1	2
104	о языке как	1	2
105	в широком смысле	7	2
106	и в том	4	2
107	может быть только	1	2
108	именно в этом	3	2
109	зависимости от характера	1	2
110	как это было	1	2
111	наука о литературе	1	2
112	имеем в виду	1	2
113	этой точки зрения	2	2
114	том или ином	2	2
115	в целом ряде	2	2
116	между ними и	2	2
117	какой бы то	1	2
118	как один из	1	2
119	быть и не	1	2
120	от того что	1	2
121	но и самый	1	2
122	если бы оно	1	2
123	на этот вопрос	5	2
124	т е с	1	2
125	при известных условиях	1	2
126	не говоря уже	2	2
127	но уже в	1	2
128	если же мы	1	2
129	дело в том	3	2
130	зависимости от того	1	2
131	не только в	4	2
132	так же как	1	2
133	мы имеем в	1	2
134	в этом случае	6	2
135	что в нем	2	2
136	как некоторое единство	1	2
137	и в каждом	1	2
138	так как и	1	2
139	но с точки	1	2
140	в этом понятии	1	2
141	дело не в	1	2
142	и истории литературы	1	2
143	в каждом своем	1	1
144	содержания но и	1	1
145	всю обширную область	1	1
146	в действительности дело	1	1
147	как она есть	2	1
148	к действительности а	1	1
149	д таким образом	1	1
150	а не иначе	1	1
151	не входят в	1	1
152	о котором мы	1	1
153	на почве их	1	1
154	что уже создано	1	1
155	и те кто	1	1
156	свое выражение в	1	1
157	но вместе с	2	1
158	лишь в том	1	1
159	социального общения в	1	1
160	о чем говорится	3	1
161	что в ней	1	1
162	на задний план	2	1
163	и именно как	1	1
164	в том как	1	1
165	увидим что в	1	1
166	науки о языке	1	1
167	том отношении что	3	1
168	чтобы понять что	3	1
169	и тогда когда	1	1
170	по сравнению с	4	1
171	даже и тогда	1	1
172	не в этом	1	1
173	для исследователя литературы	1	1
174	как и эти	1	1
175	все это и	1	1
176	с историей других	1	1
177	не в формах	1	1
178	язык в его	1	1
179	влечет за собой	2	1
180	русского языка и	1	1
181	т е все	1	1
182	не значит что	1	1
183	в том же	1	1
184	для нашего времени	1	1
185	и должно изучать	1	1
186	к истории в	1	1
187	литературного языка будет	1	1
188	здесь все время	2	1
189	широком смысле слова	4	1
190	и то же	2	1
191	сообщение о том	1	1
192	в частности в	1	1
193	а кроме того	1	1
194	смысле в каком	1	1
195	во-вторых с точки	1	1
196	если бы и	1	1
197	одного и того	2	1
198	то что собственно	1	1
199	уже потому что	1	1
200	все же в	1	1
201	т е каким	1	1
202	идет уже не	1	1
203	литературное произведение есть	1	1
204	так а не	1	1
205	и в конце	1	1
206	этого понятия в	2	1
207	научной работы но	1	1
208	на твердую почву	1	1
209	из необходимых условий	1	1
210	то о чем	1	1
211	в самое понятие	1	1
212	чтобы говорить о	1	1
213	с этой стороны	1	1
214	науке о литературе	1	1
215	этом смысле и	1	1
216	это не просто	1	1
217	могут быть названы	2	1
218	и как будет	1	1
219	в определенное время	1	1
220	между ними в	1	1
221	что в этом	2	1
222	в одном месте	1	1
223	но если бы	1	1
224	а потому что	1	1
225	и никогда не	1	1
226	по себе не	1	1
227	до тех пор	1	1
228	жизни и творчества	2	1
229	строгом смысле этого	1	1
230	текста и т	2	1
231	предполагает ту или	1	1
232	может быть более	1	1
233	каждой из них	2	1
234	художественных произведений не	1	1
235	есть не что	3	1
236	может быть названа	1	1
237	и того же	2	1
238	каждой из этих	1	1
239	состоит в том	2	1
240	не может не	1	1
241	был и другой	1	1
242	не только с	1	1
243	по этому поводу	3	1
244	а если и	1	1
245	ни к какому	1	1
246	такой материал который	1	1
247	все это не	1	1
248	к своему материалу	1	1
249	а не только	1	1
250	было бы с	1	1
251	собственном смысле этого	1	1
252	содержанию и форме	1	1
253	дать о ней	1	1
254	прежде всего то	1	1
255	всего того что	1	1
256	теми или иными	1	1
257	а также и	2	1
258	в чистом виде	1	1
259	и каковы его	1	1
260	каждое из этих	1	1
261	т е о	1	1
262	собственном смысле слова	1	1
263	в этих случаях	2	1
264	как своего рода	1	1
265	именно это понимание	1	1
266	должен был быть	1	1
267	таким образом мы	1	1
268	и тем не	3	1
269	еще не значит	1	1
270	т е не	2	1
271	что литературное произведение	1	1
272	той или иной	3	1
273	это может быть	1	1
274	того обстоятельства что	1	1
275	большей или меньшей	3	1
276	не могли не	1	1
277	которая сама по	1	1
278	тем что в	1	1
279	одно из необходимых	1	1
280	в хорошем смысле	1	1
281	т д таким	1	1
282	он должен быть	1	1
283	объект исследования и	1	1
284	бы сказать что	1	1
285	в чем же	3	1
286	и в особенности	4	1
287	таким образом по	2	1
288	о том что	13	1
289	в одном отношении	1	1
290	смысле слова в	1	1
291	по крайней мере	4	1
292	лицом к лицу	1	1
293	и без того	1	1
294	хорошем смысле этого	1	1
295	так как эта	1	1
296	и даже просто	1	1
297	и в самом	3	1
298	в гораздо большей	1	1
299	он был в	1	1
300	именно как целое	1	1
301	ту или иную	1	1
302	в более широком	1	1
303	было бы сказать	1	1
304	языка и литературы	2	1
305	тот факт что	1	1
306	чтобы можно было	2	1
307	можно сказать что	3	1
308	только в том	2	1
309	и той же	2	1
310	только в этом	1	1
311	нужно было бы	1	1
312	т е то	1	1
313	не вытекает из	1	1
314	в точном смысле	1	1
315	точки зрения на	1	1
316	конечно и здесь	1	1
317	потому что и	1	1
318	может быть вполне	1	1
319	во взглядах на	1	1
320	же это не	1	1
321	между филологией и	10	1
322	между наукой и	1	1
323	самого по себе	1	1
324	не было бы	1	1
325	что не следует	1	1
326	не что иное	5	1
327	один из важнейших	1	1
328	что иное как	5	1
329	должна быть положена	1	1
330	в какой они	1	1
331	одно и то	2	1
332	и составляет содержание	1	1
333	как на элемент	1	1
334	одной и той	2	1
335	в слове в	1	1
336	о литературе и	1	1
337	заключается в том	3	1
338	или меньшей степени	1	1
339	том смысле в	1	1
340	только потому что	1	1
341	как одна из	1	1
342	не соглашаться с	1	1
343	отношение к действительности	1	1
344	не сам по	1	1
345	в особенности в	1	1
346	вовсе не вытекает	1	1
347	в том отношении	3	1
348	с разных сторон	1	1
349	по меньшей мере	2	1
350	друг для друга	1	1
351	здесь не может	1	1
352	самом широком и	1	1
353	языка но и	1	1
354	же время в	1	1
355	в общих чертах	1	1
356	та или иная	1	1
357	в большей или	1	1
358	именно из его	1	1
359	в самом процессе	1	1
360	более точного определения	1	1
361	вопрос о том	5	1
362	в самом широком	1	1
363	то увидим что	1	1
364	между прочим и	1	1
365	можно было бы	4	1
366	его отношение к	1	1
367	потому что они	1	1
368	тем что не	2	1
369	же самое и	1	1
