N	2gram	Vinokur_St	VerxiiNi
1	и в	61	26
2	таким образом	16	22
3	с тем	3	18
4	в этом	37	15
5	вместе с	5	15
6	точки зрения	16	13
7	как бы	8	12
8	в том	56	11
9	не только	36	10
10	и с	6	10
11	может быть	16	10
12	из этих	7	10
13	что в	41	9
14	так как	7	9
15	связи с	3	9
16	но и	28	9
17	в области	16	9
18	в общем	2	8
19	и у	2	8
20	и не	23	8
21	как на	10	8
22	с другой	11	8
23	но не	5	8
24	с одной	3	7
25	но все	9	7
26	в эпоху	3	7
27	связанные с	3	7
28	том что	49	7
29	потому что	13	7
30	одной стороны	2	7
31	а с	6	7
32	то что	27	7
33	но в	16	7
34	из них	11	7
35	к нему	2	7
36	так и	15	6
37	в конце	5	6
38	несмотря на	4	6
39	все это	13	6
40	что и	8	6
41	в отношении	11	6
42	представление о	5	6
43	все эти	7	6
44	все же	12	6
45	к тому	9	6
46	о том	30	6
47	во всяком	8	6
48	и потому	3	6
49	всяком случае	8	6
50	с точки	10	6
51	в себе	3	6
52	того же	4	6
53	и к	5	5
54	до сих	13	5
55	том числе	3	5
56	в его	19	5
57	тому же	2	5
58	более или	2	5
59	не имеет	5	5
60	или менее	2	5
61	сих пор	12	5
62	по крайней	2	5
63	того чтобы	15	5
64	для того	15	5
65	так же	7	5
66	лишь в	3	5
67	отношение к	3	5
68	одной из	4	5
69	образом в	1	5
70	а не	19	5
71	и для	4	5
72	крайней мере	2	5
73	никогда не	7	5
74	при жизни	2	4
75	в самом	14	4
76	что оно	4	4
77	то есть	2	4
78	и по	6	4
79	то же	7	4
80	из которых	1	4
81	только в	11	4
82	в этих	5	4
83	должен был	5	4
84	целый ряд	3	4
85	что он	23	4
86	и вместе	1	4
87	в которых	5	4
88	в котором	11	4
89	в течение	7	4
90	и тогда	2	4
91	он не	11	4
92	и что	8	4
93	далеко не	1	4
94	а в	18	4
95	очень мало	4	4
96	в этой	13	4
97	числе и	2	4
98	и от	2	4
99	не может	10	4
100	что все	3	4
101	на этот	5	4
102	в виде	3	4
103	в то	10	4
104	и только	3	4
105	в нем	9	4
106	во время	5	4
107	в так	1	4
108	к сожалению	4	3
109	и другие	3	3
110	верхом и	1	3
111	с этой	5	3
112	и при	1	3
113	при этом	4	3
114	для него	10	3
115	из всех	1	3
116	что это	5	3
117	тем не	4	3
118	в качестве	7	3
119	в результате	5	3
120	так или	3	3
121	и даже	8	3
122	если бы	11	3
123	в которой	13	3
124	в народных	1	3
125	или иначе	3	3
126	с ней	1	3
127	на нее	3	3
128	с самого	4	3
129	в таком	4	3
130	случае не	3	3
131	ясно что	10	3
132	и как	2	3
133	как о	2	3
134	же как	5	3
135	если в	2	3
136	не менее	8	3
137	к концу	3	3
138	из которого	2	3
139	и таким	1	3
140	в других	2	3
141	что эти	1	3
142	можно сказать	2	3
143	но с	7	3
144	каждая из	1	3
145	за собой	1	3
146	хотя бы	8	3
147	в значительной	2	3
148	так что	8	3
149	а после	1	3
150	у них	1	3
151	когда он	1	3
152	точно так	2	3
153	в одном	7	3
154	оказывается что	1	3
155	большей частью	1	3
156	и те	4	3
157	не вполне	1	3
158	всегда и	1	3
159	к ним	1	3
160	и о	4	3
161	отношению к	3	3
162	в своем	8	3
163	уже не	1	3
164	к этому	4	3
165	конце концов	2	3
166	того что	14	3
167	на востоке	1	2
168	бы то	2	2
169	связан с	3	2
170	все что	1	2
171	один из	1	2
172	и здесь	2	2
173	и на	7	2
174	связанных с	1	2
175	смотреть на	2	2
176	по тому	1	2
177	и сейчас	6	2
178	свидетельствует о	2	2
179	к одной	1	2
180	за которые	1	2
181	уже в	3	2
182	чем все	1	2
183	тогда когда	1	2
184	мы имеем	2	2
185	не с	1	2
186	ни было	1	2
187	этом отношении	13	2
188	с тех	1	2
189	в пользу	5	2
190	только не	2	2
191	те же	1	2
192	не как	2	2
193	прежде всего	11	2
194	одно из	3	2
195	его от	1	2
196	не могут	2	2
197	со всеми	2	2
198	в них	2	2
199	связь с	1	2
200	похож на	1	2
201	так называемую	1	2
202	не было	7	2
203	к его	2	2
204	не потому	3	2
205	отличаются от	1	2
206	не в	15	2
207	у всех	1	2
208	а также	4	2
209	в виду	6	2
210	в россии	7	2
211	одним из	2	2
212	мысль о	2	2
213	с целью	1	2
214	по существу	3	2
215	именно в	8	2
216	быть даже	1	2
217	и действительно	1	2
218	героев и	1	2
219	в процессе	3	2
220	очень много	1	2
221	в среде	1	2
222	можно назвать	3	2
223	с одним	1	2
224	народных массах	1	2
225	положение в	1	2
226	к которым	1	2
227	пор еще	1	2
228	виде в	2	2
229	и перед	2	2
230	одновременно и	1	2
231	в одно	1	2
232	при таком	2	2
233	никем не	2	2
234	по своему	2	2
235	на все	2	2
236	отличается от	2	2
237	должно было	5	2
238	в новом	4	2
239	о котором	2	2
240	сравнению с	1	2
241	ничего общего	3	2
242	в эту	3	2
243	так например	12	2
244	от подлинной	1	2
245	особенно в	2	2
246	связано с	1	2
247	еще не	4	2
248	во всех	8	2
249	начиная с	2	2
250	мы можем	1	2
251	уже давно	1	2
252	некоторые из	1	2
253	больше чем	3	2
254	что мы	5	2
255	если не	4	2
256	этого последнего	1	2
257	так называемой	2	2
258	но при	1	2
259	еще только	1	2
260	его не	3	2
261	наконец в	2	2
262	по сравнению	1	2
263	то ни	2	2
264	между тем	7	2
265	не всегда	2	2
266	больше не	1	2
267	быть и	2	2
268	должна была	6	2
269	не могло	4	2
270	ни один	2	2
271	и является	1	2
272	на пути	1	2
273	так чтобы	1	2
274	тем и	1	2
275	и это	4	2
276	в начале	5	2
277	превращается в	2	2
278	конечно не	2	2
279	по своей	2	2
280	же время	5	2
281	самого начала	3	2
282	или иное	3	2
283	еще на	1	2
284	он в	1	2
285	тех пор	1	2
286	с именем	2	2
287	общего с	3	2
288	сказать что	9	2
289	которые в	2	2
290	не могла	2	2
291	и другой	1	2
292	в образе	3	2
293	к которому	4	2
294	в глазах	1	2
295	или иной	1	2
296	не должны	1	2
297	жизни и	6	2
298	но если	5	2
299	в разных	1	2
300	иной раз	1	2
301	и проч	1	2
302	что именно	2	2
303	на то	5	2
304	из этого	1	2
305	с его	3	2
306	от них	1	2
307	востока и	1	2
308	что о	3	2
309	и после	1	2
310	и все	3	2
311	его смерти	1	2
312	для этого	2	2
313	и из	1	2
314	то или	3	2
315	тот же	2	2
316	той или	1	2
317	вплоть до	6	2
318	с того	2	2
319	не к	2	2
320	из этой	2	2
321	можно только	1	2
322	или иным	3	1
323	в той	9	1
324	все в	2	1
325	головной убор	1	1
326	к началу	1	1
327	представить себе	1	1
328	образом при	1	1
329	люди которые	3	1
330	они являются	1	1
331	получает свое	1	1
332	то в	3	1
333	на почве	2	1
334	против этого	1	1
335	первую очередь	2	1
336	не так	2	1
337	новое и	1	1
338	в свое	3	1
339	неоднократно но	1	1
340	а потому	2	1
341	во втором	5	1
342	что с	4	1
343	случае в	4	1
344	можно говорить	1	1
345	и этот	1	1
346	которым он	1	1
347	переселиться в	1	1
348	в прямом	2	1
349	фактом что	1	1
350	значение в	1	1
351	соответствующее количество	1	1
352	этого в	1	1
353	которые совершенно	1	1
354	и конечно	1	1
355	простой народ	1	1
356	народа в	1	1
357	они не	2	1
358	слова здесь	1	1
359	может не	2	1
360	этой области	5	1
361	данном случае	7	1
362	народ не	1	1
363	что такое	2	1
364	ни с	3	1
365	них в	1	1
366	в момент	1	1
367	известно что	2	1
368	не нужен	1	1
369	с толку	1	1
370	представляется возможным	1	1
371	того как	8	1
372	время и	1	1
373	вокруг его	1	1
374	простого народа	2	1
375	как к	3	1
376	за исключением	1	1
377	некоторое представление	1	1
378	следует сказать	1	1
379	притом не	1	1
380	для себя	3	1
381	смысле слова	1	1
382	из таких	2	1
383	при таких	1	1
384	это не	8	1
385	у другого	1	1
386	эти особенности	1	1
387	дело с	2	1
388	лишь то	1	1
389	идет о	3	1
390	и далее	1	1
391	то у	1	1
392	не для	3	1
393	которых он	2	1
394	но такой	1	1
395	представляют собой	1	1
396	равнодушен к	1	1
397	значение которое	1	1
398	которым они	1	1
399	тот который	1	1
400	кроме того	3	1
401	о чем	4	1
402	нашей точки	1	1
403	в сущности	2	1
404	в ее	6	1
405	как раз	10	1
406	что так	3	1
407	такое же	2	1
408	существует что	1	1
409	чем у	2	1
410	которые по	1	1
411	что человек	1	1
412	и за	3	1
413	согласно которой	2	1
414	него в	1	1
415	с нашей	2	1
416	у нас	12	1
417	на которой	2	1
418	далее в	4	1
419	это и	5	1
420	ни в	5	1
421	и делает	1	1
422	это слово	6	1
423	вообще можно	2	1
424	борьбы с	3	1
425	то не	3	1
426	другой стороны	9	1
427	но одно	1	1
428	смысле этого	2	1
