N	3gram	Tiupa_Narr	Poddanst
1	то же время	7	7
2	в то же	7	7
3	в том что	11	4
4	не только в	12	4
5	сами по себе	2	3
6	с точки зрения	2	3
7	с одной стороны	5	3
8	в полной мере	1	2
9	но и в	4	2
10	в ней не	1	2
11	заключает в себе	2	2
12	и в то	2	2
13	в том числе	1	2
14	и не только	1	2
15	одной стороны и	1	2
16	и т д	1	1
17	в определенный момент	1	1
18	друг с другом	1	1
19	как она есть	1	1
20	тех кто не	1	1
21	в отрыве от	1	1
22	и тем самым	6	1
23	в xix в	1	1
24	том числе и	1	1
25	само по себе	1	1
26	не может быть	6	1
27	же в этой	1	1
28	в большинстве случаев	1	1
29	именно в рамках	1	1
30	в отличие от	6	1
31	в этом смысле	1	1
32	по сравнению с	1	1
33	и то что	1	1
34	и быть может	1	1
35	но в этом	1	1
36	что происходит и	1	1
37	во всяком случае	2	1
38	что с точки	1	1
39	для того чтобы	4	1
40	с другой стороны	1	1
41	в известном смысле	4	1
42	и не может	3	1
43	не в том	1	1
44	в том виде	1	1
45	да и не	1	1
46	более или менее	2	1
47	так же как	1	1
48	в частности в	2	1
49	или хотя бы	1	1
50	начала и конца	4	1
