N	4gram	Vinokur_Vv	TeoriaLi
1	в то же время	6	8
2	состоит в том что	2	5
3	одного и того же	2	4
4	мы имеем в виду	1	3
5	с этой точки зрения	2	2
6	и в самом деле	3	2
7	в том что он	1	2
8	одно и то же	2	2
9	бы то ни было	1	2
10	но в то же	3	2
11	мере в какой их	1	1
12	той мере в какой	6	1
13	в том что в	1	1
14	не что иное как	5	1
15	в этом втором случае	1	1
16	заключается в том что	2	1
17	в той мере в	6	1
18	тем не менее не	1	1
19	с одной стороны и	3	1
20	в одном и том	1	1
21	по отношению к нему	1	1
22	одном и том же	1	1
23	дело в том что	3	1
24	то что входит в	1	1
25	по тем или иным	2	1
26	специфическом значении этого термина	1	1
27	в той или иной	1	1
28	не может быть и	1	1
29	еще и потому что	1	1
30	какой бы то ни	1	1
31	мы имеем дело с	1	1
32	в связи с этим	1	1
33	точно так же как	1	1
34	в том или ином	2	1
35	есть не что иное	3	1
