1	заключается в том что	4	7
2	в то время как	1	6
3	одной и той же	2	5
4	с этой точки зрения	5	5
5	в том что она	1	4
6	точно так же как	3	3
7	и в самом деле	10	3
8	в силу того что	3	3
9	никак не может быть	1	3
10	до тех пор пока	7	2
11	несмотря на то что	1	2
12	в центр своего внимания	1	2
13	в собственном смысле слова	2	2
14	в том случае если	3	2
15	только в том случае	3	2
16	не в том чтобы	5	2
17	т п все это	2	2
18	совершенно справедливо указывает что	1	2
19	и т п все	5	2
20	никогда не может быть	1	2
21	во всяком случае в	1	2
22	заключается не в том	1	2
23	и тем не менее	7	2
24	в том и состоит	1	2
25	не что иное как	2	2
26	тех пор пока мы	2	2
27	мы примем во внимание	1	2
28	ни в какой мере	3	2
29	один и тот же	2	2
30	беда в том что	1	2
31	то же самое что	1	2
32	и т п в	5	2
33	в то же время	6	2
34	все дело в том	1	1
35	само по себе не	1	1
36	не зависит от его	1	1
37	вся беда в том	1	1
38	в той мере в	7	1
39	в какой мере не	2	1
40	а с другой стороны	3	1
41	в связи с этим	1	1
42	что речь идет именно	1	1
43	станем на точку зрения	1	1
44	в том что мы	1	1
45	во всяком случае все	1	1
46	поскольку речь идет о	2	1
47	и мы увидим как	1	1
48	пор пока мы не	2	1
49	это отнюдь не означает	1	1
50	по крайней мере в	1	1
51	ни в коем случае	1	1
52	смыслу воспринимаемых им слов	1	1
53	состоит в том что	4	1
54	и т п эта	1	1
55	и т п то	1	1
56	дело не в том	1	1
57	в широком смысле слова	1	1
58	о том что он	1	1
59	было бы сказать что	4	1
60	и т п так	3	1
61	одним и тем же	2	1
62	и т п с	1	1
63	и в той мере	1	1
64	той мере в какой	7	1
65	д и т д	3	1
66	одно и то же	1	1
67	что поскольку речь идет	1	1
68	и есть в сущности	1	1
69	сами же по себе	1	1
70	речь идет именно о	2	1
71	в том что на	2	1
72	т д и т	4	1
73	что само по себе	1	1
74	преувеличения можно сказать что	1	1
75	и т д и	4	1
76	в узком смысле слова	1	1
77	для того чтобы с	2	1
78	том и состоит что	1	1
79	социальной жизни в его	1	1
80	из того факта что	1	1
81	что даже в тех	1	1
82	что бы то ни	1	1
83	именно в силу того	1	1
84	бы то ни стало	1	1
85	приводит к тому что	1	1
86	и в том что	1	1
87	в том случае когда	3	1
88	к смыслу воспринимаемых им	1	1
89	уже не может быть	2	1
90	не удивительно что и	1	1
91	одном и том же	1	1
92	то мы увидим что	1	1
93	воспринимающего к смыслу воспринимаемых	1	1
94	но вся беда в	1	1
95	в том смысле что	2	1
96	с другой стороны слова	1	1
97	только о том что	1	1
98	одного и того же	4	1
99	с другой стороны к	1	1
100	ни на минуту не	1	1
101	если бы не было	1	1
102	для того чтобы дать	2	1
103	том случае если бы	1	1
104	что же касается до	1	1
105	но для того чтобы	3	1
106	получить некоторое знание о	1	1
107	т д все это	1	1
108	и т п но	6	1
109	прежде всего тем что	1	1
110	худо ли хорошо ли	1	1
111	с точки зрения их	1	1
112	в зависимости от того	4	1
113	совершенно ясно что в	2	1
114	и не может быть	1	1
115	есть в сущности говоря	1	1
116	что на самом деле	2	1
117	то не удивительно что	1	1
118	и т п не	1	1
119	во что бы то	1	1
120	даже в тех случаях	1	1
121	каково бы ни было	1	1
122	с другой стороны в	1	1
123	дело в том что	1	1
124	в том что подобными	1	1
125	субъективным добавлением воспринимающего к	1	1
126	добавлением воспринимающего к смыслу	1	1
127	в том что он	3	1
128	в первом случае мы	2	1
129	и т д все	1	1
130	что с точки зрения	2	1
131	и т д мы	1	1
132	в таких словах как	1	1
133	и тот же звук	1	1
134	это можно было бы	1	1
135	есть вместе с тем	3	1
136	не в том что	3	1
137	в том или ином	1	1
138	есть не что иное	1	1
139	бы то ни было	1	1
140	что это действительно так	1	1
141	а если так то	1	1
