N	2gram	Losev_Prob	VelikijI
1	и не	29	20
2	и в	48	16
3	свободы и	4	12
4	так как	10	9
5	то что	26	9
6	в истории	1	8
7	еще не	4	8
8	и потому	4	7
9	что они	4	7
10	а не	7	7
11	на земле	11	7
12	к людям	5	6
13	человека и	4	6
14	не есть	3	6
15	хотя и	10	5
16	того что	8	5
17	все это	8	5
18	ты не	1	5
19	по пути	1	5
20	как бы	10	5
21	бога и	1	5
22	на себя	2	5
23	великом инквизиторе	1	5
24	в мире	1	5
25	но и	21	5
26	все что	2	4
27	в котором	5	4
28	в этом	31	4
29	что мы	4	4
30	потому что	21	4
31	в его	19	4
32	свою личность	1	4
33	во мне	1	4
34	в ней	4	4
35	добра и	2	4
36	так и	15	4
37	с богом	1	4
38	они будут	1	4
39	и есть	4	4
40	мира сего	1	4
41	и все	12	4
42	что не	3	4
43	в образе	2	4
44	великих и	1	4
45	что все	1	4
46	как и	10	4
47	что он	12	4
48	в силах	3	4
49	нет у	2	4
50	и я	1	4
51	в нем	8	4
52	о великом	2	4
53	во всех	2	3
54	что в	12	3
55	нет ничего	3	3
56	бы и	1	3
57	и против	1	3
58	и мы	1	3
59	за ним	1	3
60	то это	1	3
61	в конце	10	3
62	должно быть	1	3
63	нас и	4	3
64	если не	6	3
65	хотя бы	11	3
66	в том	25	3
67	любовь к	1	3
68	тому что	2	3
69	личности и	1	3
70	от которого	1	3
71	не в	16	3
72	и что	9	3
73	что и	8	3
74	ни в	17	3
75	они в	1	3
76	превращается в	1	3
77	людей он	1	3
78	в этих	3	3
79	в абсолютном	1	3
80	в них	5	3
81	не было	4	3
82	что во	2	3
83	не верит	1	3
84	и будет	1	3
85	в жизни	4	3
86	что я	1	3
87	по этому	5	3
88	и они	3	3
89	их в	1	3
90	в своей	29	3
91	всех людей	1	3
92	с его	3	3
93	от этого	4	3
94	не имеет	3	3
95	но это	7	3
96	и для	11	3
97	жизни и	7	3
98	в чем	3	3
99	все эти	12	3
100	тот же	6	3
101	но в	17	3
102	к тому	7	3
103	за то	4	3
104	никогда не	7	3
105	людей в	6	3
106	что было	1	2
107	человечества на	1	2
108	всего в	1	2
109	во всяком	7	2
110	им что	1	2
111	от него	1	2
112	уже на	2	2
113	что от	3	2
114	а к	1	2
115	один из	2	2
116	мы и	2	2
117	не могли	2	2
118	это дело	1	2
119	они и	2	2
120	и зла	1	2
121	в человека	3	2
122	которые не	1	2
123	познания добра	1	2
124	и люди	2	2
125	на том	1	2
126	свою и	1	2
127	его не	3	2
128	не так	4	2
129	того чтобы	3	2
