N	2gram	Nazirov_Tr	SlovoVZh
1	не может	5	16
2	может быть	7	14
3	как бы	7	13
4	и его	6	13
5	таким образом	1	12
6	и в	18	12
7	и не	7	10
8	прежде всего	4	8
9	творца и	1	7
10	для нас	1	7
11	все время	1	6
12	в ней	1	6
13	с помощью	1	6
14	в том	2	6
15	только в	1	6
16	в нем	4	6
17	при этом	3	6
18	и др	1	5
19	героя и	1	5
20	хотя бы	1	5
21	должна быть	1	5
22	то же	5	5
23	а не	1	5
24	в виду	1	5
25	то что	4	5
26	как и	5	5
27	как в	3	5
28	отнюдь не	3	5
29	том что	4	5
30	но в	6	5
31	никогда не	2	5
32	в самом	2	4
33	в литературе	1	4
34	и на	7	4
35	не только	8	4
36	за пределы	1	4
37	его в	2	4
38	литературы и	1	4
39	не в	2	4
40	отношение к	2	4
41	что не	1	4
42	так и	5	4
43	уже не	2	4
44	в этом	9	4
45	все же	5	4
46	к нему	3	4
47	и с	7	3
48	это как	1	3
49	в котором	1	3
50	и по	1	3
51	между тем	1	3
52	для него	3	3
53	с ним	3	3
54	того что	1	3
55	тем не	1	3
56	имеет в	2	3
57	все это	4	3
58	ни в	2	3
59	по себе	1	3
60	так же	4	3
61	в них	1	3
62	самом деле	1	3
63	только на	1	3
64	в себе	4	3
65	все эти	3	3
66	о том	2	3
67	в своей	1	3
68	не менее	1	3
69	в такой	1	3
70	нуждается в	1	3
71	но и	4	3
72	и ее	2	3
73	и наконец	1	3
74	не к	1	3
75	еще не	4	3
76	в особенности	1	2
77	что в	4	2
78	перестает быть	1	2
79	но это	4	2
80	не так	2	2
81	и потому	1	2
82	вместе со	2	2
83	и то	2	2
84	социальной жизни	1	2
85	в данном	2	2
86	в душе	2	2
87	в то	5	2
88	еще раз	2	2
89	по природе	1	2
90	сливается с	1	2
91	данном случае	2	2
92	в момент	1	2
93	в основном	3	2
94	с одной	1	2
95	уже в	3	2
96	в его	3	2
97	с этой	1	2
98	она не	1	2
99	это не	5	2
100	дело с	1	2
101	как это	3	2
102	любит и	1	2
103	но все	2	2
104	не способен	1	2
105	и что	4	2
106	что и	2	2
107	в форме	1	2
108	конечно в	1	2
109	а к	1	2
110	как же	2	2
111	и притом	1	2
112	ко всем	1	2
113	но этот	1	2
114	к ним	1	2
115	и здесь	2	2
116	и все	4	2
117	но не	1	2
118	речи в	1	2
119	его как	1	2
120	не есть	1	2
121	могут быть	1	2
122	в самое	1	2
123	до конца	2	2
124	в своем	3	2
125	вместе с	1	2
126	с его	2	2
127	на все	1	2
128	известной степени	1	2
129	бы не	1	2
130	подчеркнуть что	1	2
131	между собой	1	2
132	он не	2	2
133	в условиях	1	2
134	в чем	1	2
135	и совершенно	1	2
136	но мы	1	2
137	ничего не	2	2
138	жизнью и	2	2
139	умирает в	1	1
140	все в	1	1
141	ситуации и	1	1
142	к одному	1	1
143	жизнь и	3	1
144	то в	1	1
145	во всяком	1	1
146	от него	1	1
147	в стиле	1	1
148	это и	1	1
149	во всех	1	1
150	в окончательном	1	1
151	не является	1	1
152	только к	2	1
153	что оно	1	1
154	и он	3	1
155	виду не	1	1
156	было в	2	1
157	с самого	1	1
158	на нечто	1	1
159	в обществе	1	1
160	опирается на	1	1
161	является ее	1	1
162	так можно	1	1
163	на этом	1	1
164	она должна	2	1
165	которой он	1	1
166	то есть	3	1
167	не нужен	1	1
168	должно быть	3	1
169	значение и	1	1
170	и который	1	1
171	и вот	1	1
172	от нее	1	1
173	ненависть к	2	1
174	но при	2	1
175	что уже	1	1
176	того чтобы	1	1
177	и их	1	1
178	ту же	1	1
179	в другом	1	1
180	а из	1	1
181	несмотря на	5	1
182	и должна	1	1
183	это часто	1	1
184	обстоит дело	1	1
185	что это	5	1
186	характерны для	1	1
187	это уже	2	1
188	в новой	1	1
189	о чем	3	1
190	оно начинает	1	1
191	в ее	2	1
192	это по	1	1
193	сам по	1	1
194	комнате в	1	1
195	проникает в	1	1
196	в частности	2	1
197	говорит о	2	1
198	не как	1	1
199	в одном	2	1
200	в области	1	1
201	одно из	1	1
202	я знаю	1	1
203	с жизнью	1	1
204	отказывается от	2	1
205	можно было	1	1
206	вещами и	1	1
207	а между	1	1
208	же не	1	1
209	в результате	1	1
210	и это	2	1
211	как нечто	1	1
212	не вполне	1	1
213	у него	6	1
214	в истории	1	1
215	не могут	2	1
216	по мнению	2	1
217	же время	6	1
218	исповеди ставрогина	1	1
219	в виде	2	1
220	чего же	1	1
221	свое значение	1	1
222	в обоих	1	1
223	входят в	1	1
224	отметить что	1	1
225	самого начала	1	1
226	без слов	1	1
227	не было	1	1
228	связи с	1	1
229	он еще	1	1
230	здесь мы	1	1
231	с ее	3	1
232	давно пора	1	1
233	того кто	1	1
234	мы понимаем	1	1
235	это же	1	1
236	выражают его	1	1
237	к тому	2	1
238	же взгляда	1	1
239	себя на	1	1
240	героя с	1	1
241	не получил	1	1
242	как мы	1	1
243	это мы	1	1
244	что она	2	1
245	самой своей	1	1
246	и о	1	1
247	позицию по	1	1
248	как его	1	1
249	и вне	1	1
250	с первого	2	1
251	от всего	2	1
252	и эта	1	1
253	он вдруг	5	1
254	наряду с	1	1
255	именно в	1	1
256	но эта	2	1
257	она находит	1	1
258	но несмотря	1	1
259	в таком	2	1
260	из трех	1	1
261	обратимся к	1	1
262	например в	1	1
263	что я	4	1
264	и психологически	1	1
265	из подполья	1	1
266	в высшей	1	1
267	стиля и	1	1
268	что все	2	1
269	столь же	2	1
270	и она	1	1
271	в общем	1	1
272	есть в	1	1
273	исходит из	1	1
274	в переводе	1	1
