N	2gram	Vinokur_Ku	BTomashe
1	у нас	19	3
2	все это	10	2
3	теории словесности	1	2
4	в ней	6	2
5	можно было	14	2
6	словесности и	1	2
7	не то	1	2
8	и не	23	2
9	следовало бы	2	1
10	вопрос о	11	1
11	говорить о	5	1
12	творчества и	1	1
13	и о	3	1
14	только более	1	1
15	забывать что	1	1
16	было и	1	1
17	со всем	1	1
18	литературы как	1	1
19	не только	29	1
20	всего в	2	1
21	систематизации и	1	1
22	таким образом	17	1
23	следует конечно	1	1
24	не было	6	1
25	в эпоху	1	1
26	прежде всего	14	1
27	так по	1	1
28	бы только	1	1
29	функцией в	1	1
30	и в	44	1
31	на самом	3	1
32	так и	10	1
33	в своей	4	1
34	стиля и	1	1
35	если таким	1	1
36	во всяком	8	1
37	и потому	6	1
38	и во	1	1
39	также что	2	1
40	говорить об	1	1
41	же не	1	1
42	по крайней	11	1
43	в речи	5	1
44	с другой	14	1
45	об этом	4	1
46	стр ведь	1	1
47	значение слова	3	1
48	своей книге	1	1
49	как будто	2	1
50	совершенно не	4	1
51	другой стороны	12	1
52	крайней мере	11	1
53	всяком случае	8	1
54	кроме того	2	1
55	было бы	28	1
56	как таковому	1	1
57	стоит на	1	1
58	не следует	6	1
59	точно и	1	1
60	одной из	1	1
61	вместе взятое	1	1
62	в пределах	8	1
63	в данном	8	1
64	более что	1	1
65	должна быть	6	1
66	в области	15	1
67	далеко не	2	1
68	тем более	2	1
69	в научном	1	1
70	то как	1	1
71	и более	3	1
72	поэтики и	1	1
73	что все	6	1
74	не все	4	1
75	нельзя не	1	1
76	никак не	5	1
77	в книге	1	1
78	чтобы можно	1	1
79	его не	1	1
80	будто бы	3	1
81	также не	1	1
82	а не	17	1
83	отнюдь не	5	1
84	до конца	3	1
85	сейчас в	1	1
86	бы больше	1	1
87	не укладывается	1	1
88	и на	8	1
89	выходит за	2	1
90	с западными	1	1
91	между ними	2	1
92	еще не	10	1
93	все же	17	1
94	работу по	1	1
95	что в	25	1
96	меньше чем	2	1
