N	3gram	Vinokur_St	TeoriaLi
1	в том что	29	10
2	по отношению к	3	10
3	в то же	5	8
4	то же время	5	8
5	в отличие от	1	7
6	того или иного	4	6
7	с другой стороны	8	6
8	более или менее	2	6
9	не может быть	5	5
10	для того чтобы	13	5
11	так или иначе	3	5
12	в данном случае	7	5
13	в первой строфе	2	4
14	той или иной	1	3
15	с точки зрения	10	3
16	в этом смысле	2	3
17	в том числе	3	3
18	тем не менее	4	3
19	с одной стороны	2	3
20	в этой системе	1	2
21	но он не	1	2
22	и в самом	3	2
23	как и в	2	2
24	в самом деле	7	2
25	в стилистическом отношении	1	2
26	не могло быть	1	2
27	и то же	1	2
28	в отношении к	1	2
29	одно и то	1	2
30	но в то	2	2
31	том числе и	2	2
32	с легкой руки	1	2
33	и в то	1	2
34	в соответствии с	1	2
35	а с другой	1	2
36	том что он	6	2
37	не только не	2	2
38	мы имеем дело	1	2
39	тем или иным	3	2
40	то ни было	1	2
41	к тому что	4	2
42	бы то ни	2	2
43	в известном смысле	1	2
44	ту или иную	1	2
45	в значительной степени	2	2
46	может быть и	2	2
47	что он не	5	1
48	в безударном положении	1	1
49	в той или	1	1
50	мере в какой	3	1
51	в том и	1	1
52	в статье о	3	1
53	принадлежат к числу	1	1
54	иметь в виду	2	1
55	и тем же	2	1
56	вследствие того что	1	1
57	даже сказать что	1	1
58	в той мере	2	1
59	они ни были	1	1
60	он не только	2	1
61	себе отчет в	1	1
62	по крайней мере	2	1
63	но дело в	1	1
64	заключается в том	4	1
65	о том что	19	1
66	то или иное	3	1
67	в том-то и	2	1
68	мы говорим о	1	1
69	бы они ни	1	1
70	в свое время	3	1
71	дело не в	2	1
72	в целом ряде	1	1
73	на себя внимание	1	1
74	обращает на себя	2	1
75	не только к	1	1
76	из этих двух	2	1
77	к одному из	1	1
78	я никогда не	1	1
79	друг от друга	1	1
80	в настоящее время	2	1
81	на вопрос о	3	1
82	при этом и	1	1
83	в одной из	3	1
84	том что она	1	1
85	речь идет не	1	1
86	но у нас	1	1
87	относится не только	1	1
88	с которыми он	2	1
89	в том случае	1	1
90	дело в том	7	1
91	для него не	1	1
92	текста как и	1	1
93	и не могла	1	1
94	в иных случаях	2	1
95	а между тем	2	1
96	следует подчеркнуть что	1	1
97	одним и тем	2	1
98	в то время	2	1
99	в первую очередь	2	1
100	прежде всего к	1	1
101	говорит что он	2	1
102	речь идет о	3	1
103	содержит в себе	1	1
104	в лучшем случае	1	1
105	как раз в	4	1
106	в зависимости от	2	1
107	по тем или	1	1
108	точно так же	2	1
109	так же как	5	1
110	однако и в	1	1
111	в этом случае	3	1
112	а в том	1	1
113	той мере в	2	1
114	можно сказать не	1	1
115	к тому же	2	1
116	и по отношению	1	1
117	же время оно	1	1
118	том что в	4	1
119	в данном отношении	6	1
120	не может сомневаться	1	1
121	языка не может	1	1
122	между тем в	1	1
123	только то что	1	1
124	к особенностям его	1	1
125	как это делает	1	1
126	в таких случаях	1	1
127	имеем перед собой	1	1
128	имея в виду	1	1
129	в виду что	1	1
130	ведь это не	1	1
131	можно даже сказать	1	1
132	имеем дело с	2	1
133	я думаю что	4	1
