N	2gram	Kanaev_Sov	Marksizm
1	точки зрения	12	69
2	может быть	12	64
3	и в	7	63
4	и не	6	55
5	как бы	4	53
6	не может	17	47
7	с точки	5	46
8	и пр	2	42
9	и его	1	41
10	в этом	7	39
11	таким образом	11	38
12	в процессе	1	33
13	как мы	2	32
14	не только	4	29
15	то же	3	28
16	в нем	3	28
17	связи с	1	25
18	самом деле	2	25
19	в самом	2	24
20	как и	6	24
21	прежде всего	5	24
22	только в	1	23
23	и т.п	1	23
24	в том	4	22
25	а не	3	22
26	при этом	3	20
27	так сказать	2	20
28	если мы	4	20
29	не в	3	19
30	если бы	1	19
31	том что	1	19
32	в его	2	19
33	и для	1	18
34	но в	3	18
35	вовсе не	1	18
36	все же	3	17
37	по отношению	1	16
38	ни было	1	16
39	в то	1	16
40	с помощью	4	15
41	во всех	1	15
42	в связи	1	15
43	отнюдь не	3	15
44	же время	1	15
45	отношению к	1	15
46	в данном	1	14
47	так же	1	13
48	речи мы	1	13
49	то ни	2	13
50	что в	2	13
51	не является	1	13
52	было бы	3	13
53	ничего не	6	13
54	мы не	9	13
55	того же	1	12
56	бы то	1	12
57	в результате	6	12
58	он не	1	12
59	а в	4	12
60	к нему	1	11
61	мы уже	1	11
62	и что	2	11
63	и от	1	11
64	до сих	1	11
65	и все	3	11
66	еще не	3	11
67	так как	4	11
68	на самом	1	11
69	все эти	5	11
70	в ней	1	11
71	сих пор	1	11
72	именно в	1	10
73	во всяком	2	10
74	самого начала	3	10
75	с другой	1	10
76	сказать что	1	10
77	к этому	1	10
78	никогда не	1	10
79	в своем	1	10
80	его в	1	10
81	в таком	2	10
82	одна из	3	10
83	в каждом	8	10
84	в большинстве	1	10
85	совершенно не	2	10
86	конечно не	1	10
87	в отличие	2	10
88	с его	1	10
89	здесь в	1	10
90	и потому	3	10
91	с самого	3	10
92	отличие от	2	10
93	быть и	2	9
94	только на	1	9
95	в нашем	2	9
96	точка зрения	1	9
97	в себе	3	9
98	рядом с	1	9
99	и следовательно	1	9
100	и это	1	9
101	мы видели	4	9
102	что это	2	9
103	ни в	1	9
104	не имеет	1	9
105	и более	1	9
106	это не	4	9
107	одной из	1	9
108	и эта	1	9
109	же самое	2	9
110	кроме того	1	8
111	но что	1	8
112	и даже	2	8
113	на этой	3	8
114	настоящее время	2	8
115	в данной	1	8
116	мы знаем	2	8
117	у него	2	8
118	не было	1	8
119	ясно что	3	8
120	мы можем	6	8
121	или же	2	8
122	не будет	1	8
123	к другому	1	8
124	чем же	1	8
125	в свою	2	8
126	в настоящее	2	8
127	с этим	2	8
128	у нас	3	8
129	и их	1	8
130	в науке	2	8
131	и т.д	3	8
132	или иной	2	8
133	и те	1	7
134	свою очередь	2	7
135	он сам	1	7
136	те же	1	7
137	в этой	3	7
138	могут быть	2	7
139	оно может	1	7
140	там где	1	7
141	может стать	1	7
142	по себе	1	7
143	той же	2	7
144	о том	1	7
145	конечно в	2	7
146	в начале	1	7
147	теперь мы	1	6
148	в корне	1	6
149	уже не	2	6
150	одной стороны	1	6
151	в другом	1	6
152	она может	2	6
153	с одной	2	6
154	между ними	1	6
155	из одного	2	6
156	всяком случае	2	6
157	этот вопрос	1	6
158	с ее	1	6
159	зависимости от	4	6
160	ничего общего	1	6
161	не имеют	1	6
162	что же	5	6
163	тем же	2	6
164	тот же	2	6
165	этот процесс	1	6
166	все это	3	6
167	в какой	1	6
168	вопрос о	4	6
169	для нашей	1	6
170	мы должны	4	6
171	из этих	2	6
172	же в	1	6
173	еще более	2	5
174	в одном	3	5
175	нами в	1	5
176	в первом	3	5
177	не менее	2	5
178	по преимуществу	1	5
179	на язык	1	5
180	должно быть	1	5
181	что такое	2	5
182	xix века	1	5
183	все время	1	5
184	жизни в	1	5
185	и у	1	5
186	той или	1	5
187	но как	1	5
188	в конце	3	5
189	вместе с	4	5
190	дело идет	1	5
191	хотя и	1	5
192	точку зрения	4	5
193	этом случае	1	5
194	значение в	2	5
195	или в	1	5
196	но не	1	5
197	в условиях	5	5
198	к одному	1	5
199	она не	1	5
200	одни и	1	5
201	ведь если	1	5
202	конечно совершенно	1	5
203	и к	3	4
204	мы постараемся	1	4
205	какой бы	1	4
206	именно эти	1	4
207	но все	2	4
208	в жизненной	1	4
209	правда и	1	4
210	следующим образом	3	4
211	в зависимости	4	4
212	во всей	1	4
213	из них	4	4
214	она и	1	4
215	несмотря на	1	4
216	что все	2	4
217	не знает	1	4
218	в которой	2	4
219	что она	3	4
220	но для	1	4
221	но ведь	1	4
222	для его	2	4
223	ведь в	1	4
224	не дает	2	4
225	и речи	1	4
226	между двумя	1	4
227	если же	2	4
228	все те	2	4
229	и тот	1	4
230	отвлекаясь от	1	4
231	независимо от	1	4
232	и особенно	1	4
233	лишь там	1	4
234	уже знаем	1	4
235	не могут	2	4
236	со всеми	2	4
237	допустим что	1	4
238	и действительно	1	4
239	можно назвать	2	4
240	и до	1	4
241	нет и	4	4
242	уже в	3	4
243	не будем	2	4
244	это и	1	4
245	как он	3	4
246	стороны и	1	4
247	одного из	1	4
248	жизни и	4	4
249	и прежде	1	4
250	в области	3	4
251	зрения своего	1	3
252	и другую	1	3
253	в своих	1	3
254	форму и	1	3
255	роль в	2	3
256	так в	1	3
257	в дальнейшем	4	3
258	в действительности	1	3
259	в объяснении	1	3
260	в этот	1	3
261	одной и	1	3
262	но они	1	3
263	говорить о	2	3
264	эта система	1	3
265	всегда и	1	3
266	с ним	1	3
267	друг с	2	3
268	в системе	3	3
269	мы видим	2	3
270	все его	1	3
271	от его	1	3
272	здесь нет	1	3
273	тем не	2	3
274	и всюду	1	3
275	в живом	2	3
276	между собой	3	3
277	в живой	1	3
278	ли это	1	3
279	что эта	1	3
280	не приходится	1	3
281	и та	1	3
282	и есть	2	3
283	во втором	1	3
284	почти не	1	3
285	и при	1	3
286	два основных	1	3
287	из которых	2	3
288	можно было	1	3
289	должен был	1	3
290	для каждого	1	3
291	еще в	1	3
292	и они	2	3
293	приводит к	2	3
294	пр но	1	3
295	его и	1	3
296	то он	1	3
297	более и	1	3
298	и той	1	3
299	на этот	2	3
300	он может	3	3
301	но если	1	3
302	является только	1	3
303	но это	1	3
304	они не	1	3
305	себя самого	1	3
306	ведь это	3	3
307	в ту	1	3
308	говорить об	2	3
309	один и	1	3
310	только и	1	3
311	с другом	2	3
312	в виде	2	3
313	должен быть	1	3
314	и вообще	1	3
315	мысли в	1	3
316	на них	1	3
317	и по	2	3
318	этих двух	2	3
319	человека в	1	3
320	каждый раз	6	3
321	или как	1	3
322	благодаря этому	1	3
323	все более	1	3
324	и только	1	3
325	как целого	1	3
326	в целом	4	3
327	и тогда	1	3
328	мы это	1	2
329	наблюдения и	2	2
330	из всех	1	2
331	это значит	1	2
332	этом направлении	1	2
333	в духе	1	2
334	ведь ясно	1	2
335	их в	4	2
336	всю эту	1	2
337	отличается от	3	2
338	диалектического материализма	1	2
339	его возможных	1	2
340	и подходы	1	2
341	почти совершенно	1	2
342	не что	1	2
343	можем сказать	1	2
344	бы ее	1	2
345	этой системы	1	2
346	крайней мере	1	2
347	своего развития	1	2
348	и во	2	2
349	видели что	3	2
350	имеют место	1	2
351	же они	1	2
352	она в	1	2
353	быть в	1	2
354	его значения	1	2
355	для них	1	2
356	организма в	1	2
357	что его	1	2
358	остается подвести	1	2
359	по аналогии	1	2
360	конечно нельзя	1	2
361	эти три	1	2
362	и именно	2	2
363	же как	1	2
364	зрения и	1	2
365	реальный момент	2	2
366	но можно	1	2
367	бы к	1	2
368	самый вопрос	2	2
369	совсем не	1	2
370	уже к	1	2
371	общего не	1	2
372	но только	1	2
373	этом смысле	1	2
374	в новое	1	2
375	совершенно независимо	1	2
376	сравнительно с	1	2
377	когда мы	3	2
378	тот или	2	2
379	это делает	1	2
380	же мы	2	2
381	осуществляется только	1	2
382	а потому	1	2
383	та же	1	2
384	опирается на	1	2
385	всеми ее	1	2
386	в самый	1	2
387	организма с	5	2
388	всей совокупности	1	2
389	поэтому в	1	2
390	от общего	1	2
391	сами по	1	2
392	ни о	1	2
393	общий характер	1	2
394	времени не	1	2
395	и соответственно	1	2
396	явлений и	1	2
397	направление в	1	2
398	нет в	1	2
399	по крайней	1	2
400	и если	1	2
401	формы с	1	2
402	исходным пунктом	1	2
403	и вся	1	2
404	мы получим	3	2
405	в совершенно	1	2
406	на которые	1	2
407	собой но	1	2
408	он должен	2	2
409	жизни но	1	2
410	различна степень	1	2
411	данном случае	1	2
412	одна и	1	2
413	будет ли	1	2
414	что с	1	2
415	и всегда	1	2
416	его осуществления	1	2
417	а все	3	2
418	иметь место	1	2
419	xviii и	1	2
420	который как	2	2
421	системе в	1	2
422	она по	1	2
423	и могут	1	2
424	по его	1	2
425	но уже	1	2
426	пока не	1	2
427	на его	2	2
428	чрезвычайно плохо	1	2
429	они все	1	2
430	искать в	1	2
431	принадлежит только	1	2
432	например у	1	2
433	и ни	1	2
434	внешнего опыта	1	2
435	вторая половина	2	2
436	конечно нет	1	2
437	подвести итоги	1	2
438	идет о	1	2
439	как их	1	2
440	иное как	1	2
441	и наконец	5	2
442	без помощи	1	2
443	что один	1	1
444	потому совершенно	1	1
445	стать в	1	1
446	основное направление	1	1
447	можно говорить	1	1
448	в постановке	1	1
449	момент времени	3	1
450	этого направления	1	1
451	может ведь	1	1
452	с двух	1	1
453	почти у	1	1
454	ровно ничего	1	1
455	условий в	1	1
456	случае не	1	1
457	с необходимостью	3	1
458	в следующих	1	1
459	или нет	1	1
460	рядом и	1	1
461	в некоторых	2	1
462	но тем	1	1
463	далее что	1	1
464	может развиться	1	1
465	методологическая сторона	1	1
466	говорить что	1	1
467	и само	1	1
468	ценность и	1	1
469	где много	1	1
470	в предыдущей	1	1
471	является очень	1	1
472	на которых	1	1
473	новое время	1	1
474	из двух	3	1
475	ни одна	2	1
476	равно как	1	1
477	результате мы	1	1
478	главе мы	1	1
479	и им	1	1
480	представление о	1	1
481	конечном счете	1	1
482	организма для	1	1
483	развития но	2	1
484	нашего знания	1	1
485	обоих случаях	1	1
486	на эту	1	1
487	но очень	2	1
488	европе являются	1	1
489	собою разумеется	2	1
490	в природе	1	1
491	может дать	2	1
492	когда в	1	1
493	свою собственную	2	1
494	играть в	1	1
495	если уже	1	1
496	и нет	1	1
497	и внутренний	1	1
498	влечет за	1	1
499	самый тип	1	1
500	что сказать	1	1
501	при определенных	1	1
502	биолог и	1	1
503	этим мы	3	1
504	при условии	1	1
505	нельзя нельзя	1	1
506	осуществляется в	1	1
507	на части	1	1
508	объективная действительность	1	1
509	которой он	2	1
510	раз и	1	1
511	это последнее	1	1
512	ничто не	1	1
513	должно произойти	2	1
514	можем назвать	3	1
515	в два	3	1
516	что вся	1	1
517	еще следующее	1	1
518	путь для	1	1
519	увидим что	1	1
520	углом зрения	1	1
521	одна возможность	2	1
522	отметить что	1	1
523	природы но	1	1
524	и принципиального	1	1
525	два направления	1	1
526	на ней	1	1
527	друг на	1	1
528	лишено всякой	1	1
529	ни одного	1	1
530	внутреннего опыта	1	1
531	и еще	1	1
532	позволит нам	1	1
533	жизни как	1	1
534	организма но	1	1
535	в основу	1	1
536	конечно во	1	1
537	к которому	1	1
538	мы конечно	1	1
539	на котором	2	1
540	вопрос и	1	1
541	но самый	1	1
542	нашей науки	1	1
543	в заключение	1	1
544	вся эта	1	1
545	очень распространенной	1	1
546	которую можно	1	1
547	несколько слов	1	1
548	при втором	1	1
549	только не	1	1
550	каждый элемент	1	1
551	эта перемена	1	1
552	и мы	3	1
553	мертвой природы	2	1
554	но отнюдь	1	1
555	такого рода	2	1
556	не стремится	1	1
557	как нет	1	1
558	подчеркнуть что	1	1
559	не соответствует	1	1
560	состояния в	1	1
561	в третьем	2	1
562	научной работы	1	1
563	и развития	1	1
564	не опирается	1	1
565	в конечном	1	1
566	наличны в	1	1
567	например при	1	1
568	к чему	2	1
569	главного представителя	1	1
