N	4gram	Tiupa_Hudo	Marksizm
1	в то же время	11	15
2	но в то же	3	9
3	на самом же деле	1	5
4	в том что он	1	4
5	с одной стороны и	1	3
6	все более и более	1	3
7	в связи с этим	2	3
8	в том числе и	1	3
9	одна и та же	1	2
10	так же как и	1	2
11	сводится к тому что	1	2
12	несмотря на то что	1	2
13	литературе в связи с	1	1
14	едва ли может быть	1	1
15	с этой точки зрения	1	1
16	но тем не менее	2	1
17	которым можно было бы	2	1
18	и в этом случае	1	1
19	к себе самому и	1	1
20	является не чем иным	1	1
21	он не знает ни	1	1
22	между собой не связанных	1	1
23	же время это и	1	1
24	прежде всего в том	1	1
25	то же самое что	2	1
26	в гораздо большей степени	1	1
27	дело в том что	1	1
28	и по отношению к	1	1
29	всего в том что	1	1
30	между автором и героем	1	1
31	не чем иным как	1	1
32	то же время это	1	1
33	в этом случае с	1	1
34	позиции по отношению к	1	1
35	в самом деле в	1	1
36	на самом деле в	1	1
37	не имеют никакого отношения	1	1
38	приводит к тому что	2	1
39	а в иных случаях	1	1
40	и тот и другой	1	1
41	в первом случае мысль	1	1
