N	4gram	Bakhtin_sl	formyVre
1	в то же время	15	18
2	и в то же	6	8
3	как мы уже сказали	3	6
4	как мы уже говорили	1	6
5	с одной стороны и	2	5
6	в том числе и	1	5
7	мы имеем в виду	1	5
8	одно и то же	2	5
9	в то время как	2	4
10	в той или иной	12	3
11	и т п но	2	3
12	ни в чем не	1	3
13	можно прямо сказать что	2	3
14	с точки зрения не	1	3
15	каковы бы ни были	1	3
16	в средние века и	1	3
17	но в то же	6	3
18	не может войти в	1	2
19	и в этом случае	2	2
20	по самому своему существу	1	2
21	не может быть конечно	1	2
22	только и не столько	1	2
23	все более и более	1	2
24	дело в том что	1	2
25	и т п все	1	2
26	и т п в	2	2
27	в пространстве и времени	1	2
28	не только и не	1	2
29	той или иной степени	12	2
30	бы она ни была	1	2
31	в узком смысле слова	1	2
32	а также и в	1	2
33	никогда не может быть	2	1
34	именно в том что	1	1
35	с этой точки зрения	1	1
36	то же время он	1	1
37	мы наблюдаем те же	1	1
38	в том что в	1	1
39	в зоне контакта с	1	1
40	одной из них у	1	1
41	то есть без всяких	1	1
42	и прежде всего в	1	1
43	и связанных с ним	1	1
44	не выходит за пределы	3	1
45	в точном смысле слова	1	1
46	быть более или менее	1	1
47	не значит конечно что	2	1
48	рядом друг с другом	1	1
49	во всех этих формах	1	1
50	и т п то	1	1
51	даже там где они	1	1
52	же в значительной степени	1	1
53	одной и той же	1	1
54	жанровых разновидностей европейского романа	1	1
55	которых мы говорили в	1	1
56	оно не сливается с	1	1
57	так и вне его	2	1
58	их удельный вес в	1	1
59	но оно не могло	1	1
60	оно не может быть	1	1
61	средние века и в	1	1
62	более глубокое и существенное	1	1
63	бы они ни были	1	1
64	точки зрения на мир	3	1
65	это не значит конечно	2	1
66	том что он не	1	1
67	с другой стороны эти	1	1
68	до конца не преодолевается	1	1
69	или во всяком случае	2	1
70	как бы ни были	1	1
71	с точки зрения которого	1	1
72	и т п на	1	1
73	такие типы и разновидности	1	1
74	точка зрения на мир	2	1
75	приобретает новый смысл и	1	1
76	всегда включает в себя	1	1
77	в том что он	1	1
78	он как мы уже	1	1
79	но во всяком случае	1	1
80	быть тем чем они	1	1
81	в прямой авторской речи	1	1
82	т п но все	1	1
83	и т п если	1	1
84	во всех своих моментах	1	1
85	и с точки зрения	1	1
86	каковы бы они ни	1	1
87	тем чем они были	1	1
88	во всех этих случаях	1	1
89	о которых мы говорили	2	1
90	до сих пор не	2	1
91	в широком смысле но	1	1
92	все снова и снова	1	1
