N	2gram	Propp_Isto	Sovremen
1	не может	8	17
2	может быть	22	12
3	точки зрения	3	12
4	таким образом	15	11
5	мы не	3	9
6	в этом	25	7
7	и в	43	7
8	не можем	2	7
9	мы можем	10	6
10	только одна	3	6
11	как и	9	6
12	ничего не	12	6
13	и не	16	6
14	с точки	1	5
15	прежде всего	3	5
16	что же	2	5
17	все эти	8	5
18	и наконец	1	5
19	в дальнейшем	8	4
20	а в	13	4
21	так как	13	4
22	вопрос о	4	4
23	это не	10	4
24	не только	28	4
25	мы должны	9	4
26	с помощью	1	4
27	как бы	5	4
28	нет и	1	4
29	в зависимости	1	4
30	их в	6	4
31	жизни и	2	4
32	вместе с	12	4
33	в целом	4	4
34	же это	1	4
35	в том	13	4
36	зависимости от	1	4
37	из них	7	4
38	мы видели	18	4
39	и к	4	3
40	и потому	2	3
41	видели что	8	3
42	на этой	2	3
43	этим мы	1	3
44	с самого	1	3
45	когда мы	1	3
46	уже в	1	3
47	то же	11	3
48	при этом	4	3
49	не в	9	3
50	а не	13	3
51	в системе	1	3
52	для нас	6	3
53	все это	4	3
54	мы получим	1	3
55	как он	1	3
56	в одном	9	3
57	у нас	7	3
58	самого начала	1	3
59	в наших	2	3
60	было бы	5	3
61	в этой	7	3
62	он в	3	3
63	и все	4	3
64	в себе	2	3
65	следующим образом	3	3
66	ясно что	2	3
67	что она	8	3
68	одна из	2	3
69	состоит из	1	3
70	все же	13	3
71	при таком	1	3
72	в области	1	3
73	отличается от	1	3
74	между собой	2	3
75	отнюдь не	1	3
76	в нем	11	3
77	но мы	1	3
78	но в	15	3
79	еще не	15	3
80	с этим	13	2
81	что в	29	2
82	этих двух	2	2
83	тем не	6	2
84	в самом	1	2
85	дает нам	3	2
86	совершенно не	2	2
87	мы видим	15	2
88	и что	6	2
89	друг с	2	2
90	которой он	3	2
91	ее на	1	2
92	и пр	19	2
93	то и	7	2
94	о значении	1	2
95	с одной	2	2
96	это за	1	2
97	такого рода	1	2
98	в свою	5	2
99	из этих	5	2
100	в его	7	2
101	во всяком	2	2
102	не будем	6	2
103	мы знаем	11	2
104	не дает	3	2
105	еще более	3	2
106	от явлений	1	2
107	что это	4	2
108	или же	2	2
109	что при	3	2
110	через некоторое	2	2
111	быть и	3	2
112	в некоторых	9	2
113	по мнению	1	2
114	из которых	1	2
115	что такое	1	2
116	если же	2	2
117	говорить о	1	2
118	на его	5	2
119	в науке	1	2
120	все те	2	2
121	у него	4	2
122	для его	1	2
123	в виде	2	2
124	со всеми	1	2
125	а на	5	2
126	свою очередь	1	2
127	и даже	4	2
128	самом деле	1	2
129	в которой	1	2
130	но все	5	2
131	явления на	1	2
132	некоторое время	4	2
133	ни одна	1	2
134	к чему	2	2
135	же самое	1	2
136	как мы	11	2
137	она может	2	2
138	и во	1	2
139	той же	3	2
140	могут быть	9	2
141	в таком	1	2
142	уже не	11	2
143	и есть	3	2
144	и они	4	2
145	на этот	1	2
146	такой же	3	2
147	на этом	5	2
148	но очень	1	2
149	роль в	2	2
150	не менее	6	2
151	же мы	2	2
152	приводит к	1	2
153	и по	6	2
154	из четырех	1	2
155	в и	1	2
156	на котором	2	2
157	форма в	1	2
158	с другом	2	2
159	свою собственную	1	2
160	в один	1	2
161	известных нам	1	2
162	каждого из	1	2
163	знаем что	9	2
164	тот же	2	2
165	всяком случае	2	2
166	он должен	3	2
167	во всех	1	1
168	можно наблюдать	1	1
169	все они	1	1
170	только одно	1	1
171	к началу	1	1
172	которые в	1	1
173	к которому	6	1
174	именно к	1	1
175	это и	4	1
176	его и	6	1
177	этом случае	8	1
178	только не	2	1
179	но можно	1	1
180	искать в	1	1
181	то он	1	1
182	человека в	2	1
183	но как	2	1
184	то они	1	1
185	чем же	1	1
186	в данном	7	1
187	это конечно	1	1
188	до сих	7	1
189	только к	1	1
190	все его	1	1
191	он уже	2	1
192	и более	3	1
193	не доказывают	1	1
194	считая что	1	1
195	все три	2	1
196	действия в	1	1
197	через несколько	1	1
198	от его	1	1
199	есть такой	1	1
200	что иное	6	1
201	видим что	7	1
202	данном случае	6	1
203	в очень	2	1
204	в какой-нибудь	1	1
205	к вечеру	1	1
206	ли это	2	1
207	не имеют	2	1
208	связи с	9	1
209	этот процесс	1	1
210	и эту	1	1
211	очень часто	4	1
212	указать на	4	1
213	мы уже	9	1
214	такую же	1	1
215	человек и	1	1
216	же этот	1	1
217	его с	2	1
218	же процесс	1	1
219	она не	4	1
220	в течение	6	1
221	на ее	1	1
222	чтобы он	3	1
223	она в	1	1
224	но еще	1	1
225	ним и	1	1
226	одной стороны	2	1
227	на другой	3	1
228	это то	1	1
229	она всегда	2	1
230	но такая	1	1
231	мы имеем	24	1
232	и у	6	1
233	быть в	1	1
234	если у	1	1
235	в другом	11	1
236	а из	1	1
237	смысле то	1	1
238	несмотря на	1	1
239	это только	2	1
240	может выполнять	1	1
241	в ней	3	1
242	которых он	1	1
243	из всех	1	1
244	на ней	5	1
245	поэтому совершенно	1	1
246	уже к	1	1
247	что эта	2	1
248	мы опять	2	1
249	человека как	1	1
250	это значит	1	1
251	формы с	2	1
252	хотя и	4	1
253	человек с	1	1
254	с другой	10	1
255	в этот	6	1
256	с ним	1	1
257	она уже	2	1
258	это уже	3	1
259	на которых	2	1
260	что вся	1	1
261	он не	11	1
262	кроме того	1	1
263	и той	2	1
264	не соответствует	1	1
265	будет ли	1	1
266	одной и	2	1
267	оно касается	1	1
268	но тем	2	1
269	не будет	1	1
270	она дает	1	1
271	те же	2	1
272	между двумя	6	1
273	которому они	1	1
274	между ним	1	1
275	что дело	2	1
276	роль которую	3	1
277	а затем	6	1
278	в область	1	1
279	как у	2	1
280	увидим что	2	1
281	эта сторона	2	1
282	только на	2	1
283	но они	2	1
284	пока не	3	1
285	и их	4	1
286	на некотором	1	1
287	всего мы	1	1
288	остановиться на	1	1
289	все что	4	1
290	и та	1	1
291	для объяснения	1	1
292	и при	2	1
293	это или	1	1
294	узнаем здесь	1	1
295	на самом	2	1
296	здесь в	2	1
297	на которой	3	1
298	только тот	1	1
299	самое что	1	1
300	что каждый	1	1
301	для них	3	1
302	совершенно так	4	1
303	можно было	3	1
304	и должно	1	1
305	xix века	1	1
306	и наиболее	1	1
307	ни в	2	1
308	случае он	1	1
309	а при	1	1
310	и от	3	1
311	в начале	2	1
312	нами в	1	1
313	его таким	1	1
314	по отношению	2	1
315	значении в	1	1
316	сторона дела	1	1
317	стороны и	3	1
318	конечно не	3	1
319	и ничего	1	1
320	и тот	3	1
321	и те	1	1
322	только в	8	1
323	вообще на	1	1
324	в совершенно	1	1
325	которая не	1	1
326	этот вопрос	3	1
327	все равно	3	1
328	и может	1	1
329	видим не	1	1
330	не случайно	2	1
331	в ином	6	1
332	так же	16	1
333	которых она	1	1
334	его в	7	1
335	то она	2	1
336	может играть	1	1
337	в обоих	1	1
338	нам важен	1	1
339	себе в	2	1
340	в большинстве	2	1
341	должен был	5	1
342	сравнительно с	1	1
343	чем в	1	1
344	в своих	1	1
345	часто встречающееся	2	1
346	не было	2	1
347	с его	1	1
348	предполагается что	1	1
349	позже чем	1	1
350	один из	7	1
351	силу и	2	1
352	на это	4	1
353	если бы	7	1
354	существенно отличается	1	1
355	и несколько	1	1
356	не знает	2	1
357	или в	14	1
358	этой системы	2	1
359	становится его	2	1
360	этого не	1	1
361	очень мало	1	1
362	ничего общего	1	1
363	это означало	2	1
364	из приведенных	3	1
365	равно как	3	1
366	к одному	1	1
367	их и	4	1
368	что его	2	1
369	в гости	1	1
370	в эту	1	1
371	но эта	2	1
372	сами по	1	1
373	одного из	2	1
374	же как	8	1
375	главе мы	3	1
376	по существу	3	1
377	сказать что	5	1
378	носят название	1	1
379	и эта	1	1
380	форму и	1	1
381	почему и	1	1
382	но для	2	1
383	таких случаев	1	1
384	именно в	1	1
385	уже на	3	1
386	затем он	1	1
387	законов но	1	1
388	и действительно	5	1
389	такое же	4	1
390	и до	1	1
391	но никогда	1	1
392	представление о	3	1
393	это делает	2	1
394	мы это	2	1
395	принадлежит и	1	1
396	другую сторону	2	1
397	отношению к	2	1
398	как нет	2	1
399	одной из	1	1
400	встречающееся в	2	1
401	этого можно	1	1
402	случае не	1	1
403	в своем	2	1
404	в корне	1	1
405	она и	1	1
406	уже знаем	3	1
407	может оказаться	1	1
408	в связи	5	1
409	означало бы	2	1
410	данное явление	1	1
411	всей ситуации	1	1
412	между ними	1	1
413	мы будем	1	1
414	одном случае	5	1
415	конечно совершенно	1	1
416	них они	1	1
417	может стать	1	1
418	же в	6	1
419	том что	12	1
420	и производит	1	1
421	такой вопрос	1	1
422	обоих случаях	1	1
423	в мире	1	1
424	и прежде	1	1
425	нельзя говорить	1	1
426	на эту	1	1
427	это просто	1	1
428	дома и	4	1
429	но не	10	1
430	так в	8	1
431	нельзя сказать	1	1
432	но этим	1	1
433	вступила в	1	1
434	но если	2	1
435	здесь и	2	1
436	они не	4	1
437	правда не	1	1
438	по себе	3	1
439	он сам	2	1
440	направление в	1	1
441	не имеет	3	1
442	и путем	1	1
443	и могут	1	1
444	к этому	10	1
445	в такой	1	1
446	там где	8	1
447	в то	2	1
448	и только	6	1
449	функций в	1	1
450	это совершенно	1	1
451	именно эта	1	1
452	и следовательно	1	1
453	или нет	2	1
454	нет никаких	2	1
455	но это	5	1
456	для чего	1	1
457	независимо от	3	1
458	оно имеет	1	1
459	но уже	1	1
460	и для	3	1
461	вопрос и	1	1
462	с ее	2	1
463	но самый	1	1
464	не из	1	1
465	таким же	5	1
466	не что	6	1
467	и это	5	1
468	все время	2	1
469	пр но	1	1
470	и если	3	1
471	но часто	2	1
472	это увидим	2	1
473	должен быть	1	1
474	на части	1	1
475	и его	10	1
476	и становится	2	1
477	ее действия	1	1
478	вовсе не	3	1
479	о том	4	1
480	сих пор	7	1
481	есть не	2	1
482	быть поставлен	3	1
483	мы проследим	1	1
484	образом на	2	1
485	играть в	1	1
486	иное как	6	1
487	см и	2	1
488	к другому	1	1
489	но конечно	2	1
490	человека и	1	1
491	к нему	12	1
492	никогда не	9	1
493	на них	2	1
494	могли быть	1	1
