N	3gram	Propp_Russ	VeschiIm
1	и т д	12	38
2	не может быть	1	24
3	не что иное	3	12
4	что иное как	3	12
5	т д и	1	11
6	тем не менее	3	11
7	в том что	27	9
8	на то что	2	7
9	т е в	6	7
10	с точки зрения	3	6
11	и не только	1	6
12	в свою очередь	2	5
13	не потому что	1	5
14	подобно тому как	3	5
15	не только в	1	5
16	т е не	1	5
17	то время как	1	4
18	в то время	3	4
19	более или менее	1	4
20	те или другие	1	4
21	о том что	6	4
22	это и есть	1	4
23	потому что они	1	4
24	мы видели что	1	3
25	вместе с тем	10	3
26	можно сказать что	1	3
27	все же не	2	3
28	из того что	1	3
29	мы не можем	5	3
30	можно было бы	2	3
31	так что в	1	3
32	в собственном смысле	1	3
33	не может не	1	3
34	с одной стороны	1	3
35	же т е	1	3
36	так же как	5	2
37	в одном и	1	2
38	а так как	1	2
39	в применении к	1	2
40	мы видим что	1	2
41	в данном случае	7	2
42	в том чтобы	2	2
43	т е на	2	2
44	у нас в	1	2
45	главным образом на	1	2
46	а следовательно и	1	2
47	только о том	1	2
48	для того чтобы	6	2
49	друг с другом	1	2
50	не было ни	1	2
51	что мы имеем	1	2
52	и таким образом	1	2
53	не может считаться	1	2
54	можно говорить о	1	2
55	в связи с	4	2
56	к тому что	4	2
57	но все же	2	2
58	во всяком случае	1	2
59	в этом отношении	1	2
60	вопрос о том	1	2
61	и в этом	2	2
62	только тогда когда	3	2
63	в этом и	1	2
64	и в и	1	2
65	быть не может	1	1
66	того чтобы обеспечить	1	1
67	и у нас	2	1
68	же корень что	1	1
69	и как бы	1	1
70	это не значит	2	1
71	как будто бы	1	1
72	и потому что	2	1
73	и том же	1	1
74	том что это	2	1
75	т д а	1	1
76	на том основании	1	1
77	никак не может	1	1
78	еще и в	1	1
79	есть один из	1	1
80	этого вопроса в	1	1
81	только одна из	1	1
82	но и в	1	1
83	так как по	1	1
84	основных направлений в	1	1
85	одна из основных	1	1
86	как мы знаем	1	1
87	же она не	1	1
88	и несмотря на	1	1
89	быть потому что	1	1
90	для него не	1	1
91	что и сама	1	1
92	в одно целое	1	1
93	того или другого	1	1
94	же отличаются от	1	1
95	в себе и	1	1
96	тот же корень	1	1
97	что не только	1	1
98	то что в	1	1
99	перед нами как	1	1
100	не значит что	2	1
101	т е очень	1	1
102	что и в	1	1
103	потому что она	1	1
104	независимо от того	1	1
105	так чтобы они	1	1
106	решить вопрос о	2	1
107	свое внимание на	1	1
108	говорит о том	1	1
109	и пр и	1	1
110	брать на себя	1	1
111	на этом основании	1	1
112	они состоят из	1	1
113	и один из	1	1
114	остановиться несколько подробнее	1	1
115	и то и	1	1
116	слово для обозначения	1	1
117	что было в	1	1
118	картину исторического развития	1	1
119	из них в	1	1
120	одного и того	1	1
121	же а не	1	1
122	тому как в	1	1
123	и другие виды	1	1
124	о том кто	1	1
125	потому что он	2	1
126	очень много и	1	1
127	т е как	1	1
128	один из самых	1	1
129	по меньшей мере	1	1
130	очень интересный и	1	1
131	как мы видим	1	1
132	один из основных	1	1
133	только потому что	1	1
134	не только потому	1	1
135	т е путем	1	1
136	и того же	1	1
137	в этом случае	9	1
138	все эти случаи	1	1
139	в научной литературе	1	1
140	от жизни и	1	1
141	стоит в связи	2	1
142	у него нет	1	1
143	не дает права	1	1
144	с тем что	1	1
145	и этого мало	1	1
146	живой человек на	1	1
147	самом же деле	2	1
148	то что ему	1	1
149	несмотря на все	1	1
150	на самом же	2	1
151	оно все же	1	1
152	в этой связи	1	1
153	в свете того	1	1
154	одном и том	1	1
155	е в данном	1	1
156	по его мнению	1	1
157	но так как	1	1
158	может быть и	3	1
