N	3gram	Losev_Dial	FransuaR
1	то же время	8	55
2	в то же	7	55
3	мы уже говорили	1	43
4	в том что	12	27
5	до сих пор	4	27
6	с точки зрения	18	20
7	но в то	1	20
8	в этом отношении	2	20
9	для того чтобы	1	17
10	о том что	6	17
11	в связи с	3	16
12	большей или меньшей	1	16
13	но и в	1	15
14	не может быть	4	13
15	дело в том	1	13
16	с одной стороны	3	13
17	на самом деле	3	13
18	и в то	3	12
19	с другой стороны	7	12
20	как и все	1	11
21	можно сказать что	6	11
22	в той или	3	10
23	самом же деле	2	10
24	таким образом и	1	10
25	той или иной	4	10
26	на самом же	2	10
27	в данном случае	1	10
28	в конце концов	4	10
29	не только в	2	10
30	до известной степени	1	9
31	более или менее	5	8
32	в самом деле	3	7
33	в то время	2	7
34	в чем же	1	7
35	можно было бы	4	7
36	это конечно не	2	7
37	подобно тому как	1	7
38	во всех этих	1	7
39	о чем мы	1	6
40	к тому же	2	6
41	и в особенности	1	6
42	но все же	2	6
43	и до сих	1	6
44	в новое время	1	6
45	с самого начала	2	6
46	и в литературе	1	6
47	одной стороны и	3	5
48	друг с другом	2	5
49	то же самое	3	5
50	со всеми его	1	5
51	по сравнению с	2	5
52	но все это	2	5
53	не было ни	1	5
54	и в частности	4	5
55	во всяком случае	3	5
56	и все образы	1	5
57	прежде всего необходимо	2	5
58	потому что он	5	5
59	друг в друга	1	5
60	только то что	6	5
61	в это время	1	5
62	как раз в	1	5
63	это и есть	3	5
64	и вовсе не	1	5
65	том что в	1	4
66	и той же	1	4
67	но даже и	1	4
68	сказать что в	1	4
69	по своему существу	1	4
70	не нуждается в	6	4
71	и даже в	3	4
72	связи с этим	2	4
73	так же как	1	4
74	и то что	1	4
75	как мы увидим	1	4
76	в нем и	2	4
77	что и в	1	4
78	вовсе не в	3	4
79	может быть и	6	4
80	одной и той	1	4
81	как раз и	1	4
82	это вовсе не	2	4
83	и не может	1	4
84	мы находим в	2	4
85	в сущности это	1	4
86	это уже не	1	4
87	и в них	1	4
88	и как бы	1	3
89	и ни на	2	3
90	можно судить о	1	3
91	друг от друга	1	3
92	и даже больше	2	3
93	и в отношении	1	3
94	в одном месте	1	3
95	можно говорить о	1	3
96	они вовсе не	2	3
97	видно что в	1	3
98	но это не	2	3
99	всего того что	1	3
100	вместе с тем	1	3
101	в себе и	1	3
102	как один из	2	3
103	несколько слов об	1	3
104	все же не	1	3
105	содержит в себе	5	3
106	как бы ни	2	3
107	ровно ничего не	3	3
108	что все это	1	3
109	в этом смысле	4	3
110	имеется в виду	3	3
111	тела как бы	1	3
112	исторических лиц и	1	3
113	те и другие	1	3
114	тех или иных	1	3
115	и не в	1	3
116	есть не что	3	3
117	и в том	1	3
118	в разной степени	2	3
119	и в этом	4	3
120	в обычной жизни	1	3
121	не что иное	4	3
122	так как они	1	3
123	но как раз	1	3
124	что в нем	4	3
125	в нем есть	6	3
126	что иное как	4	3
127	в узком и	1	3
128	может быть в	2	2
129	она никогда не	1	2
130	в частности к	1	2
131	точка зрения на	1	2
132	мы уже знаем	4	2
133	мы все время	1	2
134	и в другом	1	2
135	в коем случае	1	2
136	с ним в	1	2
137	потому что она	3	2
138	дело вовсе не	1	2
139	сам по себе	8	2
140	не потому что	5	2
141	уже знаем что	2	2
142	и вместе с	1	2
143	но также и	1	2
144	другой стороны в	1	2
145	что в основе	1	2
146	но мы уже	2	2
147	что это не	1	2
148	и с другой	2	2
149	в нем нет	3	2
150	из того что	1	2
151	имея в виду	1	2
152	есть и в	1	2
153	то что он	1	2
154	и может быть	3	2
155	в том чтобы	1	2
156	так как он	2	2
157	ступени своего развития	1	2
158	в тех или	2	2
159	мы будем говорить	1	2
160	на этом моменте	1	2
161	реальном пространстве и	1	2
162	и все его	1	2
163	так и его	1	2
164	главным образом в	1	2
165	никто не может	1	2
166	хотя бы в	1	2
167	не могут быть	1	2
168	можем судить о	1	2
169	никогда не может	2	2
170	но от этого	1	2
171	в литературе как	1	2
172	новые и новые	1	2
173	в полной мере	1	2
174	уже в древнейших	1	2
175	том или ином	1	2
176	можем сказать что	3	2
177	сих пор не	1	2
178	не отвлеченная мысль	1	2
179	и есть то	1	2
180	все новые и	1	2
181	может быть только	2	2
182	все более и	1	2
183	и не только	4	2
184	мы можем сказать	3	2
185	ни в коем	1	2
186	это не просто	1	2
187	если она и	1	2
188	мы сказали что	1	2
189	а именно в	1	2
190	заметить что в	1	2
191	только тогда когда	4	2
192	вещей домашнего обихода	1	2
193	и в нем	3	2
194	мы уже не	1	2
195	ничего общего с	3	2
196	со всеми ее	1	2
197	более и более	1	2
198	ни на что	3	2
199	того как он	1	2
200	и та же	5	2
201	и с точки	1	2
202	на что не	3	2
