N	2gram	Tiupa_Teor	Vvedenie
1	в том	20	38
2	в этом	12	35
3	и в	24	35
4	может быть	22	30
5	том что	11	30
6	не только	24	26
7	для того	5	23
8	того чтобы	5	22
9	таким образом	3	21
10	также и	1	20
11	не может	8	19
12	то что	6	19
13	потому что	3	18
14	только в	9	16
15	со стороны	6	16
16	о том	2	16
17	так как	1	15
18	языка и	1	15
19	представляет собой	13	14
20	что в	10	13
21	в самом	7	13
22	и не	17	13
23	в нем	7	13
24	в его	12	12
25	того что	5	12
26	в их	4	12
27	точки зрения	11	12
28	что такое	2	12
29	то же	12	11
30	в ее	6	11
31	по себе	2	11
32	в данном	9	11
33	этом смысле	3	11
34	как мы	1	11
35	прежде всего	3	10
36	не в	9	10
37	вопрос о	1	10
38	между тем	5	10
39	в той	2	10
40	но в	12	10
41	как об	1	9
42	дело с	1	9
43	представляют собой	1	9
44	тем не	3	9
45	все же	1	9
46	из этих	3	9
47	но не	13	9
48	и как	3	9
49	не менее	6	9
50	в истории	1	9
51	это не	4	8
52	в качестве	33	8
53	именно в	3	8
54	о котором	1	8
55	а только	4	8
56	можно было	1	8
57	с другой	9	8
58	представить себе	1	7
59	и то	3	7
60	в широком	1	7
61	как и	6	7
62	самом деле	2	7
63	но и	14	7
64	было бы	1	7
65	как бы	8	7
66	той мере	1	6
67	один из	2	6
68	на вопрос	2	6
69	об этом	2	6
70	этом случае	1	6
71	все это	2	6
72	не могут	2	6
73	его в	4	6
74	тем что	1	6
75	с тем	1	6
76	в какой	2	6
77	а именно	3	6
78	вместе с	2	6
79	же время	8	6
80	и это	2	6
81	вовсе не	3	6
82	уже не	6	6
83	мере в	1	6
84	и даже	2	6
85	нельзя не	1	6
86	каждой из	1	6
87	и что	4	6
88	сказать что	4	6
89	могут быть	5	6
90	но если	1	6
91	и его	11	6
92	в то	9	6
93	а в	15	6
94	культуры как	1	6
95	иное как	1	6
96	на почве	5	5
97	с этой	3	5
98	хотя и	4	5
99	что и	2	5
100	в виду	5	5
101	другой стороны	6	5
102	с их	2	5
103	в них	2	5
104	но с	1	5
