N	2gram	Losev_Vesc	Literetu
1	а не	34	50
2	и не	57	47
3	не только	48	46
4	и в	44	44
5	может быть	37	43
6	при этом	1	41
7	но и	19	41
8	тогда как	3	40
9	в том	15	39
10	в этом	17	38
11	том что	13	32
12	в частности	3	30
13	то что	47	29
14	в качестве	4	27
15	то же	12	26
16	как и	15	23
17	в то	11	23
18	себя в	11	22
19	не в	14	22
20	того что	16	22
21	так и	4	22
22	не может	44	22
23	я и	8	21
24	же время	4	21
25	в себе	23	20
26	я в	3	19
27	прежде всего	17	19
28	как бы	19	18
29	с другой	8	17
30	точки зрения	10	17
31	то есть	2	17
32	в его	5	17
33	в жизни	5	16
34	в этой	4	16
35	не менее	11	15
36	я не	7	15
37	только в	23	15
38	со стороны	9	15
39	тем самым	2	15
40	в целом	3	15
41	и даже	12	14
42	однако в	3	14
43	что он	7	14
44	уже не	15	13
45	в своем	9	13
46	с одной	3	13
47	как это	4	13
48	но не	9	13
49	и его	4	13
50	в своей	6	12
51	о том	11	12
52	в данном	6	12
53	одной стороны	3	12
54	к себе	4	12
55	одним из	1	12
56	еще не	12	12
57	а также	1	12
58	не столько	2	11
59	в другом	3	11
60	никогда не	5	11
61	и сам	3	11
62	вместе с	4	11
63	как в	3	11
64	в основе	4	11
65	в отличие	1	11
66	с его	2	11
67	данном случае	2	11
68	это не	9	11
69	отличие от	1	11
70	или иначе	5	11
71	а в	6	11
72	даже в	1	10
73	в принципе	1	10
74	из них	7	10
75	в ее	8	10
76	не случайно	2	10
77	что в	11	10
78	и на	2	10
79	для себя	6	10
80	так или	5	10
81	жизни в	3	10
82	потому что	25	10
83	этом отношении	2	10
84	жизни и	6	10
85	отнюдь не	8	10
86	с этой	6	9
87	к тому	3	9
88	искусства и	1	9
89	связи с	1	9
90	один из	5	9
91	что я	26	9
92	одно из	2	9
93	в начале	1	9
94	лишь в	1	9
95	же в	1	9
96	быть может	3	8
97	в своих	3	8
98	тем что	7	8
99	все же	18	8
100	исходит из	2	8
101	одна из	6	8
102	того же	5	8
103	едва ли	1	8
104	ли не	1	8
105	с точки	6	8
106	как раз	16	8
107	на себя	5	8
108	что не	11	8
109	в конце	3	8
110	а именно	1	8
111	собственного я	1	8
112	слова и	7	8
