N	2gram	Vygotskiy_	Literetu
1	а не	16	50
2	и не	19	47
3	не только	24	46
4	и в	55	44
5	может быть	34	43
6	при этом	11	41
7	но и	16	41
8	в том	50	39
9	в этом	30	38
10	том что	46	32
11	в частности	6	30
12	то что	69	29
13	в качестве	2	27
14	то же	16	26
15	состоит в	3	26
16	как и	9	23
17	в стихотворении	1	23
18	в то	6	23
19	себя в	4	22
20	не в	12	22
21	того что	12	22
22	так и	6	22
23	не может	15	22
24	х годов	1	21
25	же время	2	21
26	и т.п	1	20
27	в себе	13	20
28	я в	1	19
29	прежде всего	6	19
30	как бы	33	18
31	с другой	12	17
32	точки зрения	15	17
33	то есть	16	17
34	в его	8	17
35	в жизни	2	16
36	в этой	15	16
37	не менее	1	15
38	в русской	1	15
39	только в	12	15
40	в стихах	1	15
41	произведение искусства	10	15
42	со стороны	3	15
43	тем самым	1	15
44	в целом	7	15
45	и даже	4	14
46	по отношению	3	14
47	однако в	1	14
48	что он	30	14
49	уже не	1	13
50	в своем	12	13
51	с одной	15	13
52	как это	16	13
53	но не	9	13
54	и его	10	13
55	в своей	8	12
56	о том	24	12
57	в данном	4	12
58	одной стороны	15	12
59	к себе	1	12
60	одним из	1	12
61	еще не	6	12
62	отношению к	2	12
63	а также	1	12
64	не столько	1	11
65	в другом	3	11
66	никогда не	15	11
67	в конечном	2	11
68	и сам	1	11
69	столь же	3	11
70	еще в	2	11
71	вместе с	16	11
72	как в	4	11
73	в основе	9	11
74	в отличие	3	11
75	с его	6	11
76	данном случае	4	11
77	это не	9	11
78	отличие от	3	11
79	а в	7	11
80	даже в	2	10
81	конечном счете	2	10
82	из них	7	10
83	в ее	3	10
84	что в	43	10
85	и на	12	10
86	потому что	48	10
87	этом отношении	3	10
88	жизни и	8	10
89	в области	2	10
90	с этой	5	9
91	эстетической деятельности	1	9
92	к тому	12	9
93	представляет собой	2	9
94	искусства и	8	9
95	связи с	2	9
96	один из	9	9
97	в поэзии	5	9
98	одно из	1	9
99	отказ от	1	9
100	в начале	1	9
101	и т.д	1	9
102	же в	3	9
103	быть может	1	8
104	в своих	9	8
105	тем что	8	8
106	все же	11	8
107	исходит из	5	8
108	одна из	6	8
109	того же	5	8
110	едва ли	3	8
111	ли не	2	8
112	с точки	5	8
113	как раз	19	8
114	что не	5	8
115	в конце	10	8
116	слова и	2	8
117	той же	6	8
118	в глазах	2	8
119	но в	7	8
120	уже в	7	8
121	для него	5	8
122	по существу	4	8
123	и как	10	8
124	не говоря	1	8
125	в искусстве	12	8
126	вплоть до	1	8
127	в самом	18	7
128	русской литературе	1	7
129	в одном	5	7
130	другой стороны	8	7
131	именно в	9	7
132	в художественном	4	7
133	для этого	12	7
134	в противоположность	3	7
135	по преимуществу	2	7
136	не как	3	7
137	говоря словами	1	7
138	тому же	4	7
139	он не	10	7
140	и тем	6	7
141	и с	3	7
142	в нем	13	7
143	из того	4	7
144	по своей	1	7
145	в сфере	1	7
146	до конца	7	7
147	друг друга	1	7
148	и для	13	7
149	у нас	7	7
150	в их	3	7
151	так в	4	7
152	человека в	3	7
153	и других	2	7
154	это как	2	7
155	тому как	3	7
156	а затем	2	6
157	в виду	5	6
158	например в	2	6
159	казалось бы	11	6
160	уже о	1	6
161	как на	15	6
162	и он	7	6
163	у него	9	6
164	его в	2	6
165	не было	2	6
166	эстетический объект	3	6
167	во всех	6	6
168	в каждом	2	6
169	было бы	15	6
170	подобно тому	1	6
171	с ее	1	6
172	то в	1	6
173	самом деле	17	6
174	еще и	1	6
175	то и	1	6
176	тем же	3	6
177	одного из	1	6
178	и др	2	6
179	и то	12	6
180	что ему	4	6
181	в жизнь	1	6
182	произведения искусства	2	6
183	в ней	5	6
184	далеко не	4	6
185	как будто	7	6
186	и только	5	6
187	и наконец	5	6
188	и к	5	5
189	к этой	2	5
190	тех кто	1	5
191	по выражению	1	5
192	с собой	3	5
193	мы с	3	5
194	хотя бы	5	5
195	читателя зрителя	1	5
196	жизни как	1	5
197	в нашем	3	5
198	как я	1	5
199	он сам	1	5
200	от себя	2	5
201	всего в	1	5
202	том чтобы	7	5
203	должно быть	6	5
204	несмотря на	5	5
205	ни было	1	5
206	и за	4	5
207	к жизни	2	5
208	не знает	2	5
209	одном из	2	5
210	в себя	2	5
211	этой точки	3	5
212	между тем	4	5
213	так что	8	5
214	все более	1	5
215	в силу	3	5
216	обращается к	1	5
217	в сущности	14	5
218	в россии	1	5
219	в романе	2	5
220	в словах	3	5
221	себя и	3	5
222	не с	2	5
223	идет о	1	5
224	и если	13	5
225	быть не	2	5
