N	3gram	Vygotskiy_	Sotsiolo
1	по отношению к	3	2
2	в том что	41	2
3	в конце концов	1	2
4	по существу это	1	1
5	друг от друга	2	1
6	отношению к которому	1	1
7	в конечном счете	1	1
8	выходит за пределы	1	1
9	с одной стороны	8	1
10	и мы не	1	1
11	в связи с	8	1
12	то же самое	9	1
13	на первый план	5	1
14	то что в	3	1
15	о том как	1	1
16	в этой области	2	1
17	только то что	1	1
18	бы они ни	1	1
19	так и остаются	1	1
20	целом все это	1	1
21	сама по себе	1	1
22	благодаря тому что	1	1
23	а с другой	4	1
24	но только в	1	1
25	во всяком случае	10	1
26	том что это	1	1
27	в целом все	1	1
28	и в этом	2	1
29	между ними в	1	1
30	не выходит за	1	1
31	они ни были	1	1
