N	2gram	Vinokur_Ku	Psycholo
1	то что	14	193
2	и в	44	190
3	в том	47	163
4	что в	25	123
5	потому что	40	114
6	том что	30	113
7	и что	11	108
8	может быть	25	107
9	таким образом	17	102
10	в этом	31	100
11	все время	1	86
12	в самом	20	82
13	как бы	11	80
14	для того	23	78
15	того чтобы	25	78
16	что он	7	76
17	не только	29	75
18	на то	6	73
19	и не	23	73
20	что она	5	71
21	самом деле	17	70
22	точки зрения	25	69
23	и т	62	69
24	не может	13	68
25	если мы	5	66
26	так же	8	63
27	так как	16	63
28	было бы	28	56
29	если бы	21	55
30	то же	12	54
31	о том	10	54
32	и мы	2	54
33	совершенно ясно	2	54
34	при этом	6	52
35	как и	3	51
36	что и	5	50
37	а не	17	50
38	что это	11	49
39	сказать что	5	46
40	по себе	10	46
41	только в	15	46
42	в сущности	11	46
43	заключается в	3	46
44	говорит что	1	45
45	к тому	8	45
46	в искусстве	2	45
47	не в	18	45
48	ясно что	7	43
49	в этой	8	43
50	показать что	2	43
51	никогда не	2	42
52	и все	4	42
53	вместе с	8	41
54	как это	6	40
55	но и	13	40
56	с и	1	40
57	как раз	10	39
58	того что	11	39
59	т п	39	38
60	и это	3	37
61	и как	3	36
62	с тем	5	35
63	вовсе не	18	34
64	как на	4	34
65	и если	4	34
66	и его	8	34
67	тому что	3	33
68	все же	17	33
69	что все	6	33
70	когда он	4	33
71	в себе	4	32
72	все это	10	32
73	он не	4	31
74	мы не	1	31
75	в его	16	31
76	для нас	6	31
77	в ней	6	31
78	сейчас же	1	30
79	мы увидим	3	30
80	как будто	2	30
81	никак не	5	30
82	как в	6	30
83	с одной	3	29
84	и для	3	29
85	одной стороны	2	29
86	с точки	16	29
87	в нем	7	29
88	увидим что	2	28
89	что они	5	28
90	и когда	2	28
91	мы можем	2	28
92	и то	7	28
93	что мы	6	28
94	в своих	2	27
95	на деле	2	27
96	и на	8	27
97	а в	7	27
98	с другой	14	27
99	все то	1	27
100	так что	5	26
101	совершенно не	4	26
102	только что	2	25
103	и здесь	8	25
104	жизни и	1	25
105	до сих	5	24
106	с таким	1	24
107	до конца	3	24
108	тем что	9	24
109	сущности говоря	1	24
110	указывает на	2	24
111	в целом	5	24
112	в своем	4	23
113	сих пор	5	23
114	один из	8	23
115	что если	4	23
116	целый ряд	8	23
117	что оно	6	23
118	когда говорит	1	23
119	для этого	6	23
120	могут быть	5	23
121	казалось бы	5	22
122	с этим	6	22
123	из них	4	22
124	что у	3	22
125	между тем	11	22
126	и даже	5	22
127	когда мы	3	22
128	всякий раз	1	22
129	т д	21	22
130	как она	1	22
131	в котором	4	21
132	том чтобы	9	21
133	в двух	1	21
134	в которых	8	21
135	той же	5	21
136	в своей	4	21
137	ни в	3	21
138	в конце	5	21
139	что эта	1	21
140	но только	5	21
141	как мы	2	21
142	и вот	4	21
143	и только	2	21
144	другой стороны	12	20
145	в то	4	20
146	тот же	7	20
147	мы имеем	11	20
148	она не	1	20
149	дело с	2	20
150	несмотря на	6	20
151	на этом	4	20
152	там где	7	20
153	это не	13	20
154	все эти	17	20
155	в одном	4	19
156	мы уже	1	19
157	в какой	7	19
158	мы должны	2	19
159	в ее	2	19
160	у него	3	19
161	он говорит	1	19
162	с этой	4	18
163	в которой	7	18
164	можно было	14	18
165	но в	11	18
166	зависимости от	9	18
167	в каком	6	18
168	вслед за	1	18
169	что с	2	18
170	на самом	3	18
171	но не	11	18
172	и есть	3	18
173	был бы	4	18
174	перед нами	4	18
175	есть не	2	18
176	в виду	7	17
177	во всяком	8	17
178	полагает что	1	17
179	иначе говоря	2	17
180	что для	3	17
181	из этих	5	17
182	но это	4	17
183	одна из	1	17
184	только не	1	17
185	у нас	19	17
186	и о	3	17
187	и к	1	16
188	из которых	3	16
189	к этому	4	16
190	та же	1	16
191	сводится к	3	16
192	говорит о	1	16
193	то это	3	16
194	в таком	3	16
195	же как	3	16
196	совершенно прав	1	16
197	и тем	7	16
198	не имеет	6	16
199	так и	10	16
200	от того	5	16
201	в результате	8	15
202	в них	10	15
203	только на	1	15
204	что именно	2	15
205	во всех	1	15
206	мы знаем	3	15
207	как говорит	1	15
208	о которых	2	15
209	могли бы	4	15
210	не могут	5	15
211	и так	1	15
212	о котором	4	15
213	на примере	3	15
214	и потому	6	15
215	в зависимости	7	15
216	не просто	7	15
217	которых мы	2	15
218	утверждает что	1	15
219	далеко не	2	15
220	еще не	10	15
221	для него	2	15
222	в частности	6	15
223	в совершенно	2	14
224	хотя бы	19	14
225	одной и	1	14
226	но он	2	14
227	очевидно что	4	14
228	и той	1	14
229	главным образом	3	14
230	это и	6	14
231	это только	5	14
232	того как	6	14
233	прежде всего	14	14
234	такой же	1	14
235	что на	2	14
236	те же	1	14
237	в жизни	1	14
238	не то	1	14
239	бы в	8	14
240	столь же	2	14
241	показывает что	1	14
242	должна быть	6	14
243	это есть	2	14
244	в стихе	1	14
245	всяком случае	8	14
246	этом отношении	8	14
247	с той	2	14
248	или в	5	14
249	к которым	1	14
250	по существу	9	14
251	есть только	1	14
252	в области	15	14
253	прав когда	2	14
254	с ним	5	14
255	само по	6	14
256	именно в	7	13
257	а с	3	13
258	могла бы	2	13
259	отнюдь не	5	13
260	с такой	1	13
261	этот вопрос	7	13
262	знаем что	3	13
263	в той	6	13
264	речь идет	4	13
265	когда она	1	13
266	едва ли	1	13
267	и он	4	13
268	говорит он	1	13
269	указывает что	3	13
270	могло бы	1	13
271	как он	1	13
272	должен был	1	13
273	со стороны	8	13
274	и другие	1	12
275	в этих	5	12
276	их в	1	12
277	не менее	12	12
278	может служить	4	12
279	того же	6	12
280	в конечном	3	12
281	я не	5	12
282	в самой	6	12
283	тогда когда	7	12
284	сам по	1	12
285	совершенно правильно	1	12
286	в свою	4	12
287	и уже	2	12
288	состоит в	4	12
289	но если	2	12
290	и этот	1	12
291	и может	3	12
292	идет о	3	12
293	это в	1	12
294	конце концов	3	12
295	и с	11	12
296	например в	5	12
297	как только	2	12
298	что этот	2	12
299	что его	2	12
300	что не	10	12
301	этой точки	4	12
302	что самое	1	12
303	действия и	2	12
304	ничего не	6	12
305	в поэзии	1	12
306	об этом	4	12
307	что эти	4	12
308	в нашей	4	12
309	конечном счете	2	11
310	так например	3	11
311	понятно что	1	11
312	конечно не	3	11
313	не было	6	11
314	не будет	1	11
315	мы видели	3	11
316	утверждать что	2	11
317	и сейчас	3	11
318	была бы	5	11
319	поэзии и	1	11
320	сравнению с	1	11
321	по сравнению	3	11
322	бы сказать	3	11
323	на этот	4	11
324	как к	2	11
325	мы могли	2	11
326	уже в	5	11
327	на все	3	11
328	и других	1	11
329	отличие от	3	11
330	он должен	2	11
331	есть в	6	11
332	исходит из	2	11
333	по поводу	2	11
334	его в	1	11
335	ли это	4	11
336	совершенно справедливо	2	11
337	были бы	2	11
338	существует между	1	11
339	этого слова	8	11
340	с его	4	11
341	думать что	1	11
342	на это	3	11
343	во всем	1	10
344	только из	1	10
345	в другом	2	10
346	смысл и	5	10
347	в тех	4	10
348	не так	2	10
349	том и	3	10
350	сами по	2	10
351	только тогда	4	10
352	именно на	1	10
353	как нельзя	2	10
354	данном случае	2	10
355	в их	3	10
356	в одной	1	10
357	отличается от	2	10
358	в данном	8	10
359	должно быть	6	10
360	в состоянии	2	10
361	по мнению	1	10
362	тому же	2	10
363	и у	3	10
364	но как	2	10
365	совсем не	1	10
366	все те	3	10
367	и от	2	10
368	представить себе	1	10
369	мы в	3	10
370	здесь мы	2	10
371	не является	2	10
372	ее в	2	10
373	тому чтобы	2	10
374	это было	2	10
375	и их	2	10
376	на нас	1	9
377	но что	3	9
378	не есть	4	9
379	так сказать	5	9
380	в действительности	2	9
381	вопрос о	11	9
382	что даже	2	9
383	внимание на	5	9
384	и говорит	2	9
385	и следовательно	2	9
386	в чем	2	9
387	под влиянием	3	9
388	заставляет нас	1	9
389	мы будем	1	9
390	в него	1	9
391	бы не	1	9
392	его и	1	9
393	из его	1	9
394	в отличие	3	9
395	ответ на	2	9
396	в виде	1	9
397	по своему	1	9
398	по его	1	9
399	на его	3	9
400	и по	4	9
401	в самых	1	9
402	оказывается что	1	9
403	тем самым	5	9
404	которые не	1	9
405	о чем	2	9
406	точно так	4	9
407	но все	5	9
408	роль в	6	9
409	можно сказать	6	9
410	то как	1	9
411	к чему	1	9
412	во внимание	1	9
413	и именно	3	9
414	ту же	6	9
415	если же	1	9
416	которое мы	1	9
417	в силу	16	9
418	должен быть	8	9
419	том случае	3	9
420	с совершенно	1	9
421	именно это	2	9
422	формы в	2	8
423	это значит	1	8
424	со всей	1	8
425	себе и	3	8
426	чтобы показать	2	8
427	то чтобы	1	8
428	в сознании	1	8
429	будто бы	3	8
430	одно и	1	8
431	нас совершенно	2	8
432	в общем	4	8
433	имеет дело	1	8
434	ни на	1	8
435	уже из	2	8
436	что же	11	8
437	тем же	2	8
438	о нем	2	8
439	смысле этого	5	8
440	в такой	2	8
441	бы совершенно	1	8
442	и таким	1	8
443	и вообще	1	8
444	место в	1	8
445	и составляет	1	8
446	из всех	1	8
447	представление о	3	8
448	в собственном	2	8
449	меньше всего	2	8
450	точно и	1	8
451	и значение	2	8
452	большей частью	1	8
453	наряду с	2	8
454	гораздо более	6	8
455	по преимуществу	3	8
456	из того	1	8
457	чтобы понять	1	8
458	кажется что	1	8
459	содержания и	2	8
460	этом смысле	8	8
461	здесь совершенно	2	8
462	к нему	1	8
463	в процессе	1	8
464	из области	4	8
465	и более	3	8
466	относится к	3	8
467	том как	3	8
468	мы получим	1	8
469	и во	1	8
470	он может	1	8
471	бы и	6	8
472	иметь дело	1	8
473	которую мы	1	8
474	только то	2	8
475	еще раз	2	7
476	мысли и	1	7
477	не как	2	7
478	и там	2	7
479	от этого	4	7
480	во все	2	7
481	и те	1	7
