N	2gram	Tiupa_Anal	Problema
1	и в	30	182
2	то есть	19	165
3	и не	33	152
4	вовсе не	4	145
5	то что	11	144
6	не есть	8	113
7	не только	30	104
8	потому что	3	89
9	в этом	31	88
10	может быть	33	82
11	в том	36	81
12	том что	21	81
13	не просто	2	80
14	только в	8	73
15	сказать что	2	72
16	но и	29	70
17	в виде	1	69
18	у нас	1	68
19	также и	3	68
20	и даже	10	66
21	по себе	6	64
22	не менее	5	58
23	о том	11	57
24	тем не	3	56
25	а не	25	56
26	так и	16	56
27	но в	11	55
28	так что	3	52
29	ни в	5	51
30	для нас	1	50
31	в себе	17	48
32	отнюдь не	22	48
33	смысле слова	1	47
34	при помощи	2	47
35	было бы	4	46
36	прежде всего	8	45
37	в своей	7	45
38	что в	7	44
39	в его	15	44
40	не в	17	43
41	все эти	3	43
42	то же	12	42
43	а именно	3	42
44	как раз	5	42
45	таким образом	5	42
46	и что	2	40
47	и то	4	40
48	что он	3	40
49	так как	3	40
50	что мы	3	40
51	во всяком	1	39
52	не может	26	39
53	такого рода	6	39
54	и тем	4	39
55	в этой	12	39
56	как бы	15	39
57	той или	8	38
58	в данном	6	38
59	хотя бы	4	37
60	никак не	2	37
61	в нем	3	37
62	того что	5	37
63	точки зрения	10	36
64	есть нечто	1	36
65	еще не	5	36
66	и все	5	36
67	и т	3	35
68	в виду	2	34
69	уже не	6	34
70	и с	2	34
71	как и	23	34
72	указывает на	1	34
73	же самое	3	33
74	в таком	5	33
75	не является	3	33
76	или иной	8	33
77	здесь не	2	32
78	в то	10	32
79	но не	13	32
80	едва ли	4	32
81	так же	1	31
82	в своем	2	31
83	связи с	2	31
84	в конце	4	31
85	но это	1	31
86	все это	2	31
87	и для	3	30
88	с другой	7	30
89	в связи	2	29
90	некоторого рода	2	29
91	все же	4	29
92	можно сказать	6	29
93	перед нами	1	29
94	как мы	3	29
95	об этом	1	29
96	что же	3	28
97	данном случае	3	28
98	мы не	1	28
99	а в	11	28
100	и о	3	28
101	и как	6	27
102	хотя и	4	27
103	ничего не	10	27
104	в результате	3	26
105	другой стороны	2	26
106	крайней мере	4	26
107	да и	2	26
108	как будто	6	26
109	вместе с	6	26
110	по крайней	4	26
111	еще и	1	26
112	это не	7	26
113	и его	9	26
114	и на	10	25
115	тем самым	9	25
116	с точки	6	25
117	всяком случае	1	25
118	с тем	1	24
119	на самом	2	24
120	тем более	2	24
121	в нашем	3	24
122	не имеет	1	24
123	содержит в	3	23
124	таком случае	5	23
125	по своему	1	23
126	только и	1	23
127	на то	2	23
128	при этом	20	23
129	тут же	2	23
130	в качестве	38	23
131	а только	1	23
132	то и	2	23
133	мы находим	1	23
134	есть не	9	23
135	и к	5	22
136	вещи и	1	22
137	раз и	2	22
138	только на	3	22
139	никогда не	4	22
140	и является	4	22
141	всех этих	2	22
142	нет ничего	2	22
143	есть в	4	22
144	сам по	1	22
145	его в	2	22
146	и от	1	22
147	и есть	3	22
148	и если	2	22
149	что и	5	22
150	в самом	12	21
151	сама по	1	21
152	мы должны	2	21
153	и ее	1	21
154	говорить о	3	21
155	разного рода	3	21
156	для себя	3	21
157	а также	8	21
158	и только	1	21
159	именно в	6	20
160	для того	4	20
161	но как	1	20
162	можно было	1	20
163	и потому	2	20
164	о чем	3	20
165	тем что	2	20
166	мифа о	1	20
167	несмотря на	5	20
168	как о	2	20
169	или в	2	20
170	в них	1	19
171	с ним	6	19
172	самом деле	3	19
173	в каком	1	19
174	но если	1	19
175	того или	3	19
176	уже в	1	19
177	то в	2	19
178	в отношении	2	19
179	этом смысле	3	19
180	он не	4	19
181	если не	2	19
182	если бы	6	19
183	как в	3	19
184	как нечто	1	19
185	жизни и	1	19
186	в этих	3	18
187	того же	7	18
188	не было	1	18
189	не будет	3	18
190	мы и	1	18
191	в ее	2	18
192	того чтобы	3	18
193	в ней	1	18
194	во всех	5	17
195	и здесь	1	17
196	мы уже	2	17
197	ни о	3	17
198	совершенно не	2	17
199	тех или	3	17
200	что она	1	16
201	будто бы	4	16
202	как это	5	16
203	он и	3	16
204	самое время	2	16
205	художественного произведения	6	16
206	же в	1	16
207	для этого	2	16
208	но все	1	16
209	к тому	12	16
210	между собою	1	16
211	случае не	2	16
212	далеко не	6	16
213	и сам	4	15
214	казалось бы	2	15
215	в чем	2	15
216	в той	8	15
217	у него	5	15
218	что не	3	15
219	и более	5	15
220	здесь в	2	15
221	в частности	32	15
222	уже и	1	14
223	что все	2	14
224	с другими	4	14
225	сих пор	1	14
226	не так	3	14
227	этом случае	4	14
228	все равно	2	14
229	в котором	5	14
230	говорит о	5	14
231	до сих	1	14
232	не что	5	14
233	то ни	3	14
234	за пределы	6	14
235	в н	1	14
236	что иное	6	14
237	иное как	6	14
238	же и	1	13
239	из них	2	13
240	тому что	2	13
241	действительности и	1	13
242	из этого	2	13
243	сами по	3	13
244	ни на	1	13
245	бы и	1	13
246	или другой	1	13
247	мы имеем	9	13
248	в их	8	13
249	или даже	3	13
250	в области	4	13
251	который в	3	13
252	в целях	1	13
253	или иного	3	13
254	учение о	1	13
255	при условии	1	12
256	в другом	4	12
257	он сам	1	12
258	с одной	7	12
259	в которой	3	12
260	в самой	1	12
261	для них	1	12
262	так или	1	12
263	на первый	1	12
264	в литературе	4	12
265	в начале	3	12
266	или по	1	12
267	не являются	2	12
268	что этот	1	12
269	значения и	1	12
270	что это	1	12
271	или иначе	2	12
272	нисколько не	1	12
273	не говоря	2	12
274	в целом	9	12
275	или иных	3	11
276	бы то	3	11
277	своему содержанию	1	11
278	могли бы	2	11
279	жизни в	1	11
280	свидетельствует о	4	11
281	тот же	2	11
282	в таких	1	11
283	и другое	1	11
284	одной стороны	6	11
285	том или	4	11
286	по поводу	4	11
287	к нему	4	11
288	только не	6	11
289	не о	3	11
290	что его	1	11
291	не могут	3	11
292	заключается в	2	11
293	и во	3	11
294	и самого	3	11
295	вообще не	2	11
296	в искусстве	2	11
297	и их	2	11
298	по этому	1	11
299	и тогда	3	11
300	более или	2	10
301	на том	1	10
302	но он	1	10
303	что для	1	10
304	даже если	1	10
305	один из	4	10
306	художественного творчества	2	10
307	от нас	1	10
308	бы не	3	10
309	художественное произведение	5	10
310	то или	1	10
311	что оно	1	10
312	все еще	1	10
313	в году	1	10
314	в одном	3	10
315	отличается от	3	10
316	все время	1	10
317	быть только	1	10
318	он в	5	10
319	однако в	4	10
320	из которых	4	10
321	не имеют	1	10
322	внимание на	3	10
323	ни с	5	10
324	или менее	2	10
325	быть и	1	10
326	собственно говоря	6	10
327	говоря уже	1	9
328	с собой	1	9
329	в своих	1	9
330	их в	1	9
331	вопрос о	2	9
332	миф о	1	9
333	нет и	2	9
334	что даже	2	9
335	представить себе	1	9
336	здесь как	1	9
337	в тех	1	9
338	не мешает	1	9
339	тогда когда	3	9
340	в которых	1	9
341	о котором	1	9
342	то он	3	9
343	только тогда	1	9
344	и уж	1	9
345	однако не	4	9
346	имеется в	1	9
347	а его	1	9
348	которые в	3	9
349	само собой	1	9
350	языка и	2	9
351	в жизни	1	9
352	в художественном	4	9
