N	2gram	Medvedev_I	Sotsiolo
1	все это	1	7
2	в этом	2	5
3	и в	1	3
4	более чем	1	3
5	что в	2	2
6	очевидно что	1	2
7	по существу	1	2
8	по отношению	1	2
9	как только	1	2
10	отношению к	1	2
11	а в	1	1
12	в целом	1	1
13	все эти	1	1
14	с другой	1	1
15	только для	1	1
16	так и	1	1
17	слишком много	1	1
18	же это	1	1
19	и не	2	1
20	стр и	7	1
21	и о	1	1
22	тем что	1	1
23	а с	1	1
24	не дает	1	1
25	автор не	1	1
26	без этого	1	1
27	бы в	1	1
28	стало быть	1	1
29	никогда не	1	1
30	придется не	1	1
31	ничего не	2	1
32	в них	1	1
