N	2gram	Medvedev_V	ViktorSh
1	в книге	2	3
2	конце концов	2	2
3	в шкловский	1	2
4	в конце	3	2
5	и в	26	2
6	в том	15	2
7	том что	8	2
8	в другом	2	1
9	говоря иначе	3	1
10	от общего	1	1
11	но это	1	1
12	одно и	1	1
13	том же	6	1
14	по существу	4	1
15	ведь это	1	1
16	и сводится	4	1
17	а отсюда	1	1
18	главным образом	7	1
19	в самом	4	1
20	как же	1	1
21	в теории	1	1
22	а значит	3	1
23	для них	2	1
24	образы которые	1	1
25	а только	1	1
26	от других	1	1
27	именно в	3	1
28	этому и	1	1
29	все то	1	1
30	ни к	1	1
31	самом деле	1	1
32	более чем	1	1
33	другом месте	2	1
34	и составляет	1	1
35	жизнь их	1	1
36	материалов и	1	1
37	говоря о	1	1
38	в частности	12	1
39	и то	1	1
40	крайней мере	2	1
41	и заключается	2	1
42	этом и	2	1
43	и его	6	1
44	сводится к	3	1
45	даже не	2	1
46	теснейшим образом	1	1
47	в сугубо	1	1
48	бы уже	1	1
49	на одном	1	1
50	хотя бы	20	1
51	что образы	2	1
52	по поводу	4	1
53	далеко не	3	1
54	тем более	1	1
55	по крайней	2	1
56	в которых	3	1
57	к этому	9	1
58	только в	8	1
59	одном и	2	1
60	потому что	1	1
61	в значительной	3	1
62	в их	5	1
63	то же	10	1
64	не будем	1	1
65	и том	2	1
66	и не	20	1
67	да и	2	1
68	сводится в	1	1
69	в этом	29	1
70	все это	13	1
71	значит и	3	1
72	в устах	1	1
