N	2gram	Medvedev_S	FransuaR
1	и в	3	367
2	в этом	5	112
3	и не	1	101
4	таким образом	2	100
5	и его	1	99
6	в его	3	98
7	прежде всего	1	92
8	не только	3	87
9	но и	2	84
10	как бы	2	82
11	все эти	1	79
12	вовсе не	1	77
13	как и	1	76
14	в том	5	71
15	то же	2	66
16	в них	1	65
17	в этой	1	65
18	так и	1	65
19	в сущности	1	64
20	в то	1	63
21	все это	7	62
22	же время	1	55
23	что в	2	52
24	только в	2	48
25	том что	2	45
26	то что	2	41
27	у него	1	40
28	о том	1	35
29	может быть	2	35
30	в конце	2	32
31	в своей	1	31
32	один из	1	30
33	и потому	1	30
34	никогда не	1	30
35	еще не	2	29
36	связи с	1	29
37	в этих	1	29
38	что он	1	29
39	не может	1	29
40	его в	1	29
41	не в	3	29
42	все же	1	27
43	в области	1	25
44	с помощью	1	25
45	но не	1	24
46	в частности	2	24
47	с ним	1	23
48	это не	1	23
49	еще и	1	23
50	даже в	1	22
51	не было	1	22
52	а в	1	22
53	тем что	1	22
54	и о	1	22
55	именно в	1	21
56	и как	1	21
57	что это	1	21
58	и наконец	1	21
59	в связи	1	20
60	за пределы	2	19
61	было бы	2	19
62	с другой	1	19
63	далеко не	2	19
64	это и	2	18
65	перед нами	1	18
66	конечно не	1	17
67	в результате	2	17
68	с одной	1	16
69	между ними	1	16
70	между тем	1	16
71	ничего не	1	16
72	они не	1	16
73	мы еще	1	15
74	в котором	1	14
75	в чем	1	14
76	образом в	1	14
77	и по	1	14
78	мы не	1	14
79	в данном	1	14
80	по существу	2	14
81	что все	1	13
82	на все	1	13
83	одной стороны	1	13
84	в мире	1	13
85	бы в	1	13
86	и есть	1	13
87	те же	1	12
88	главным образом	2	12
89	место в	1	12
90	только для	1	12
91	литературы и	2	12
92	все то	1	12
93	но именно	1	12
94	благодаря этому	1	12
95	право на	1	12
96	и что	2	11
97	наконец в	1	11
98	время в	1	11
99	и более	1	11
100	между собою	1	11
101	он говорит	1	11
102	в заключение	1	11
103	по отношению	2	10
104	в таких	1	10
105	конце концов	2	10
106	новое и	1	10
107	на этот	1	10
108	к которому	2	10
109	в процессе	1	10
110	выходит за	1	10
111	в целом	1	10
112	нашей работы	1	9
113	именно на	1	9
114	ведь это	2	9
115	это как	1	9
116	что на	1	9
117	но как	1	9
118	для нас	3	9
119	первый план	1	9
120	отношению к	2	9
121	на первый	1	8
122	переходим к	1	8
123	в него	1	8
124	для этого	1	8
125	дело не	2	8
126	во всяком	1	7
127	в виде	1	7
128	но она	1	7
129	настоящее время	1	7
130	никак не	1	7
131	том как	1	7
132	в настоящее	1	7
133	хотя бы	1	6
134	далеки от	1	6
135	что она	1	6
136	на что	1	6
137	тем же	1	6
138	или даже	2	6
139	как будто	2	6
140	тех кто	1	6
141	исторического развития	2	6
142	литературе и	1	6
143	не дает	1	6
144	вряд ли	1	6
145	дает нам	1	6
146	со своими	1	6
147	него и	1	6
148	в строгом	1	5
149	жизни он	1	5
150	тем более	2	5
151	же самое	1	5
152	но только	1	5
153	на отдельные	1	5
154	должна быть	2	5
155	реализма и	1	5
156	и стиля	1	5
157	всяком случае	1	5
158	только то	1	5
159	и только	3	5
160	еще недостаточно	1	4
161	в каждом	1	4
162	в те	1	4
163	это вовсе	1	4
164	кто не	1	4
165	по себе	1	4
166	связь между	1	4
167	но ведь	3	4
168	представляется нам	1	4
169	в смысле	2	4
170	это наиболее	1	4
171	в область	1	4
172	из тех	1	4
173	ни на	1	4
174	же не	1	4
175	что эти	1	4
176	очень далеки	1	4
177	развития и	1	3
178	индивидуальность и	1	3
179	именно и	1	3
180	на ней	1	3
181	и мы	2	3
182	а с	1	3
183	остается в	1	3
184	тому что	1	3
185	между собой	1	3
186	опираясь на	1	3
187	в лучшем	1	3
188	вот в	1	3
189	в систему	1	3
190	самому существу	1	3
191	не из	1	3
192	же это	1	3
193	даже больше	1	3
194	ровно ничего	1	3
195	метод в	4	3
196	должно было	1	3
197	в силу	1	3
198	какой же	1	3
199	друг от	1	3
200	в любой	1	3
201	на тех	1	3
202	от друга	1	3
203	слова но	1	3
204	сказать и	1	3
205	эти два	1	3
206	правда он	1	3
207	и благодаря	1	3
208	бы он	1	3
209	более не	1	2
210	этих вопросов	1	2
211	и самые	1	2
212	конечном счете	1	2
213	работы в	1	2
214	они ни	1	2
215	только как	2	2
216	из себя	1	2
217	нам право	1	2
218	целом все	1	2
219	в конечном	1	2
220	не исчерпываются	1	2
221	слишком много	1	2
222	полагает что	1	2
223	и должны	1	2
224	том и	1	2
225	голова его	1	2
226	исторической жизни	2	2
227	только тогда	1	2
228	новые и	1	2
229	как только	2	2
230	не без	1	2
231	должны служить	1	2
232	в серьезных	1	2
233	мы должны	1	2
234	их на	1	2
235	больше того	1	2
236	и связь	1	2
237	он по	1	2
238	теперь он	1	2
239	не от	1	2
240	развиваться в	1	2
241	от окружающих	1	2
242	это по	1	2
243	ни одно	1	2
244	несколько упрощенно	1	2
245	и голова	1	2
246	на определенных	1	2
247	литературного развития	1	2
248	литературе мы	1	2
249	это же	1	2
250	тогда и	1	2
251	и самым	1	2
252	границы и	1	2
253	же этот	1	2
254	же по	1	2
255	мысли в	1	2
256	как же	3	2
257	это значит	1	1
258	факта что	1	1
259	не меняет	1	1
260	художественный стиль	1	1
261	настаивает на	1	1
262	собой не	1	1
263	темы и	1	1
264	его утверждение	1	1
265	а между	1	1
266	точке зрения	1	1
267	единство не	1	1
268	стиль в	1	1
269	систему его	1	1
270	по природе	2	1
271	и основательно	1	1
272	не должна	1	1
273	входящие в	1	1
274	в наше	1	1
275	не один	1	1
276	характера это	1	1
277	являются те	1	1
278	а тем	1	1
279	отнюдь не	1	1
280	жанра и	1	1
281	на точке	1	1
282	литературы как	1	1
283	и куда	1	1
284	от догматизма	1	1
285	два типа	1	1
286	и будет	1	1
287	есть метод	1	1
288	литературе о	1	1
289	представляет и	1	1
290	в труде	1	1
291	более чем	3	1
292	художественных произведений	1	1
293	и разрешить	1	1
294	и никак	1	1
295	вступает в	1	1
296	но сам	1	1
297	на основании	1	1
298	ни были	1	1
299	единства и	1	1
300	она может	2	1
301	положительное и	1	1
302	стоит только	1	1
303	своих мыслей	1	1
304	в свои	1	1
305	истины как	1	1
306	перейти к	1	1
307	выдвигает на	1	1
308	и цельного	1	1
309	дело конечно	1	1
310	им не	2	1
311	использовав для	1	1
312	частности так	1	1
313	поставить и	1	1
314	только когда	1	1
315	искусство слова	1	1
316	далее автор	1	1
317	у которых	1	1
318	и история	1	1
319	и границы	1	1
320	и должно	1	1
321	а строго	1	1
322	и темы	1	1
323	в литературоведении	2	1
324	как замкнутые	1	1
325	быть строго	1	1
326	произведение как	1	1
327	существу это	1	1
328	способен ни	1	1
329	не место	1	1
330	столь же	1	1
331	что без	1	1
332	с каким-либо	1	1
333	наше время	1	1
334	вопросом о	1	1
335	и стало	1	1
336	бы они	1	1
337	мы понимаем	1	1
338	исторического характера	1	1
339	не выходит	1	1
340	по самому	1	1
341	стало быть	1	1
342	мы переходим	1	1
