N	4gram	Bakhtin_sl	Morfolog
1	в то время как	2	3
2	бы то ни было	1	2
3	бы они ни были	1	1
4	не может войти в	1	1
5	с этой точки зрения	1	1
6	во всем ее объеме	1	1
7	или во всяком случае	2	1
8	и т д можно	1	1
9	в том что он	1	1
10	в точном смысле слова	1	1
11	одно и то же	2	1
12	в связи с изучением	1	1
13	в свою очередь также	1	1
14	все более и более	1	1
15	в то же время	15	1
16	во всех этих случаях	1	1
17	до сих пор не	2	1
18	прежде чем перейти к	1	1
19	то же время и	2	1
20	с самого начала в	1	1
21	в основе ее лежат	1	1
