N	4gram	Vinokur_Vv	Stilisti
1	в то же время	6	7
2	одно и то же	2	5
3	одной и той же	2	4
4	не что иное как	5	2
5	одном и том же	1	2
6	и для того чтобы	1	2
7	в зависимости от того	1	2
8	но в то же	3	2
9	в связи с этим	1	2
10	есть не что иное	3	2
11	он в то же	1	1
12	то для того чтобы	1	1
13	и всего того что	1	1
14	и том же лице	1	1
15	как мы уже знаем	2	1
16	о том что такое	5	1
17	в одном и том	1	1
18	то же самое и	1	1
19	но вместе с тем	1	1
20	так а не иначе	1	1
21	то же время служит	1	1
22	одного и того же	2	1
23	уже не только о	1	1
24	в собственном смысле слова	1	1
25	на то или иное	1	1
26	связь между языком и	1	1
