N	2gram	Voloshinov	Sotsiolo
1	истории литературы	2	10
2	все это	3	7
3	в том	6	5
4	в этом	4	5
5	социологический метод	2	4
6	метод в	2	4
7	не только	4	3
8	как же	2	3
9	не в	4	3
10	и в	12	3
11	и только	1	3
12	в его	2	3
13	о литературе	1	3
14	для нас	7	3
15	литературы и	4	2
16	что в	2	2
17	ведь это	1	2
18	то что	5	2
19	таким образом	12	2
20	том что	5	2
21	или даже	1	2
22	как бы	13	2
23	в результате	1	2
24	было бы	1	2
25	как будто	1	2
26	историка литературы	1	2
27	в смысле	1	2
28	в частности	1	2
29	и мы	1	2
30	по природе	2	2
31	но и	3	2
32	может быть	14	2
33	и что	2	2
34	эволюционное развитие	1	2
35	это и	1	2
36	им не	2	2
37	за пределы	4	2
38	по отношению	11	2
39	как только	2	2
40	отношению к	11	2
41	должна быть	5	2
42	далеко не	1	2
43	тем более	1	2
44	только в	6	2
45	к которому	1	2
46	только как	1	2
47	то же	5	2
48	еще не	3	2
49	в конечном	1	1
50	столь же	1	1
51	на что	1	1
52	стиль в	1	1
53	в целом	1	1
54	жизни он	1	1
55	все эти	3	1
56	не было	1	1
57	когда мы	1	1
58	остается в	1	1
59	связи с	1	1
60	положения в	1	1
61	словесного творчества	1	1
62	кто не	1	1
63	только то	1	1
64	в своей	3	1
65	во всяком	1	1
66	и потому	2	1
67	все же	4	1
68	что это	1	1
69	или не	3	1
70	по крайней	1	1
71	с другой	4	1
72	ни на	2	1
73	мы понимаем	1	1
74	мы должны	1	1
75	это как	3	1
76	это же	1	1
77	с ним	3	1
78	к вопросам	1	1
79	противном случае	1	1
80	между тем	3	1
81	именно и	1	1
82	формальный метод	1	1
83	и более	3	1
84	в свои	1	1
85	и его	13	1
86	опираясь на	2	1
87	не должна	3	1
88	они ни	2	1
89	это по	1	1
90	развитие по	1	1
91	нашей работы	1	1
92	в данном	2	1
93	социологическому методу	2	1
94	на все	2	1
95	только для	1	1
96	теоретическая поэтика	1	1
97	в области	1	1
98	и по	3	1
99	самому существу	1	1
100	подвести итоги	1	1
101	с помощью	6	1
102	же самое	2	1
103	так и	4	1
104	в противном	1	1
105	в то	2	1
106	он различает	1	1
107	бы они	1	1
108	слова но	2	1
109	в котором	3	1
110	те же	2	1
111	между собой	2	1
112	обходится без	1	1
113	отнюдь не	5	1
114	и не	10	1
115	выходит за	1	1
116	всяком случае	1	1
117	свои права	1	1
118	применения социологического	1	1
119	по самому	1	1
120	в ведение	1	1
121	настоящее время	2	1
122	и о	1	1
123	вступает в	1	1
124	выдвигает на	1	1
125	но не	2	1
126	они не	1	1
127	лучшем случае	1	1
128	не способен	2	1
129	поэтической формы	1	1
130	она должна	1	1
131	для этого	1	1
132	прежде всего	8	1
133	что она	1	1
134	тем же	1	1
135	стиля как	1	1
136	в чем	2	1
137	не из	1	1
138	а с	1	1
139	мы еще	1	1
140	а между	1	1
141	же не	1	1
142	в лучшем	1	1
143	конечном счете	1	1
144	его в	4	1
145	зависит от	2	1
146	крайней мере	1	1
147	же этот	1	1
148	в процессе	6	1
149	ни были	1	1
150	я и	1	1
151	вовсе не	1	1
152	с одной	2	1
153	больше того	1	1
154	и наконец	3	1
155	конечно не	3	1
156	о том	3	1
157	мы не	3	1
158	том и	1	1
159	эти вопросы	1	1
160	в этих	2	1
161	ровно ничего	1	1
162	сама по	1	1
163	у него	1	1
164	по себе	3	1
165	перед нами	1	1
166	литературе и	1	1
167	все то	1	1
168	хотя бы	5	1
169	же время	1	1
170	это не	2	1
171	одной стороны	2	1
172	конечно только	1	1
173	в виде	1	1
174	в настоящее	2	1
175	процессе живого	1	1
176	именно в	1	1
177	никогда не	5	1
178	не может	16	1
179	между ними	2	1
180	что все	1	1
181	место в	2	1
182	как и	5	1
183	ничего не	2	1
184	в них	3	1
