N	3gram	Bakhtin_fo	Marksizm
1	с точки зрения	9	46
2	не может быть	4	25
3	в самом деле	1	19
4	по отношению к	3	15
5	то же время	13	15
6	в то же	10	15
7	в том что	4	14
8	в связи с	12	14
9	в высшей степени	1	12
10	для того чтобы	11	11
11	до сих пор	4	11
12	в отличие от	3	10
13	с самого начала	3	10
14	в большинстве случаев	2	9
15	одного и того	6	9
16	как если бы	2	9
17	и того же	6	9
18	но в то	2	9
19	то же самое	1	8
20	может быть и	4	8
21	смысле этого слова	1	7
22	с другой стороны	1	7
23	в свою очередь	1	7
24	как мы уже	11	6
25	и пр и	1	6
26	прямой и косвенной	1	6
27	в точном смысле	3	6
28	на самом деле	1	6
29	во всяком случае	1	6
30	с одной стороны	3	6
31	на этой почве	1	5
32	и как бы	2	5
33	к тому что	1	5
34	пр и пр	1	5
35	той или иной	3	5
36	как мы видели	1	5
37	в этом случае	1	5
38	в этом отношении	5	5
39	вполне понятно что	4	4
40	мы уже знаем	1	4
41	только на почве	1	4
42	в зависимости от	1	4
43	как мы сказали	1	4
44	в нем нет	2	4
45	быть и речи	2	4
46	и прежде всего	4	4
47	но все же	3	4
48	о том что	2	4
49	можно сказать что	1	4
50	нашей точки зрения	3	4
51	лишь там где	1	4
52	в той или	2	3
53	не только в	6	3
54	одной стороны и	2	3
55	в том числе	7	3
56	и то же	4	3
57	друг с другом	5	3
58	все более и	2	3
59	в конце концов	1	3
60	том числе и	4	3
61	между этими двумя	3	3
62	в данном отношении	1	3
63	и т.п в	1	3
64	вовсе не является	2	3
65	не могут быть	1	3
66	в значительной степени	1	3
67	и речи о	1	3
68	или хотя бы	1	3
69	и в этом	2	3
70	в ее целом	2	3
71	но и в	5	3
72	в данный момент	1	3
73	на первый план	2	3
74	связи с этим	4	3
75	более и более	2	3
76	одно и то	4	3
77	все без исключения	1	3
78	именно в том	1	3
79	сводится к тому	1	3
80	лежит в основе	2	3
81	лишь в пределах	2	2
82	рано или поздно	1	2
83	или иной степени	1	2
84	до известной степени	1	2
85	точки зрения не	3	2
86	мы отвлекаемся здесь	1	2
87	имеют громадное значение	1	2
88	и у нас	1	2
89	друг от друга	2	2
90	что во всех	1	2
91	так и в	1	2
92	обстоит дело с	1	2
93	дело идет о	1	2
94	xvii и xviii	1	2
95	между тем как	1	2
96	возможно лишь в	1	2
97	в данном случае	2	2
98	и в других	4	2
99	к тому же	2	2
100	сама по себе	1	2
101	в его целом	2	2
102	и в том	1	2
103	со всех сторон	2	2
104	в нашем случае	1	2
105	с нашей точки	3	2
106	в эпоху возрождения	3	2
107	чувствует себя в	1	2
108	сами по себе	2	2
109	нет ничего что	1	2
110	к себе самому	7	2
111	и в особенности	5	2
112	точном смысле слова	1	2
113	и тогда когда	1	2
114	как и в	3	2
115	все разобранные нами	1	2
116	а следовательно и	3	2
117	совершенно независимо от	1	2
118	всякой связи с	1	2
119	и так сказать	1	2
120	со всеми ее	1	2
121	только в этом	1	2
122	в этом и	1	2
123	что в этих	1	2
124	кроме того в	1	2
125	и та же	2	2
126	так же как	2	2
127	он не знает	1	2
128	есть прежде всего	1	2
129	же как и	2	2
130	с тем что	2	2
131	как мы увидим	2	2
132	одна и та	2	2
133	в широком смысле	3	2
134	и в самом	1	2
135	только с помощью	1	2
136	теперь мы должны	1	2
137	прежде всего в	3	2
