N	3gram	Vinokur_Ku	Narrotol
1	в том что	23	18
2	в данном случае	1	17
3	не только в	4	13
4	в отличие от	3	11
5	по отношению к	8	11
6	к тому же	1	9
7	о том что	6	9
8	не может быть	5	8
9	тем не менее	9	8
10	в соответствии с	5	8
11	той или иной	1	8
12	то же время	4	8
13	по большей части	2	8
14	в то же	4	8
15	в этом отношении	8	8
16	и тем самым	1	6
17	состоит в том	4	6
18	можно сказать что	2	6
19	с одной стороны	2	6
20	для того чтобы	21	5
21	в свою очередь	4	5
22	на самом деле	3	5
23	и все же	1	5
24	в конечном счете	2	4
25	к тому что	2	4
26	во всяком случае	8	4
27	у нас нет	1	4
28	в самом деле	14	3
29	в случае с	1	3
30	а в том	2	3
31	до сих пор	5	3
32	в первом случае	1	3
33	иметь в виду	1	3
34	речь идет о	3	3
35	в зависимости от	7	3
36	точно так же	4	3
37	в связи с	4	3
38	а также и	1	3
39	едва ли не	1	3
40	внимание на то	2	3
41	а то и	1	3
42	того или иного	5	3
43	на то что	3	3
44	по природе своей	1	3
45	так и не	1	3
46	с точки зрения	16	3
47	дело в том	1	3
48	и то что	1	3
49	тогда как в	1	3
50	в ряде случаев	2	2
51	мере в какой	6	2
52	и не в	2	2
53	бы и не	1	2
54	все то что	1	2
55	и в то	1	2
56	в той мере	6	2
57	и т п	39	2
58	ровным счетом ничего	1	2
59	в силу своей	1	2
60	не в том	5	2
61	далеко не всегда	1	2
62	более или менее	3	2
63	всю свою жизнь	1	2
64	и то же	1	2
65	одного и того	2	2
66	сами по себе	2	2
67	может быть не	1	2
68	на мой взгляд	2	2
69	той мере в	6	2
70	и того же	2	2
71	но еще и	1	2
72	на этот раз	1	2
73	а с другой	3	2
74	хотя и не	1	2
75	и потому что	4	2
76	вследствие того что	2	2
77	прежде всего на	1	2
78	но и здесь	1	2
79	не только от	1	2
80	в том смысле	2	2
81	но все же	3	2
82	об этом и	1	2
83	об этом в	1	2
84	все те же	1	2
85	одно и то	1	2
86	можно было бы	11	2
87	так же как	3	2
88	только потому что	11	2
89	с легкой руки	1	2
90	тем или иным	1	2
91	что иное как	2	2
92	еще и потому	1	2
93	каждый из нас	1	2
94	в этом последнем	1	2
95	лишь в том	2	1
96	потому что я	1	1
97	что это все	1	1
98	за которым не	1	1
99	именно это и	1	1
100	своей точки зрения	1	1
101	в результате ли	1	1
102	в письме к	1	1
103	которой и составляет	1	1
104	тот ни другой	1	1
105	событие и его	1	1
106	не только потому	3	1
107	внимание и на	2	1
108	для себя и	1	1
109	о том как	3	1
110	никак не может	1	1
111	том смысле что	1	1
112	отнюдь не является	1	1
113	что в ней	1	1
114	ли в самом	1	1
115	ведь каждый из	1	1
116	в большинстве случаев	2	1
117	позицию по отношению	1	1
118	он уже не	1	1
119	на том что	1	1
120	то что даже	1	1
121	в этом смысле	8	1
122	по сравнению с	1	1
123	и в другом	2	1
124	и к этому	1	1
125	самом деле в	1	1
126	при этом что	1	1
127	то или иное	2	1
128	со своей точки	1	1
129	было ясно что	1	1
130	что я не	1	1
131	то что обычно	1	1
132	за собой и	1	1
133	при этом в	1	1
134	между тем не	1	1
135	но именно это	1	1
136	но для того	1	1
137	друг от друга	1	1
138	свидетельствует о том	1	1
139	является ли это	2	1
140	но они не	1	1
141	но и с	1	1
142	а не просто	1	1
143	так или иначе	3	1
144	сам по себе	1	1
145	так и в	2	1
146	но не только	1	1
147	в том случае	3	1
148	в особенности в	1	1
149	одна за другой	1	1
150	что все эти	2	1
151	в строгом смысле	1	1
152	большей или меньшей	2	1
153	по аналогии с	1	1
154	само по себе	6	1
155	не могла бы	1	1
156	языком в качестве	1	1
157	чтобы рассказать о	1	1
158	том что в	1	1
159	в том или	1	1
160	потому что оно	2	1
161	том что на	1	1
162	точки зрения в	2	1
163	с ним было	1	1
164	п все эти	1	1
165	далеко еще не	1	1
166	то ни было	1	1
167	это всего лишь	2	1
168	в целом и	2	1
169	как раз и	1	1
170	какой бы то	1	1
171	в конечном итоге	1	1
172	а не с	1	1
173	обозначения различного рода	1	1
174	что с точки	1	1
175	это своего рода	1	1
176	мере того как	3	1
