1	дело в том что	2	3
2	и в этом случае	2	3
3	в связи с этим	4	2
4	с одной стороны и	5	2
5	как раз и является	1	2
6	вовсе не являются только	1	2
7	в том числе и	5	2
8	в то время как	4	2
9	и в частности в	1	2
10	одного и того же	9	2
11	то же самое мы	1	1
12	которых мы до сих	1	1
13	в этом смысле нет	1	1
14	сводится к тому что	1	1
15	в литературе и в	1	1
16	по своему содержанию и	1	1
17	мы имеем в виду	5	1
18	в данный момент в	1	1
19	и в то же	8	1
20	вступает в свои права	1	1
21	если бы он был	1	1
22	в этом случае он	1	1
23	в том что в	1	1
24	одно и то же	5	1
25	для того чтобы они	4	1
26	о которой мы говорили	1	1
27	не для того чтобы	4	1
28	в точном смысле слова	1	1
29	в пространстве и времени	2	1
30	в том что все	1	1
31	во всех этих случаях	1	1
32	ни от чего не	1	1
33	все больше и больше	1	1
34	к нему вполне применимы	1	1
35	и с точки зрения	1	1
36	с нашей точки зрения	3	1
37	о которых мы до	1	1
38	как мы уже сказали	6	1
39	xix и xx веков	1	1
40	он не был бы	1	1
41	но и в этом	1	1
42	так же как и	3	1
43	мы до сих пор	1	1
44	в той или иной	3	1
45	но для того чтобы	2	1
46	в буквальном смысле слова	1	1
47	но в конце концов	1	1
48	о которых мы говорили	1	1
49	до последнего времени мы	1	1
50	до сих пор говорили	1	1
51	но в то же	3	1
52	и в этом отношении	1	1
53	одной и той же	1	1
54	не выходит за пределы	1	1
