N	2gram	Ircho_Kome	VLabPisa
1	таким образом	13	32
2	в этом	9	29
3	не только	12	26
4	и в	40	26
5	и т	11	25
6	может быть	16	23
7	и не	19	20
8	хотя бы	2	20
9	т е	14	18
10	не может	3	17
11	т д	4	16
12	в его	8	15
13	в том	19	15
14	этом отношении	3	14
15	в силу	4	14
16	все это	7	13
17	прежде всего	8	13
18	в качестве	8	12
19	в частности	7	12
20	как это	7	12
21	что в	12	11
22	с другой	7	11
23	из них	16	11
24	то же	7	10
25	не могут	1	10
26	в художественном	1	10
27	о том	12	10
28	но и	14	10
29	и др	1	10
30	для него	1	9
31	как видим	2	9
32	об этом	2	9
33	т п	7	9
34	к этому	8	9
35	могут быть	3	8
36	другой стороны	6	8
37	только в	6	8
38	на основании	7	8
39	все эти	1	8
40	вместе с	8	8
41	том что	19	8
42	было бы	8	8
43	не следует	2	8
44	в своем	6	8
45	произведения и	1	7
46	в основном	1	7
47	это не	2	7
48	в году	3	7
49	не было	1	7
50	по отношению	5	7
51	очевидно что	1	7
52	тому что	4	7
53	как и	12	7
54	их в	1	7
55	во всех	4	7
56	а не	1	7
57	то что	8	7
58	главным образом	4	7
59	отношению к	5	7
60	же в	7	7
61	в нем	8	7
62	из этих	5	7
63	творческих сил	1	6
64	один из	9	6
65	думается что	1	6
66	у него	6	6
67	более или	1	6
68	в порядке	2	6
69	все же	7	6
70	приводит к	1	6
71	бы и	1	6
72	он же	1	6
73	в искусстве	1	6
74	не в	8	6
75	между тем	9	6
76	так и	17	6
77	в себе	3	6
78	или менее	2	6
79	в зависимости	1	6
80	том же	1	6
81	и его	17	6
82	в то	14	6
83	художественный образ	2	5
84	даже в	3	5
85	в результате	5	5
86	в их	6	5
87	в них	7	5
88	связи с	3	5
89	одним из	3	5
90	зависимости от	1	5
91	к тому	15	5
92	перед нами	1	5
93	не является	2	5
94	на основе	1	5
95	и образов	1	5
96	действующих лиц	8	5
97	и при	1	5
98	в одном	10	5
99	в пределах	1	5
100	же время	5	5
101	как бы	3	5
102	в целом	6	5
103	сказать что	1	5
104	показывают что	1	5
105	в самом	5	4
106	ее в	2	4
107	только что	2	4
108	познания и	1	4
109	в ее	2	4
110	как раз	4	4
111	не обходится	2	4
112	что для	1	4
113	в этой	9	4
114	следующим образом	1	4
115	что все	1	4
116	что он	11	4
117	в виду	2	4
118	по существу	1	4
119	с тем	5	4
120	с ними	2	4
121	в своей	3	4
122	является не	2	4
123	одном из	4	4
124	роль в	2	4
125	силу этого	3	4
126	должен быть	1	4
127	с его	4	4
128	вполне основательно	1	4
129	чем же	2	4
130	для его	1	4
131	в связи	3	4
132	в философии	2	4
133	это только	1	4
134	когда он	1	4
135	них не	1	4
136	в сознании	4	4
137	из его	6	4
138	одна из	4	4
139	по поводу	7	4
140	отнюдь не	2	4
141	во время	11	4
142	и ее	5	4
143	и к	2	3
