N	2gram	Medvedev_V	Marksizm
1	и в	2	63
2	и не	1	55
3	и его	1	41
4	в этом	1	39
5	то же	1	28
6	речи и	1	25
7	самом деле	1	25
8	в самом	1	24
9	только в	1	23
10	в том	2	22
11	том что	2	19
12	хотя бы	1	14
13	так как	1	11
14	именно в	1	10
15	к этому	1	10
16	ясно что	1	8
17	столь же	1	8
18	сводится к	1	8
19	в их	1	8
20	и т.д	1	8
21	далеко не	1	7
22	в другом	1	6
23	все это	1	6
24	что слово	1	5
25	история языка	1	5
26	как же	1	5
27	все время	1	5
28	в конце	2	5
29	да и	1	5
30	тем более	1	5
31	в устах	1	4
32	и то	1	4
33	не будем	1	4
34	так в	1	3
35	значительной степени	1	3
36	одно и	1	3
37	все то	1	3
38	в которых	1	3
39	ни к	1	3
40	потому что	1	3
41	главным образом	1	3
42	но это	1	3
43	ведь это	1	3
44	в значительной	1	3
45	и только	1	3
46	конце концов	2	3
47	крайней мере	1	2
48	гораздо более	1	2
49	что язык	1	2
50	для них	1	2
51	а только	1	2
52	даже не	1	2
53	в частности	1	2
54	от общего	1	2
55	по крайней	1	2
56	и почти	1	2
57	этом и	1	2
58	это далеко	1	1
59	вещь и	1	1
60	по поводу	1	1
61	время в	1	1
62	к чему	1	1
63	на заре	1	1
64	я не	1	1
65	связаны и	1	1
66	под влиянием	1	1
67	техники и	1	1
68	несколько неожиданного	1	1
69	вся работа	1	1
70	теснейшим образом	1	1
71	к созданию	1	1
72	и заключается	1	1
73	слово по	1	1
74	деле как	1	1
75	том же	1	1
76	стилистики в	1	1
77	им столь	1	1
78	по существу	1	1
79	имеется в	1	1
80	другом месте	1	1
81	себе лишь	1	1
82	находится под	1	1
83	языка если	1	1
84	дело в	1	1
85	с головой	1	1
