N	2gram	Voloshinov	Vvedenie
1	в том	2	38
2	в этом	2	35
3	и в	13	35
4	может быть	8	30
5	том что	2	30
6	не только	6	26
7	для того	1	23
8	того чтобы	1	22
9	таким образом	6	21
10	также и	1	20
11	не может	8	19
12	то что	6	19
13	потому что	1	18
14	только в	6	16
15	так как	3	15
16	языка и	5	15
17	в общем	2	14
18	что в	3	13
19	в самом	2	13
20	и именно	1	13
21	и не	8	13
22	в нем	2	13
23	в его	7	12
24	в их	3	12
25	точки зрения	7	12
26	что такое	1	12
27	то же	4	11
28	в ее	3	11
29	по себе	1	11
30	в данном	2	11
31	прежде всего	9	10
32	не в	3	10
33	вопрос о	1	10
34	между тем	2	10
35	но в	4	10
36	науки о	1	9
37	тем не	1	9
38	все же	5	9
39	но не	1	9
40	и как	1	9
41	не менее	2	9
42	в истории	1	9
43	можно было	1	8
44	с другой	2	8
45	наук в	1	8
46	и то	3	7
47	смысле слова	2	7
48	в широком	1	7
49	как и	3	7
50	самом деле	3	7
51	но и	3	7
52	в разных	1	7
53	было бы	4	7
54	этот вопрос	1	7
55	как бы	6	7
56	один из	1	6
57	об этом	1	6
58	к истории	1	6
59	все это	4	6
60	его в	1	6
61	тем что	2	6
62	вместе с	1	6
63	в которых	1	6
64	и историей	2	6
65	же время	1	6
66	и это	1	6
67	вовсе не	2	6
68	хотя бы	5	6
69	и что	1	6
70	о языке	2	6
71	сказать что	1	6
72	могут быть	2	6
73	но если	1	6
74	и его	12	6
75	в то	1	6
76	а в	2	6
77	истории языка	2	6
78	иное как	2	6
79	уже в	2	5
80	внимание на	1	5
81	с этой	2	5
82	в виду	1	5
83	другой стороны	2	5
84	с их	1	5
85	в них	2	5
86	в г	2	5
87	одним из	1	5
88	что он	1	5
89	что иное	2	5
90	одно из	1	5
91	от этого	2	5
92	данном случае	2	5
93	языка в	1	5
94	в течение	2	5
95	и тем	2	5
96	а не	2	5
97	говорить о	3	5
98	в различных	1	5
99	не что	2	5
100	и т.д	5	5
101	а как	2	5
102	она есть	1	5
103	в целом	2	5
104	как это	1	5
105	есть не	2	5
106	в особенности	1	4
107	языке и	1	4
108	только что	1	4
109	здесь нет	1	4
110	с одной	2	4
111	с точки	5	4
112	этом отношении	1	4
113	из наиболее	1	4
114	по мере	1	4
115	в виде	1	4
116	в себе	3	4
117	в одном	3	4
118	заключается в	1	4
119	и ее	2	4
120	но ведь	5	4
121	в своей	4	4
122	речь в	1	4
123	да и	3	4
124	в чем	2	4
125	к тому	2	4
126	еще не	1	4
127	не имеет	2	4
128	в каждом	4	4
129	памятник в	1	4
130	еще и	4	4
131	как о	1	4
132	даже и	1	4
133	одной стороны	2	4
134	связана с	3	4
135	в чисто	1	4
136	по отношению	3	4
137	мы имеем	1	4
138	не вполне	1	4
139	и изучение	1	4
140	отличие от	1	4
141	истории и	1	4
142	в отличие	1	4
143	отношению к	3	4
144	одной из	1	4
145	в области	2	4
146	только с	1	4
147	наукой о	3	4
148	и для	3	4
149	само по	1	4
150	этого термина	1	3
151	своего рода	2	3
152	истории литературы	2	3
153	и к	2	3
154	с этим	3	3
155	собственном смысле	1	3
156	история литературы	1	3
157	можно говорить	1	3
158	и здесь	1	3
159	того как	1	3
160	и вот	1	3
161	на том	1	3
162	такого рода	1	3
163	понятно что	3	3
164	при этом	2	3
165	не как	3	3
166	но что	1	3
167	в отношении	2	3
168	двух наук	1	3
169	связи с	1	3
170	если бы	2	3
171	себе что	2	3
172	а также	2	3
173	в конце	1	3
174	в собственном	1	3
175	вряд ли	3	3
176	как в	2	3
177	с историей	2	3
178	другое дело	1	3
179	зависимости от	2	3
180	с понятием	1	3
181	литературы в	1	3
182	в конечном	1	3
183	чем же	2	3
184	и других	1	3
185	все эти	2	3
186	то это	1	3
187	и есть	1	3
188	на этом	1	3
189	что же	3	3
190	в значительной	1	3
191	входит в	2	3
192	же как	1	3
193	в другом	2	3
194	совсем не	1	3
195	в ней	2	3
196	времени в	1	3
197	или же	1	3
198	и тогда	1	3
199	и уже	3	3
200	со всей	3	3
201	только на	1	3
202	или иных	1	3
203	отношений между	2	3
204	в этой	1	3
205	же самое	1	3
206	в начале	1	3
207	того же	1	3
208	так же	2	3
209	о литературе	1	3
210	или как	1	3
211	и наоборот	1	3
212	от другой	1	3
213	же только	1	3
214	греции и	1	3
215	отношение к	1	3
216	литературное произведение	2	3
217	до конца	1	3
218	в своем	1	3
219	в зависимости	2	3
220	что она	1	3
221	одна из	1	3
222	к этому	1	3
223	тех или	1	3
224	нуждается в	2	3
225	для этого	1	3
226	к нему	1	3
227	никогда не	3	3
228	во всем	2	2
229	так и	3	2
230	что они	2	2
231	находятся в	1	2
232	мы не	4	2
233	время в	1	2
234	и должно	2	2
235	момента в	1	2
236	несмотря на	2	2
237	из того	1	2
238	учение о	2	2
239	языковой формы	1	2
240	он и	1	2
241	мысли и	1	2
242	не исчерпывается	2	2
243	с системой	1	2
244	для них	1	2
245	не столько	3	2
246	между языком	1	2
247	все равно	1	2
248	лежит в	1	2
249	в своих	2	2
250	не было	1	2
251	этой точки	1	2
252	ни одна	1	2
253	что к	1	2
254	например в	1	2
255	тому что	1	2
256	одно дело	1	2
257	в связи	2	2
258	подобно тому	1	2
259	в определенной	1	2
260	выражение в	1	2
261	другом месте	1	2
262	в ряду	1	2
263	и при	2	2
264	материал который	1	2
265	языка но	2	2
266	о которых	1	2
267	и истории	2	2
268	в каждой	1	2
269	в дальнейшем	1	2
270	и чем	1	2
271	которая как	1	2
272	ними и	1	2
273	которые не	1	2
274	мы можем	4	2
275	не существует	1	2
276	что мы	1	2
277	когда мы	1	2
278	само собой	1	2
279	мы уже	2	2
280	в языке	2	2
281	тому как	1	2
282	художественных произведений	2	2
283	это заставляет	1	2
284	в этот	2	2
285	значительной мере	1	2
286	мы должны	6	2
287	быть и	1	2
288	не мог	2	2
289	на почву	1	2
290	из него	1	2
291	в тех	2	2
292	вообще в	1	2
293	внимания к	1	2
294	и до	1	2
295	лишь как	1	2
296	каждый из	1	2
297	до того	1	2
298	состоит в	1	2
299	одно и	3	2
300	соответствии с	2	2
301	природы и	1	2
302	отсюда и	1	2
303	мог бы	2	2
304	и др	2	2
305	в достаточной	1	2
306	должно быть	1	2
307	произведения и	1	2
308	языка как	3	2
309	путь от	1	2
310	все время	1	2
311	тем более	1	2
312	с помощью	2	2
313	на то	1	2
314	его к	1	2
315	между наукой	1	2
316	этого слова	1	2
317	но это	1	2
318	его можно	1	2
319	бы в	2	2
320	только о	1	2
321	в совокупности	1	2
322	литературного языка	2	1
323	понять и	1	1
324	материал в	2	1
325	всего в	1	1
326	служить материалом	1	1
327	или философской	1	1
328	такие явления	1	1
329	дифференциации и	1	1
330	мы видим	2	1
331	общения в	1	1
332	должно составить	1	1
333	явления как	1	1
334	она и	1	1
335	они не	1	1
336	о слове	1	1
337	повседневной речи	2	1
338	на язык	2	1
339	с известным	1	1
340	должно служить	1	1
341	как к	1	1
342	за исключением	1	1
343	он только	2	1
344	г о	1	1
345	для себя	2	1
346	материала и	3	1
347	с вещами	1	1
348	для него	2	1
349	которых он	1	1
350	он называет	1	1
351	ее мы	1	1
352	в задачу	1	1
353	связей и	1	1
354	что при	1	1
355	это обычно	1	1
356	в некоторых	1	1
357	положение что	1	1
358	к предмету	2	1
359	ее в	2	1
360	и о	1	1
361	то мы	1	1
362	на самом	1	1
363	стать не	1	1
364	или иную	1	1
365	предисловии к	1	1
366	но одно	2	1
367	возможно только	1	1
368	здесь уже	1	1
369	нет никакого	1	1
370	понимается как	1	1
371	тем сложнее	1	1
372	идеализма и	1	1
373	не на	2	1
374	своей науки	1	1
375	объект и	2	1
376	письма к	1	1
377	работы и	1	1
378	ко второму	1	1
379	как же	1	1
380	этого процесса	1	1
381	если не	1	1
382	более или	1	1
383	все то	1	1
384	историческая судьба	1	1
385	или в	1	1
386	от своего	2	1
387	разрыва между	1	1
388	их по	1	1
389	существует как	1	1
390	осуществляется в	1	1
391	теперь мы	1	1
392	и все	3	1
393	сам собой	1	1
394	еще в	2	1
395	может и	1	1
396	в эпоху	1	1
397	и эта	5	1
398	но для	3	1
399	представление о	1	1
400	широком понимании	1	1
401	систему и	1	1
402	или иная	1	1
403	если он	1	1
404	неизбежно включает	1	1
405	о теории	1	1
406	двух разных	2	1
407	отношений здесь	1	1
408	долгое время	1	1
409	о задачах	4	1
410	типа и	1	1
411	лишь с	1	1
412	одном случае	1	1
413	и язык	1	1
414	данного языка	1	1
415	равно не	1	1
416	с ними	2	1
417	между словами	1	1
418	или даже	1	1
419	далеко не	1	1
420	чем иным	2	1
421	на эту	1	1
422	язык представляется	1	1
423	словесного искусства	1	1
424	именно этого	1	1
425	изобразительных искусствах	2	1
426	особенности в	1	1
427	в такой	1	1
428	метода в	5	1
429	не создает	1	1
430	слово в	3	1
431	и наукой	1	1
432	ведь в	1	1
433	что раньше	1	1
434	что вообще	1	1
435	составить предмет	1	1
436	или менее	1	1
437	и у	1	1
438	в одной	1	1
439	мысли в	1	1
440	сложность этой	1	1
441	по поводу	1	1
442	вопроса о	4	1
443	его учеников	1	1
444	нам представляется	1	1
445	историей литературы	2	1
446	осуществляются в	1	1
447	была создана	1	1
448	в природе	1	1
449	напр в	1	1
450	необходимость в	1	1
451	поскольку она	1	1
452	нуждаются в	1	1
453	это и	1	1
454	его и	1	1
455	того или	2	1
456	к речи	1	1
457	материалом для	2	1
458	находит свое	1	1
459	это конечно	1	1
460	этом говорит	1	1
461	и более	1	1
462	художественного образа	1	1
463	здесь вопроса	1	1
464	историей не	1	1
465	с самого	2	1
466	образом мы	1	1
467	уже из	1	1
468	в действительности	2	1
469	в статье	1	1
470	тем мы	1	1
471	в предисловии	1	1
472	об особой	2	1
473	к слову	1	1
474	же автора	1	1
475	должно было	1	1
476	эта связь	1	1
477	например у	1	1
478	превращается в	3	1
479	всегда связана	1	1
480	в самых	1	1
481	случае и	2	1
482	другими словами	1	1
483	пор пока	3	1
484	под заглавием	1	1
485	наконец в	2	1
486	автора и	1	1
487	во всей	2	1
488	ту или	1	1
489	воплощенную в	1	1
490	не должно	1	1
491	как некая	1	1
492	о возможности	1	1
493	в материал	2	1
494	быть не	1	1
495	и должна	1	1
496	замкнутого круга	2	1
497	памятника от	1	1
498	работы но	1	1
499	достаточной мере	1	1
500	роста и	1	1
501	не всегда	1	1
502	в себя	1	1
503	нужна для	1	1
504	и т.п	7	1
505	в руках	2	1
506	в которой	3	1
507	лишь в	4	1
508	и стилистические	1	1
509	вследствие этого	1	1
510	своего времени	1	1
511	должны быть	1	1
512	между отдельными	1	1
513	уже у	1	1
514	содержания и	1	1
515	нужно сказать	1	1
516	не приходится	1	1
517	общения и	2	1
518	сюда относятся	1	1
519	в науке	1	1
520	и является	2	1
521	и тот	1	1
522	язык есть	1	1
523	за пределы	3	1
524	и создавать	1	1
525	и эстетического	1	1
526	только то	1	1
527	явление и	1	1
528	человека и	1	1
529	самого начала	2	1
530	и речи	1	1
531	быть это	1	1
532	для которой	1	1
533	а лишь	1	1
534	или иное	1	1
535	мы здесь	1	1
536	и часто	1	1
537	чем сложнее	1	1
538	соприкасается с	1	1
539	литературы как	1	1
540	в сложных	1	1
541	которые и	1	1
542	для целей	3	1
543	в чрезвычайно	1	1
544	заключаться в	1	1
545	как их	1	1
546	среди них	1	1
547	нет и	1	1
548	возможна ли	1	1
549	установлен самый	1	1
550	тех пор	4	1
551	на две	2	1
552	к новым	1	1
553	впервые в	1	1
554	что всякий	1	1
555	общего с	3	1
556	и никогда	1	1
557	речи в	1	1
558	правда все	1	1
559	литературы все	1	1
560	существует то	1	1
561	что изучение	1	1
562	выражения в	1	1
563	скорее как	1	1
564	точку зрения	3	1
565	которое мы	2	1
566	xvii-xviii вв	1	1
567	к которому	1	1
568	движение в	1	1
569	материала к	1	1
570	но вообще	1	1
571	слове в	1	1
572	язык во	1	1
573	первых филологов	1	1
574	что без	1	1
575	слово но	1	1
576	науке о	1	1
577	в технике	1	1
578	этого и	1	1
579	ли кто-нибудь	1	1
580	до тех	4	1
581	социального общения	6	1
582	включает в	1	1
583	слово не	1	1
584	очень трудно	1	1
585	т.д и	1	1
586	на всем	1	1
587	понимании его	1	1
588	для исследования	2	1
589	о конкретных	1	1
590	или иного	2	1
591	ведь и	1	1
592	остановиться на	1	1
593	та или	1	1
594	только потому	1	1
595	в системе	1	1
596	исторических разысканий	1	1
597	отношениями между	1	1
598	своих основных	1	1
599	основная мысль	2	1
600	то или	1	1
601	в самой	1	1
602	материальной средой	1	1
603	с языком	1	1
604	и особенно	1	1
605	и становится	1	1
606	тот же	2	1
607	познания в	1	1
608	проявляются в	1	1
609	слова и	2	1
610	искусства в	1	1
611	это особенно	1	1
612	вся эта	1	1
613	и самый	1	1
614	он действительно	1	1
615	обратиться к	1	1
616	более того	2	1
617	исследования в	1	1
